,importance
LocalMemory,0.583426339161363
bs_128x8,0.15256489170137794
pixelPerThread_1,0.04586953469233458
bs_512x1,0.021630237339974573
bs_32x1,0.021015045663010636
bs_64x16,0.019030343571114723
pixelPerThread_2,0.01803028362254381
padding_512,0.016339387801081816
padding_128,0.015505809797423076
Linear1D,0.011598705330482137
Linear2D,0.009236430675839838
padding_288,0.008068157912449189
bs_32x32,0.007788836443930582
bs_1024x1,0.006457971458704764
bs_32x16,0.005908055576871409
pixelPerThread_3,0.005773770476076077
Ldg,0.005740156065316845
padding_224,0.005721746919341425
bs_32x2,0.005500468011198018
padding_320,0.005082781509877865
TextureMemory,0.004429736686341232
padding_64,0.00394985980399013
padding_416,0.0038299406460171386
bs_256x1,0.003628986293074837
bs_32x8,0.0025466484869184876
bs_512x2,0.0024074689552515344
bs_64x4,0.0020191368907298635
padding_0,0.001729456920359766
padding_352,0.0014775641847758608
CUDA,0.0008643645542212137
padding_192,0.0005657582749005724
bs_64x8,0.0003533921665045171
padding_384,0.0003246734399645562
OpenCL,0.00031159875462761713
padding_256,0.00029331171607121994
pixelPerThread_4,0.00026864243623459205
padding_480,0.00021307671755661697
bs_64x1,0.00012198817471975804
bs_128x4,0.00010210850436939501
bs_128x1,7.724785690318402e-05
padding_448,7.233960342367569e-05
bs_128x2,5.232896888374464e-05
padding_32,3.0823850434889705e-05
bs_64x2,2.1862145563761665e-05
padding_96,1.3550625691982913e-05
bs_32x4,4.6518887052302925e-06
Array2D,5.109527661611815e-07
padding_160,1.67706861785819e-08
padding,0.0
bs_256x2,0.0
API,0.0
pixelPerThread,0.0
bs_256x4,0.0
Blocksize,0.0
root,0.0
