,importance
pixelPerThread_2,32016656196121.11
pixelPerThread_4,32016656196120.195
pixelPerThread_3,32016656196119.508
pixelPerThread_1,32016656196113.418
bs_64x2,25345785248281.633
bs_128x2,25345785248281.504
bs_32x4,25345785248281.28
bs_32x8,25345785248279.918
bs_64x4,25345785248279.863
bs_32x2,25345785248277.586
bs_128x1,25345785248277.15
bs_64x1,25345785248274.45
bs_128x4,25345785248274.29
bs_256x1,25345785248273.773
bs_256x2,25345785248273.266
bs_64x8,25345785248273.168
bs_32x16,25345785248272.19
bs_256x4,25345785248267.336
bs_32x32,25345785248267.0
bs_128x8,25345785248266.883
bs_64x16,25345785248266.777
bs_512x2,25345785248265.844
bs_512x1,25345785248262.555
bs_1024x1,25345785248257.387
bs_32x1,25345785248255.27
API,24820004782303.918
CUDA,22761321714032.86
OpenCL,22761321714032.242
Linear1D,16701596394278.822
Linear2D,16701596394276.326
Ldg,16701596394274.07
TextureMemory,16701596394270.885
Array2D,16701596394264.201
root,12846773251065.994
padding_352,8177611520896.965
padding_480,8177611520896.383
padding_416,8177611520895.898
padding_288,8177611520895.832
padding_384,8177611520895.754
padding_96,8177611520895.506
padding_128,8177611520895.26
padding_224,8177611520895.23
padding_192,8177611520894.726
padding_64,8177611520894.672
padding_0,8177611520894.623
padding_160,8177611520894.615
padding_448,8177611520894.482
padding_256,8177611520894.465
padding_512,8177611520894.368
padding_320,8177611520894.125
padding_32,8177611520894.086
Blocksize,6235249717125.166
padding,2925854849326.7754
LocalMemory,20.817749961519674
pixelPerThread,0.013671875
