,importance
LocalMemory,0.5138243455569456
bs_32x1,0.09284333708523186
pixelPerThread_1,0.06893083139651679
bs_1024x1,0.05945705173803883
bs_512x1,0.05913527073392137
#yes,0.024462570916744503
bs_64x2,0.018632307639549373
bs_32x4,0.016725530667856495
bs_128x2,0.015443120247700464
Linear1D,0.014703278729305914
bs_64x4,0.012283864177005303
TextureMemory,0.011861845878949605
bs_32x8,0.010506486626361692
bs_512x2,0.008969248153405919
OpenCL,0.008707857549629548
bs_128x8,0.008088579086030924
bs_64x16,0.007642653771842925
pixelPerThread_2,0.00724619273917447
bs_32x32,0.006351105247225141
bs_256x4,0.00629419862526512
CUDA,0.006117975576534206
Array2D,0.005803478573701205
bs_32x2,0.004501324294085063
Linear2D,0.002975745994855159
bs_128x1,0.002701397703162942
pixelPerThread_4,0.0018480892594248176
Ldg,0.001437491436651233
pixelPerThread_3,0.0010745275830743087
bs_64x1,0.0009078488634226293
bs_32x16,0.0002910991548856741
padding_480,0.00011845113034285755
padding_352,0.00011289386315798638
padding_288,0.0
padding_512,0.0
padding_448,0.0
padding_416,0.0
padding_384,0.0
padding_320,0.0
padding_224,0.0
padding_256,0.0
padding_192,0.0
padding_160,0.0
padding_128,0.0
padding_96,0.0
padding_64,0.0
padding_32,0.0
bs_256x2,0.0
bs_256x1,0.0
bs_64x8,0.0
bs_128x4,0.0
padding_0,0.0
