,importance
pixelPerThread_1,0.390682882597029
LocalMemory,0.17409694210225152
CUDA,0.15822542006903964
TextureMemory,0.0775711161256213
OpenCL,0.07678795731991651
Array2D,0.06360602689452892
pixelPerThread_2,0.024909557354003832
pixelPerThread_4,0.01449443837947181
Ldg,0.007745689924434809
Linear2D,0.006906154296995008
Linear1D,0.0032797940233186577
pixelPerThread_3,0.0016940209133890164
padding_256,0.0
padding_32,0.0
padding_64,0.0
padding_96,0.0
padding_128,0.0
padding_160,0.0
padding_192,0.0
padding_224,0.0
padding_448,0.0
padding_288,0.0
padding_320,0.0
padding_352,0.0
padding_384,0.0
padding_416,0.0
padding,0.0
padding_480,0.0
padding_512,0.0
pixelPerThread,0.0
padding_0,0.0
root,0.0
bs_256x2,0.0
bs_128x2,0.0
Blocksize,0.0
bs_32x1,0.0
bs_32x8,0.0
bs_32x16,0.0
bs_32x32,0.0
bs_64x1,0.0
bs_64x4,0.0
bs_64x16,0.0
bs_128x1,0.0
bs_128x4,0.0
bs_256x1,0.0
bs_128x8,0.0
bs_256x4,0.0
bs_512x1,0.0
bs_512x2,0.0
bs_1024x1,0.0
bs_32x2,0.0
API,0.0
bs_64x2,0.0
bs_64x8,0.0
bs_32x4,0.0
