,importance
API,135384477429806.27
bs_64x2,54127180678640.94
bs_32x4,54127180678640.1
bs_128x2,54127180678638.4
bs_64x4,54127180678638.09
bs_32x8,54127180678637.64
bs_32x2,54127180678634.836
bs_128x1,54127180678634.734
bs_128x4,54127180678633.4
bs_32x16,54127180678632.05
bs_64x1,54127180678631.63
bs_256x2,54127180678631.055
bs_256x1,54127180678630.88
bs_64x8,54127180678630.84
bs_64x16,54127180678627.54
bs_256x4,54127180678625.92
bs_128x8,54127180678625.25
bs_32x32,54127180678625.13
bs_512x2,54127180678622.14
bs_512x1,54127180678620.43
bs_1024x1,54127180678615.26
bs_32x1,54127180678611.91
pixelPerThread_1,50279393268045.375
pixelPerThread_3,50279393268038.67
pixelPerThread_4,50279393268038.5
pixelPerThread_2,50279393268037.695
CUDA,48127695045052.09
OpenCL,48127695045051.336
Array2D,47169234381161.4
TextureMemory,47169234381156.625
Ldg,47169234381153.53
Linear2D,47169234381151.88
Linear1D,47169234381150.04
padding_480,37552455357600.53
padding_96,37552455357600.484
padding_416,37552455357600.266
padding_352,37552455357600.16
padding_192,37552455357599.22
padding_512,37552455357598.66
padding_32,37552455357598.38
padding_448,37552455357598.32
padding_256,37552455357598.28
padding_128,37552455357598.27
padding_64,37552455357598.22
padding_288,37552455357598.16
padding_160,37552455357598.06
padding_0,37552455357597.945
padding_224,37552455357597.94
padding_384,37552455357597.805
padding_320,37552455357597.625
Blocksize,4403819834114.7
padding,2630754703805.6543
root,59063035.79634217
LocalMemory,19.17497220444972
pixelPerThread,0.0
