,importance
pixelPerThread_2,53802698018465.36
pixelPerThread_4,53802698018464.25
pixelPerThread_3,53802698018463.914
pixelPerThread_1,53802698018458.45
Linear1D,9592652115941.678
Linear2D,9592652115940.598
Ldg,9592652115938.99
Array2D,9592652115931.861
padding_512,8402106262713.385
padding_128,8402106262711.959
padding_256,8402106262711.855
padding_64,8402106262711.85
padding_160,8402106262711.848
padding_384,8402106262711.76
padding_32,8402106262711.735
padding_320,8402106262711.713
padding_288,8402106262711.71
padding_448,8402106262711.558
padding_224,8402106262711.505
padding_192,8402106262710.936
padding_0,8402106262710.842
padding_96,8402106262710.834
padding_416,8402106262710.594
padding_480,8402106262710.516
padding_352,8402106262710.4
TextureMemory,6514335995725.607
bs_32x1,1755053923162.9834
bs_1024x1,1755053923153.3462
bs_512x2,1755053923149.633
bs_32x32,1755053923148.653
bs_256x4,1755053923148.245
bs_64x16,1755053923147.9573
bs_128x8,1755053923147.9045
bs_512x1,1755053923146.7922
bs_32x16,1755053923143.9219
bs_64x1,1755053923143.5127
bs_64x8,1755053923143.252
bs_128x4,1755053923143.1365
bs_256x1,1755053923142.8535
bs_256x2,1755053923141.4817
bs_128x1,1755053923140.659
bs_32x8,1755053923140.469
bs_64x4,1755053923139.9197
bs_32x2,1755053923139.7349
bs_32x4,1755053923139.6846
bs_64x2,1755053923139.2712
bs_128x2,1755053923139.1035
CUDA,1689489479935.6038
OpenCL,1689489479933.9521
#yes,1539158060106.1343
LocalMemory,1539158060078.9531
