,importance
LocalMemory,0.5393657388214466
bs_1024x1,0.07498673152172142
bs_512x1,0.060075056024530255
bs_32x1,0.0486992357721567
pixelPerThread_1,0.04677490327749132
pixelPerThread_2,0.0220746845522005
Linear1D,0.021349945879363567
bs_256x4,0.018626034930947413
bs_32x32,0.01837569261775077
TextureMemory,0.017973461747982523
bs_128x8,0.01706743053794811
bs_512x2,0.01689183119865337
bs_64x16,0.015622719854825275
bs_32x8,0.012638606679595606
pixelPerThread_4,0.008799353845052486
bs_256x1,0.005466566292558258
pixelPerThread_3,0.0045068945059089215
bs_32x2,0.004462429054988597
bs_64x2,0.0043068208107733584
bs_32x4,0.004141313962837012
bs_64x4,0.003775782596100334
bs_128x2,0.003758838117068418
bs_64x1,0.0035838909489046547
bs_128x1,0.0033356048646498793
CUDA,0.003287941996918916
OpenCL,0.0029763058020665562
Linear2D,0.002929612138097554
Ldg,0.002571374268893356
bs_256x2,0.002222655201643728
bs_64x8,0.002181628630139006
bs_128x4,0.002162027032929189
bs_32x16,0.0016882925392515632
padding_448,0.001160844404223148
padding_512,0.0007433163781276377
padding_0,0.0003962975348293992
padding_416,0.0003444920604317306
padding_160,0.0002066792291289317
padding_96,0.000136638998032578
padding_480,9.553282416118975e-05
padding_32,6.790332812292676e-05
padding_320,5.8469518394402293e-05
padding_288,2.8286481574042433e-05
padding_192,2.637426664779911e-05
padding_128,1.4054043131553011e-05
padding_352,1.2073644853331297e-05
padding_256,1.1510960372991019e-05
padding_64,1.0453340222986382e-05
padding_224,7.2294645606283495e-06
padding_384,4.3749778956125157e-07
padding,0.0
pixelPerThread,0.0
Array2D,0.0
Blocksize,0.0
API,0.0
root,0.0
