,importance
LocalMemory,0.468069731206183
bs_1024x1,0.0932416235148019
bs_32x1,0.060730392537291185
pixelPerThread_1,0.04686505139744546
bs_128x8,0.030554187538346315
bs_64x16,0.0297903358452968
bs_256x4,0.029491926588906644
bs_512x2,0.029435812982995184
bs_512x1,0.028559306767278754
bs_32x32,0.028416947577269855
pixelPerThread_2,0.01602274403571954
Linear1D,0.014025156317783482
OpenCL,0.011854302546731223
#yes,0.010755479763352662
CUDA,0.010471617494340335
TextureMemory,0.00946357972356741
pixelPerThread_4,0.008307919821421436
bs_256x1,0.006069109432723995
bs_256x2,0.005546487016226969
bs_128x4,0.005190080839826457
bs_64x8,0.00510449696739755
bs_32x16,0.005076439605042456
Array2D,0.005072074322711023
pixelPerThread_3,0.004686463232263398
bs_64x1,0.004439671321421547
bs_32x2,0.004225525871023039
Linear2D,0.004144048473599523
bs_64x2,0.00357929664299248
Ldg,0.003282888246010721
bs_32x4,0.0032338611467652655
bs_128x2,0.0026665427374660527
bs_64x4,0.0025895507535942303
bs_32x8,0.002552930444007095
bs_128x1,0.0021372412679254073
padding_352,0.000987331222811353
padding_0,0.0007683324151338967
padding_96,0.0004782728060350134
padding_480,0.0004640723669011419
padding_416,0.0004596283254084331
padding_192,0.0002236251583443213
padding_64,0.0002174753932369623
padding_128,0.00010765546022822701
padding_512,8.728188511331899e-05
padding_224,8.034234656050697e-05
padding_320,7.96563442891652e-05
padding_288,7.479011373015288e-05
padding_256,7.297508562651827e-05
padding_160,6.819945291694707e-05
padding_448,6.433158352183897e-05
padding_32,6.347241592923851e-05
padding_384,4.973364448447426e-05
