,importance
LocalMemory,0.37248482212639666
bs_32x1,0.11281300880646952
bs_1024x1,0.09026469953740017
pixelPerThread_1,0.08464576350897515
bs_512x1,0.05150052449280574
bs_512x2,0.02602219788872716
bs_32x32,0.023364433962814565
bs_256x4,0.02145839532252073
bs_128x8,0.02118277038394583
bs_64x16,0.020440773180520004
pixelPerThread_2,0.019962496267375066
Array2D,0.018021975890079332
CUDA,0.014541448876165047
OpenCL,0.013966393475924375
Linear1D,0.010316372123767827
bs_32x2,0.009584025666158784
bs_64x1,0.00938461533670986
#yes,0.008938276741313448
TextureMemory,0.006908135297526632
bs_256x1,0.006529989009094275
Ldg,0.005282142771297217
bs_32x16,0.00471578376826141
bs_32x4,0.0044929841265579015
bs_32x8,0.004446089649895706
bs_128x1,0.004310511668791319
bs_128x2,0.004239022611369104
bs_64x2,0.004184075348334937
bs_64x4,0.004132241817069118
bs_64x8,0.003779088085139132
bs_256x2,0.0037751132433165857
pixelPerThread_4,0.003745517142487115
bs_128x4,0.0036124571516740235
pixelPerThread_3,0.0026003054041270983
Linear2D,0.0025763894857360687
padding_480,0.00048724206528059954
padding_0,0.0003939165999711857
padding_32,0.00021353462848893186
padding_352,0.0001964264919913393
padding_96,0.00011569425945509685
padding_448,8.261835320412575e-05
padding_64,5.140996719227378e-05
padding_192,4.8502220575851296e-05
padding_416,4.5654857462862446e-05
padding_512,4.0037349340101703e-05
padding_320,3.839369084740198e-05
padding_128,2.8195062236570607e-05
padding_384,1.174119374466459e-05
padding_224,1.0405719206553537e-05
padding_160,6.6924017669366706e-06
padding_288,3.524164027330414e-06
padding_256,3.1708064612086215e-06
