,importance
LocalMemory,0.4284349301414384
bs_32x1,0.09458475069836322
pixelPerThread_1,0.07423684947116499
bs_512x1,0.05286855681828042
TextureMemory,0.03529713450138934
bs_128x8,0.034699056496378444
bs_512x2,0.029935127869993156
bs_32x32,0.029243106483067265
pixelPerThread_2,0.016092713527672758
bs_64x16,0.014814526149857997
bs_256x4,0.012311832442063839
CUDA,0.011273860484583025
bs_1024x1,0.010828429089058036
bs_32x4,0.010763051745984657
bs_32x16,0.00962876888330227
bs_256x2,0.008454136908495955
Linear1D,0.008333982567321038
bs_64x2,0.007969337971244913
OpenCL,0.007876105742487453
bs_128x4,0.007433867113722193
bs_64x4,0.007367201919913339
bs_64x1,0.0071688557087389365
pixelPerThread_3,0.006804631361670578
bs_64x8,0.006676534160564192
bs_128x2,0.0064728097823898295
pixelPerThread_4,0.006449448433028398
bs_32x2,0.005918668171506102
Ldg,0.005746069927039971
bs_256x1,0.005291142896215665
bs_32x8,0.004655786571574439
bs_128x1,0.0037630483869200114
padding_352,0.003574530620558917
Linear2D,0.0029421094309349965
padding_128,0.002274230385748789
padding_512,0.0020209923399785593
padding_192,0.001777899881607898
padding_320,0.0017570901665368184
padding_96,0.0016891240887077846
padding_224,0.001436155728052917
Array2D,0.0014225951121937504
padding_0,0.0013230226106487513
padding_256,0.0010930633488683225
padding_480,0.0010616489673348508
padding_32,0.0010424512719489974
padding_64,0.0010215595353370694
padding_384,0.0009494449335992449
padding_416,0.0008236892371392788
padding_160,0.0008218302902965322
padding_448,0.0008085215081903213
padding_288,0.0007657181168854944
API,0.0
pixelPerThread,0.0
Blocksize,0.0
padding,0.0
root,0.0
