,importance
LocalMemory,0.40758161197824955
bs_32x1,0.07904810550287832
pixelPerThread_1,0.07718646533815555
bs_1024x1,0.06365264668943227
bs_512x1,0.055849714159608
#yes,0.02088492142582857
bs_512x2,0.020374358679449967
pixelPerThread_2,0.019919674907755966
bs_128x8,0.01987051140234367
bs_64x16,0.01969864856946707
TextureMemory,0.018781962868206752
bs_256x4,0.018682318736001197
bs_32x32,0.017979502748921912
CUDA,0.015732103095139616
Linear1D,0.013295487313307089
OpenCL,0.01151775084830955
bs_64x1,0.011516153735636296
bs_32x2,0.009741278960531804
bs_64x2,0.008151698700160435
bs_32x4,0.00802379893424533
bs_256x1,0.007008312529118894
bs_64x4,0.006811378007200916
bs_32x8,0.006763495593855181
bs_128x2,0.006728504600351343
bs_128x1,0.006492538177943936
bs_32x16,0.006092050281964589
Ldg,0.005741394245826043
pixelPerThread_4,0.005721316531533729
bs_64x8,0.004991986171208
pixelPerThread_3,0.004960053430809809
bs_256x2,0.004867925260261312
bs_128x4,0.004513491294163854
Linear2D,0.003937375871877529
Array2D,0.00245702099039418
padding_352,0.0010703082276752106
padding_480,0.0010238429237983335
padding_0,0.0005844940925583014
padding_416,0.0004940345787169348
padding_96,0.0004836798651731357
padding_192,0.0004001990246583974
padding_256,0.00018650486487283767
padding_448,0.0001729663668029027
padding_64,0.00013635411734688903
padding_32,0.0001322082266521551
padding_512,0.00012619679408845119
padding_160,0.00011827195208411224
padding_288,0.00011239018391578856
padding_128,0.00011179110185598881
padding_224,0.00010822731590926089
padding_320,8.182597181555196e-05
padding_384,8.114681193725068e-05
