,importance
LocalMemory,0.4075885805078241
bs_32x1,0.08076581746240567
pixelPerThread_1,0.07738825722107587
bs_1024x1,0.06404531482498928
bs_512x1,0.05493546755358175
#yes,0.02068956173727422
bs_512x2,0.01998128910786085
bs_128x8,0.019792466333483312
pixelPerThread_2,0.01962239717676436
bs_64x16,0.019314299950411635
TextureMemory,0.019127209701896332
bs_256x4,0.0185678078703241
bs_32x32,0.018436701349707697
CUDA,0.0154547207364602
OpenCL,0.012819684302235467
Linear1D,0.012236158926153276
bs_64x1,0.011637062333362968
bs_32x2,0.009850699959920783
bs_32x4,0.0080841013609539
bs_64x2,0.008047336871624152
bs_128x2,0.0072192023465778125
bs_64x4,0.0071581918696036655
bs_32x8,0.006999708697828838
bs_256x1,0.006842386986691516
bs_128x1,0.0066607321365404135
bs_32x16,0.005763818131050606
Ldg,0.005596299304605752
pixelPerThread_4,0.005317522250821238
bs_256x2,0.004891379286322979
bs_64x8,0.0048275315576402815
pixelPerThread_3,0.004485988069529946
bs_128x4,0.004421833325961854
Linear2D,0.0037394036591935666
Array2D,0.0023500684416930383
padding_352,0.0010811189354818869
padding_480,0.0010435868405019265
padding_416,0.0005411858474896703
padding_0,0.0005118181673775646
padding_96,0.0005020722975509987
padding_192,0.00038042494727579234
padding_256,0.0001483450544821464
padding_448,0.0001383719324257467
padding_64,0.00013375058167939042
padding_128,0.00013179620365618623
padding_32,0.00012553846504444237
padding_160,0.00012518122045530834
padding_512,0.00011719939766825969
padding_224,0.00010783447289859367
padding_288,8.92684898576779e-05
padding_320,8.795688462848136e-05
padding_384,7.554890915430535e-05
