,importance
pixelPerThread_2,103568073982688.27
pixelPerThread_4,103568073982687.56
pixelPerThread_3,103568073982687.38
pixelPerThread_1,103568073982680.6
padding_320,43649990960219.31
padding_0,43649990960219.125
padding_384,43649990960219.11
padding_224,43649990960218.94
padding_256,43649990960218.88
padding_160,43649990960218.836
padding_64,43649990960218.75
padding_288,43649990960218.71
padding_448,43649990960218.58
padding_128,43649990960218.57
padding_32,43649990960218.39
padding_512,43649990960218.266
padding_192,43649990960217.87
padding_96,43649990960216.93
padding_352,43649990960216.79
padding_416,43649990960216.7
padding_480,43649990960216.445
bs_32x1,34226813565555.05
bs_1024x1,34226813565551.633
bs_512x1,34226813565546.45
bs_512x2,34226813565544.934
bs_32x32,34226813565542.22
bs_128x8,34226813565541.812
bs_256x4,34226813565541.65
bs_64x16,34226813565539.79
bs_256x2,34226813565536.668
bs_64x8,34226813565536.38
bs_256x1,34226813565536.227
bs_64x1,34226813565535.68
bs_32x16,34226813565534.848
bs_128x4,34226813565534.62
bs_32x2,34226813565532.39
bs_128x1,34226813565531.805
bs_32x8,34226813565529.75
bs_128x2,34226813565528.836
bs_64x4,34226813565528.727
bs_32x4,34226813565527.23
bs_64x2,34226813565526.473
Linear1D,18963445584500.03
Linear2D,18963445584497.547
Ldg,18963445584495.24
Array2D,18963445584485.94
#yes,11490051395399.162
LocalMemory,11490051395380.018
TextureMemory,4016657206305.6367
OpenCL,315555156639.37213
CUDA,315555156638.3066
