,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
0,LinearRegression,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4'],
      dtype='object')",LinearRegression(),Performance,0.1,"root                1.437513e+15
API                 2.166656e+14
CUDA                1.252055e+14
OpenCL              1.252055e+14
pixelPerThread_1    3.635795e+13
pixelPerThread_2    3.635795e+13
pixelPerThread_3    3.635795e+13
pixelPerThread_4    3.635795e+13
Blocksize           1.500133e+13
bs_32x16            1.230790e+13
Linear1D            7.852506e+12
Ldg                 7.852506e+12
Linear2D            7.852506e+12
TextureMemory       7.852506e+12
bs_32x8             6.589816e+12
bs_32x2             6.589816e+12
bs_64x2             6.589816e+12
bs_32x4             6.589816e+12
bs_64x4             6.589816e+12
bs_128x2            6.589816e+12
bs_128x1            6.589816e+12
bs_256x1            6.589816e+12
bs_256x2            6.589816e+12
bs_64x8             6.589816e+12
bs_32x1             6.589816e+12
bs_512x1            6.589816e+12
bs_32x32            4.958312e+12
padding_480         1.644159e+12
padding_192         1.644159e+12
padding_448         1.644159e+12
padding_128         1.644159e+12
padding_320         1.644159e+12
padding_512         1.644159e+12
padding_96          1.644159e+12
padding_160         1.644159e+12
padding_64          1.644159e+12
padding_384         1.644159e+12
padding_224         1.644159e+12
padding_0           1.644159e+12
bs_64x1             1.308570e+12
bs_64x16            6.555791e+11
bs_128x8            5.453667e+11
bs_128x4            5.369789e+11
Array2D             2.367450e+11
bs_256x4            1.612840e+08
bs_512x2            9.953625e+03
LocalMemory         3.125000e+00
bs_1024x1           6.602336e-01
padding             9.681820e-06
padding_32          2.179246e-16
dtype: float64","count    5.000000e+00
mean     2.107497e+12
std      4.712507e+12
min      2.980976e+00
25%      3.709318e+00
50%      4.452278e+00
75%      2.347618e+01
max      1.053749e+13
Name: % error, dtype: float64"
1,Lasso,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4'],
      dtype='object')","Lasso(alpha=0.8, max_iter=100)",Performance,0.1,"LocalMemory         14.904767
bs_512x1             8.067450
pixelPerThread_1     7.091638
bs_32x1              6.890412
bs_32x8              4.438362
padding_320          2.313083
bs_128x1             1.575429
dtype: float64","count     5.000000
mean     10.223368
std       7.823955
min       3.326046
25%       6.684185
50%       8.713274
75%       8.742903
max      23.650433
Name: % error, dtype: float64"
2,Ridge,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4'],
      dtype='object')",Ridge(),Performance,0.1,"bs_32x8             12.887460
bs_32x1             12.353183
bs_512x1            10.977544
pixelPerThread_1     6.466007
bs_64x8              6.402660
bs_256x2             6.339660
LocalMemory          5.995602
bs_32x2              5.187840
bs_64x2              5.081340
bs_32x4              5.027840
bs_256x1             4.857160
bs_128x1             4.314045
bs_64x4              4.248840
bs_128x2             4.182840
Linear2D             4.061769
padding_320          3.947084
pixelPerThread_4     3.423540
Linear1D             3.359205
Ldg                  2.814205
CUDA                 2.674669
OpenCL               2.674669
TextureMemory        2.111640
pixelPerThread_2     1.541474
pixelPerThread_3     1.500993
padding_480          1.146978
padding_0            1.066600
padding_512          0.981256
padding_192          0.838645
padding_96           0.531214
padding_448          0.504645
padding_128          0.303591
padding_224          0.247214
padding_64           0.153714
padding_384          0.153214
padding_160          0.153214
dtype: float64","count     5.000000
mean      8.841700
std       8.833706
min       0.181847
25%       3.753032
50%       4.053459
75%      15.236335
max      20.983826
Name: % error, dtype: float64"
3,ElasticNet,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4'],
      dtype='object')","ElasticNet(alpha=0.05, l1_ratio=0.1, max_iter=10)",Performance,0.1,"bs_32x8             11.201784
bs_512x1             9.468286
bs_32x1              9.459183
LocalMemory          6.947809
pixelPerThread_1     6.275148
bs_128x1             4.455163
Linear2D             4.230771
bs_64x8              4.208821
bs_256x2             4.167476
padding_320          3.777209
bs_32x2              3.306026
bs_64x2              3.235301
bs_32x4              3.200085
bs_256x1             3.187157
pixelPerThread_4     3.017203
CUDA                 2.953153
bs_64x4              2.689971
bs_128x2             2.643142
Linear1D             2.501098
Ldg                  2.187420
pixelPerThread_3     1.941178
OpenCL               1.938193
pixelPerThread_2     1.681167
TextureMemory        1.574527
padding_480          1.086299
padding_512          1.060382
padding_0            0.910556
padding_192          0.861241
padding_448          0.606153
padding_128          0.286112
padding_384          0.067205
padding_64           0.063542
padding_160          0.063140
padding_96           0.037174
padding_224          0.000035
dtype: float64","count     5.000000
mean      7.981183
std       7.660641
min       1.720427
25%       2.765968
50%       5.744486
75%       8.950043
max      20.724991
Name: % error, dtype: float64"
4,LinearRegression,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4'],
      dtype='object')",LinearRegression(),Performance,0.2,"Array2D             1.566147e+15
Ldg                 1.169023e+15
Linear1D            1.169023e+15
bs_32x16            9.697249e+14
root                6.602033e+14
OpenCL              6.520001e+14
CUDA                6.520001e+14
API                 6.078363e+14
Linear2D            5.951398e+14
TextureMemory       5.951398e+14
padding_320         5.589084e+14
bs_64x1             3.774200e+14
Blocksize           3.236294e+14
bs_64x4             3.156226e+14
bs_32x32            3.070570e+14
bs_32x1             2.779426e+14
bs_512x1            2.779426e+14
bs_256x2            2.779426e+14
bs_64x8             2.779426e+14
bs_256x1            2.779426e+14
bs_128x1            2.779426e+14
bs_128x2            2.779426e+14
bs_64x2             2.779426e+14
bs_32x2             2.779426e+14
bs_32x8             2.779426e+14
pixelPerThread_4    1.251753e+14
pixelPerThread_3    1.251753e+14
pixelPerThread_2    1.251753e+14
pixelPerThread_1    1.251753e+14
bs_128x4            7.082701e+13
bs_64x16            5.694134e+13
bs_128x8            2.126993e+13
padding_224         1.497499e+13
padding_0           1.497499e+13
padding_128         1.497499e+13
padding_160         1.497499e+13
padding_512         1.497499e+13
padding_192         1.497499e+13
padding_64          1.497499e+13
padding_448         1.497499e+13
padding_384         1.497499e+13
padding_96          1.497499e+13
padding_480         1.497499e+13
bs_256x4            1.408959e+13
bs_512x2            8.298235e+12
bs_1024x1           8.797486e+11
bs_32x4             4.336523e+11
LocalMemory         5.500000e+00
dtype: float64","count    1.000000e+01
mean     3.896756e+14
std      5.888725e+14
min      1.001001e-01
25%      2.678037e+00
50%      2.256820e+01
75%      6.792171e+14
max      1.609014e+15
Name: % error, dtype: float64"
5,Lasso,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4'],
      dtype='object')","Lasso(alpha=0.5, max_iter=100)",Performance,0.2,"bs_32x8             1.229395e+01
LocalMemory         9.493753e+00
bs_32x1             8.949387e+00
pixelPerThread_1    8.400715e+00
padding_320         7.990478e+00
bs_512x1            7.398336e+00
bs_128x1            3.511516e+00
OpenCL              1.680295e+00
CUDA                4.547474e-15
dtype: float64","count    10.000000
mean     14.570489
std      13.347422
min       0.031980
25%       4.423479
50%       9.573591
75%      24.200039
max      38.041665
Name: % error, dtype: float64"
6,Ridge,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4'],
      dtype='object')",Ridge(),Performance,0.2,"bs_32x8             13.902915
bs_32x1             11.178106
bs_512x1             9.591544
pixelPerThread_1     7.175141
bs_32x2              6.086911
bs_64x2              5.980411
LocalMemory          5.593698
bs_64x8              5.503589
bs_256x2             5.440589
bs_128x2             5.081911
padding_320          4.986724
bs_128x1             4.619772
bs_256x1             3.958089
pixelPerThread_4     3.351710
Linear2D             3.087909
Ldg                  3.057101
OpenCL               2.684605
CUDA                 2.684605
Linear1D             1.929622
pixelPerThread_3     1.926145
TextureMemory        1.898814
pixelPerThread_2     1.897286
padding_512          1.653436
padding_0            1.504678
padding_192          1.320173
padding_448          0.986173
padding_128          0.665848
padding_480          0.616093
padding_96           0.533436
padding_224          0.249436
padding_64           0.155936
padding_160          0.155436
padding_384          0.155436
dtype: float64","count    10.000000
mean     15.168640
std      13.160992
min       1.686004
25%       4.666433
50%      11.781661
75%      25.395492
max      35.891650
Name: % error, dtype: float64"
7,ElasticNet,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4'],
      dtype='object')","ElasticNet(alpha=0.05, l1_ratio=0.1, max_iter=10)",Performance,0.2,"bs_32x8             12.455858
bs_32x1              9.116507
bs_512x1             8.775828
pixelPerThread_1     6.896434
LocalMemory          6.843425
bs_128x1             4.700797
padding_320          4.229547
bs_32x2              4.202836
bs_64x2              4.126556
bs_64x8              3.933653
bs_256x2             3.889067
bs_128x2             3.482891
pixelPerThread_4     3.048947
Linear2D             3.014020
CUDA                 2.942887
bs_256x1             2.829932
Ldg                  2.700296
pixelPerThread_3     2.274707
pixelPerThread_2     1.967585
TextureMemory        1.931117
OpenCL               1.787221
padding_512          1.596866
Linear1D             1.534627
padding_0            1.274230
padding_192          1.187267
padding_448          0.910131
padding_128          0.516989
padding_480          0.422627
padding_384          0.085137
padding_64           0.077528
padding_160          0.075992
padding_96           0.049215
padding_224          0.007174
dtype: float64","count    10.000000
mean     14.877857
std      13.287274
min       1.097973
25%       5.961273
50%       8.211207
75%      25.669223
max      36.211974
Name: % error, dtype: float64"
8,LinearRegression,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4'],
      dtype='object')",LinearRegression(),Performance,0.3,"root                8.520448e+14
CUDA                1.894723e+14
OpenCL              1.894723e+14
API                 1.802114e+14
bs_64x1             8.501561e+13
bs_32x16            7.382310e+13
bs_32x32            6.901886e+13
LocalMemory         6.337969e+13
padding_0           4.824487e+13
padding_224         4.824487e+13
padding_384         4.824487e+13
padding_64          4.824487e+13
padding_160         4.824487e+13
padding_96          4.824487e+13
Ldg                 4.185576e+13
Linear1D            4.185576e+13
Array2D             3.174205e+13
padding_320         2.741705e+13
pixelPerThread_4    2.180277e+13
pixelPerThread_3    2.180277e+13
pixelPerThread_2    2.180277e+13
pixelPerThread_1    2.180277e+13
Linear2D            2.102794e+13
TextureMemory       2.102794e+13
bs_512x1            1.618071e+13
bs_32x1             1.618071e+13
bs_64x8             1.618071e+13
bs_256x2            1.618071e+13
bs_256x1            1.618071e+13
bs_128x1            1.618071e+13
bs_128x2            1.618071e+13
bs_64x2             1.618071e+13
bs_32x2             1.618071e+13
bs_32x8             1.618071e+13
Blocksize           1.517368e+13
padding_192         1.513482e+13
padding_448         1.513482e+13
padding_512         1.513482e+13
padding_128         1.513482e+13
bs_64x4             8.770788e+12
bs_64x16            3.509406e+12
bs_128x8            1.428468e+06
bs_128x4            9.346812e+04
bs_256x4            4.898029e+03
bs_512x2            7.678052e-01
bs_1024x1           4.554726e-02
bs_32x4             5.341229e-06
dtype: float64","count    1.500000e+01
mean     6.758846e+13
std      9.446874e+13
min      9.706415e+00
25%      3.213268e+01
50%      2.816927e+13
75%      9.134744e+13
max      2.828693e+14
Name: % error, dtype: float64"
9,Lasso,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4'],
      dtype='object')","Lasso(alpha=0.5, max_iter=100)",Performance,0.3,"bs_32x8             1.312749e+01
bs_32x1             9.783987e+00
LocalMemory         8.552372e+00
padding_320         8.324225e+00
pixelPerThread_1    8.290674e+00
bs_512x1            7.911172e+00
bs_128x1            3.509286e+00
OpenCL              1.892062e+00
CUDA                1.409243e-14
dtype: float64","count    15.000000
mean     11.715129
std      12.123252
min       0.485329
25%       2.096314
50%       6.720726
75%      15.692501
max      39.276963
Name: % error, dtype: float64"
