,importance
compressionZpaq,0.5498799009826486
level9,0.1850279356595781
level8,0.17235378572752183
level2,0.020132576176025218
level3,0.019891947111649672
level1,0.018908366064882876
compressionLrzip,0.01577847207799609
level7,0.006969050444810036
compressionBzip2,0.003160048614616402
level6,0.0024681919579224044
level4,0.0022306502084480672
level5,0.0018907053498132607
disableCompressibilityTesting,0.000568436254863623
compressionGzip,0.0005533733403775733
encryption,0.00015926889321893933
unlimitedWindowSize,2.4102598189124625e-05
compression,1.6148974097795219e-06
compressionLzo,1.5736400285194646e-06
level,0.0
root,0.0
