,importance
compressionZpaq,0.592986799920672
level8,0.177624229149505
level9,0.14660740000121994
level3,0.026468052925701892
compressionLrzip,0.020657173471728164
level1,0.01244707705930147
level2,0.009478372597490264
level7,0.006588897685035211
compressionBzip2,0.0037929480748599646
level6,0.0024854125270302578
compressionGzip,0.0006624373439189454
disableCompressibilityTesting,8.409242402407747e-05
encryption,5.421878509534641e-05
level4,3.0032729780669414e-05
level5,2.4560826077159133e-05
unlimitedWindowSize,4.3803538185285735e-06
compressionLzo,2.6374231902630533e-06
compression,1.276701551035014e-06
level,0.0
root,0.0
