,importance
compressionZpaq,0.589028232192927
level8,0.1631123685277725
level9,0.14421583051433945
level3,0.04149705051361112
compressionLrzip,0.02283470688796279
level1,0.01589527347817068
level2,0.014957635443202196
level7,0.0038786551037961765
compressionBzip2,0.00324107482188922
compression,0.0006025988706713109
compressionLzo,0.000344529440529753
compressionGzip,0.00013682713590094364
disableCompressibilityTesting,0.00011531658696927209
#yes,8.23105265875933e-05
level6,3.4239865685879164e-05
encryption,2.1355052446740623e-05
level4,1.1228269703013255e-06
unlimitedWindowSize,8.72210567104772e-07
level5,0.0
