,importance
compressionZpaq,0.4818774990539366
level9,0.3965407319839811
level3,0.0347498312958358
encryption,0.03279322997063046
level7,0.023879313606938346
disableCompressibilityTesting,0.018475112102140364
compressionLrzip,0.0052811772192344125
compressionBzip2,0.0036591836070672414
compressionLzo,0.0018447015664266894
compressionGzip,0.0006734090467702089
level2,0.00011669183012892401
unlimitedWindowSize,5.813024847928181e-05
level4,4.953620637781363e-05
level5,1.452262052811958e-06
level1,0.0
level6,0.0
level,0.0
level8,0.0
compression,0.0
root,0.0
