,importance
compressionZpaq,0.5767346249574307
level8,0.1848778656478657
level9,0.15112967270692043
level1,0.027729370835261502
level2,0.020757113339793232
compressionLrzip,0.017821403114616986
level3,0.014702946148932075
level7,0.003487608871691236
compressionBzip2,0.0018770179842717324
compression,0.000462296877014545
compressionLzo,0.0002163948162203989
disableCompressibilityTesting,0.00010447093556804528
encryption,4.340107608541946e-05
compressionGzip,2.7136470092293758e-05
#yes,1.7163770629243078e-05
level6,8.265994841855611e-06
level5,1.627790403008837e-06
unlimitedWindowSize,1.618662361608994e-06
level4,0.0
