,importance
compressionZpaq,0.5710771752079637
level9,0.1841519437607114
level8,0.17234190450925566
compressionLrzip,0.01788174781058798
level1,0.015558134463968438
level2,0.012225470126128317
level3,0.010644857058307958
level7,0.00602476970854625
level5,0.0026599991323674158
level4,0.002455869858368304
compressionBzip2,0.0022192557609097426
level6,0.0014025637130756418
disableCompressibilityTesting,0.0005147787767262009
#yes,0.0004173210722492545
compressionGzip,0.00036240013552807804
encryption,4.389257484219134e-05
unlimitedWindowSize,1.5698350958328447e-05
compressionLzo,1.3014199122153987e-06
compression,9.165595927047482e-07
