,importance
compressionZpaq,0.5385231975224828
level9,0.19829455578538213
level8,0.17554614353076523
level1,0.022587015379165833
level3,0.018577014360787007
compressionLrzip,0.01757729019525283
level2,0.015632838678139298
level7,0.006578018037584286
compressionBzip2,0.0025646314117798302
level4,0.0014390860512083277
level6,0.0014118783018287407
level5,0.0006830388039865563
compressionGzip,0.00039492430540903563
disableCompressibilityTesting,0.00015800063916341454
encryption,1.797093713432824e-05
unlimitedWindowSize,1.1985153781048072e-05
compressionLzo,1.6962673269500076e-06
compression,7.14638822402369e-07
level,0.0
root,0.0
