,importance
compression,1.447618963515141e+20
compressionLzo,5.0424924785787036e+19
compressionGzip,5.042492478578701e+19
compressionBzip2,5.042492478578685e+19
compressionLrzip,5.04249247857865e+19
compressionZpaq,5.0424924785784816e+19
#yes,4.716848578286359e+19
encryption,4.716848578286348e+19
unlimitedWindowSize,4.7168485782863405e+19
disableCompressibilityTesting,4.716848578286337e+19
level2,4.1946185649484235e+19
level3,4.194618564948419e+19
level1,4.194618564948412e+19
level5,4.194618564948391e+19
level4,4.1946185649483874e+19
level6,4.194618564948387e+19
level7,4.194618564948378e+19
level9,4.194618564948327e+19
level8,4.194618564948318e+19
