,importance
compressionZpaq,0.51342956852609
level8,0.23245159953782246
level9,0.16630358903518377
level3,0.01865112037978494
compressionLrzip,0.01601560616366878
level2,0.015159499108015732
level1,0.01377945515183551
level7,0.008166555342273214
level4,0.005271051271024097
level5,0.00376704996997374
level6,0.002957579438910917
compressionBzip2,0.0027230728927695245
unlimitedWindowSize,0.0006799067113738435
compressionGzip,0.0003076689742153916
disableCompressibilityTesting,0.00022857112234010338
compressionLzo,7.337053020756806e-05
encryption,2.6497048897513433e-05
#yes,8.16718544580803e-06
compression,7.161016707004693e-08
