,importance
compressionZpaq,0.6173886276744319
level9,0.31823759215037173
level1,0.04907137150300344
compressionLrzip,0.011055017037346761
compressionBzip2,0.0029934766638698876
compressionGzip,0.0005153510892008891
level6,0.00020165540030652222
disableCompressibilityTesting,0.00014573117598957634
level2,0.00012362956214425765
level5,8.687439158783556e-05
encryption,6.74842271822866e-05
level3,5.080680519652671e-05
level4,3.7220529097500566e-05
unlimitedWindowSize,2.1553405165812083e-05
compression,1.7759763399654626e-06
compressionLzo,1.6942662791428394e-06
level7,1.1523483966319248e-07
level8,2.2907646346885322e-08
level,0.0
root,0.0
