,importance
compressionZpaq,0.4608657111734846
compressionLrzip,0.30803211105389966
compression,0.10761102482438722
compressionBzip2,0.08033685354969597
level5,0.014519888276472884
compressionGzip,0.01296127687070702
level3,0.008816933177875652
compressionLzo,0.00560329860724119
encryption,0.0011182964652549936
level1,5.1700464885685363e-05
level2,3.2991486836781225e-05
level9,1.6046680645180648e-05
level8,1.5954915198415367e-05
level4,7.905665769157406e-06
level7,4.649710449569542e-06
level6,4.054693013258389e-06
disableCompressibilityTesting,8.123894660176322e-07
unlimitedWindowSize,4.899947167633428e-07
level,0.0
root,0.0
