,importance
compressionZpaq,0.5164667956598573
level8,0.20118608386098163
level9,0.15786674808720663
level1,0.04429207423268656
level3,0.02626949393492943
level2,0.025967870544201504
compressionLrzip,0.01932348480234908
level7,0.004953434969547796
compressionBzip2,0.0024810729424451024
compression,0.0005118111674074327
compressionLzo,0.0003907898260478138
disableCompressibilityTesting,0.0002502296021811516
encryption,1.2613108133966695e-05
unlimitedWindowSize,1.0540858553684188e-05
level6,8.937780648572577e-06
level4,7.369798984368765e-06
compressionGzip,5.901692513611913e-07
#yes,5.865458649312479e-08
level5,0.0
