,importance
max,0.5793337285301132
polly_no_tiling,0.1518584966265682
memory_based,0.10728413369396705
value_based,0.09460995450352286
parallel,0.023035434852275292
none,0.015006412703467328
polly,0.01072889234706386
pollydefaulttilesize_4,0.006074682512136374
min,0.004765530380268497
pollydefaulttilesize_1024,0.0013558814569314746
pollydefaulttilesize_64,0.0011861522518579102
polly_parallel,0.0006992832883670295
pollydefaulttilesize_256,0.0004757829411585608
pollydefaulttilesize_16,0.0003898328132064182
polly_opt_simplify_deps,0.00030685400424522886
pollyoptmaxconstantterm_1,0.0002451146043629756
pollyoptmaxconstantterm_10000,0.000214448016268371
pollyoptmaxconstantterm_10,0.00020788672252209186
pollyrtcmaxparameters_2,0.00020111465396145697
pollyoptmaxcoefficient_10000,0.00019818806887702563
pollyrtcmaxparameters_1,0.0001898523284491109
pollyrtcmaxparameters_4,0.00018289589065497707
pollyoptmaxcoefficient_10,0.0001816574209167926
pollyoptmaxconstantterm_1000,0.00017456656755676008
pollyoptmaxcoefficient_100,0.000172391861177004
pollyoptmaxcoefficient_1,0.00016857305886832768
pollyoptmaxcoefficient_1000,0.0001673632813493536
parallel_force,0.00015042438353056058
pollyoptmaxconstantterm_100,0.00014557141828084788
pollyrtcmaxparameters_16,0.00014546335119382822
pollyrtcmaxparameters_8,0.00014343546688125861
pollyoptmaxcoefficient,0.0
pollyoptmaxconstantterm,0.0
polly_vectorizer,0.0
pollydefaulttilesize,0.0
pollyrtcmaxparameters,0.0
polly_opt_fusion,0.0
polly_dependences_analysis_type,0.0
polly_delinearize,0.0
root,0.0
