,importance
polly_no_tiling,0.28357470975784854
max,0.24415956594018948
memory_based,0.16264995008019803
min,0.15567152307446372
value_based,0.06720137737823298
parallel,0.029748820534939567
pollydefaulttilesize_4,0.02199429735447381
polly,0.0167344573772537
none,0.013534496693442446
pollydefaulttilesize_64,0.0011651030668407402
pollydefaulttilesize_1024,0.0008304694133321759
pollydefaulttilesize_256,0.0005790778662861256
pollydefaulttilesize_16,0.00030648702082725727
pollyrtcmaxparameters_1,0.0001694204933884276
pollyoptmaxcoefficient_10,0.0001558798035509203
pollyoptmaxconstantterm_1,0.00013980466355643153
pollyoptmaxcoefficient_10000,0.000137340541581086
pollyoptmaxcoefficient_1,0.00013045979441878713
pollyoptmaxconstantterm_100,0.00011476786150964794
polly_opt_simplify_deps,0.00011084893273799102
parallel_force,0.00010656143013319894
polly_parallel,0.00010281090590891619
pollyrtcmaxparameters_2,0.00010194114702053491
pollyoptmaxconstantterm_1000,0.00010006745291075273
pollyrtcmaxparameters_16,9.934138583891409e-05
pollyrtcmaxparameters_4,9.359066213254647e-05
pollyoptmaxcoefficient_100,8.517924434526175e-05
pollyrtcmaxparameters_8,8.438121379264054e-05
pollyoptmaxconstantterm_10,6.735653759244696e-05
pollyoptmaxcoefficient_1000,2.80446488217173e-05
pollyoptmaxconstantterm_10000,2.1867722431219697e-05
pollyoptmaxcoefficient,0.0
pollyoptmaxconstantterm,0.0
polly_vectorizer,0.0
pollydefaulttilesize,0.0
pollyrtcmaxparameters,0.0
polly_opt_fusion,0.0
polly_dependences_analysis_type,0.0
polly_delinearize,0.0
root,0.0
