,importance
polly_no_tiling,0.3039680491580824
min,0.26598303719565464
max,0.14590303603206586
value_based,0.1229046415556722
memory_based,0.12252384266578982
pollydefaulttilesize_4,0.01394379755907377
parallel,0.012952315217934315
polly,0.006879898944488463
none,0.0033061956543887646
#yes,0.0005147172739968247
pollydefaulttilesize_16,0.00029439339742685136
pollyoptmaxconstantterm_1000,0.00021512386704673463
pollydefaulttilesize_1024,0.00014525325224645083
polly_opt_simplify_deps,0.00010625598610187822
pollydefaulttilesize_64,0.00010156920086965559
pollyrtcmaxparameters_8,5.9279077500123255e-05
parallel_force,3.9873478493639014e-05
pollyoptmaxconstantterm_10,3.807815119755272e-05
pollyrtcmaxparameters_4,3.0436687882305324e-05
pollyoptmaxcoefficient_1,1.694659369157384e-05
pollyrtcmaxparameters_2,1.6913791562647777e-05
pollyoptmaxconstantterm_100,1.4291654310893018e-05
pollyoptmaxcoefficient_10,1.3521279326448187e-05
pollyoptmaxconstantterm_1,8.51857614262183e-06
pollyoptmaxconstantterm_10000,8.365543723361862e-06
pollyrtcmaxparameters_1,8.293298511143738e-06
polly_parallel,1.818120292432395e-06
pollyoptmaxcoefficient_10000,1.031408146398417e-06
pollyoptmaxcoefficient_100,5.053783803604459e-07
pollyoptmaxcoefficient_1000,0.0
pollyrtcmaxparameters_16,0.0
pollydefaulttilesize_256,0.0
