,importance
polly_no_tiling,0.2964057098128635
value_based,0.2690576265289681
max,0.25382096536970566
memory_based,0.06711261664242572
min,0.06432202287210875
polly,0.014995875687131028
parallel,0.009849954968551872
pollydefaulttilesize_4,0.006274320959212765
none,0.00624041664303162
pollydefaulttilesize_1024,0.0028917715787935426
parallel_force,0.0018819649002703672
pollydefaulttilesize_64,0.0012483516346264351
pollyrtcmaxparameters_4,0.001129003558344283
polly_parallel,0.0009054227424129034
pollyoptmaxcoefficient_1000,0.0006837536018467837
pollydefaulttilesize_256,0.0004900994379762137
pollydefaulttilesize_16,0.0002955529819936085
pollyrtcmaxparameters_16,0.0002800363566122869
pollyoptmaxcoefficient_1,0.0002694520625076382
pollyoptmaxconstantterm_10000,0.00023762788608800646
polly_opt_simplify_deps,0.00021800459145844805
pollyoptmaxconstantterm_1,0.00021636552428279504
pollyoptmaxconstantterm_100,0.00019859695317790381
pollyrtcmaxparameters_2,0.00017082125797600453
pollyoptmaxconstantterm_10,0.00015558416162650223
pollyoptmaxcoefficient_10000,0.00013281277261630305
pollyoptmaxconstantterm_1000,0.00011807554217278312
pollyoptmaxcoefficient_10,0.00010859860264667942
pollyoptmaxcoefficient_100,0.00010279337063996115
pollyrtcmaxparameters_1,9.367956219869925e-05
pollyrtcmaxparameters_8,9.212143573280308e-05
pollyoptmaxcoefficient,0.0
pollyoptmaxconstantterm,0.0
polly_vectorizer,0.0
pollydefaulttilesize,0.0
pollyrtcmaxparameters,0.0
polly_opt_fusion,0.0
polly_dependences_analysis_type,0.0
polly_delinearize,0.0
root,0.0
