,importance
polly_no_tiling,0.3423294989579294
min,0.14729784068181254
memory_based,0.14586376939164322
max,0.14068269389800214
value_based,0.10950737696618376
polly,0.043256083113925405
parallel,0.03890255914408922
none,0.02405488376076845
parallel_force,0.0031327415227135765
polly_parallel,0.0007360818310246499
pollyrtcmaxparameters_1,0.0007177748838805313
pollydefaulttilesize_4,0.0006369579644796664
polly_opt_simplify_deps,0.0004886890034466656
pollyoptmaxconstantterm_10,0.0003051534715204784
pollyoptmaxconstantterm_10000,0.00022645432593661674
pollyoptmaxconstantterm_1000,0.00020249820739103795
pollyoptmaxconstantterm_1,0.00020016212885140555
pollyoptmaxcoefficient_1,0.00017606758142129852
pollydefaulttilesize_1024,0.00017401773671737238
pollyoptmaxconstantterm_100,0.0001673435010825321
pollyrtcmaxparameters_4,0.00016705095483968518
pollyrtcmaxparameters_2,0.0001624493171974631
pollyoptmaxcoefficient_10000,0.0001386849084190614
pollyrtcmaxparameters_16,0.00013349740837073867
pollyrtcmaxparameters_8,9.284699853033387e-05
pollyoptmaxcoefficient_10,8.742970075059132e-05
pollydefaulttilesize_16,7.004311680766508e-05
pollyoptmaxcoefficient_100,5.5689646481323195e-05
pollyoptmaxcoefficient_1000,2.963841434004663e-05
pollydefaulttilesize_64,2.118224731503968e-06
pollydefaulttilesize_256,1.9032367115731738e-06
pollyoptmaxconstantterm,0.0
polly_vectorizer,0.0
pollyrtcmaxparameters,0.0
pollyoptmaxcoefficient,0.0
polly_opt_fusion,0.0
polly_dependences_analysis_type,0.0
pollydefaulttilesize,0.0
polly_delinearize,0.0
root,0.0
