,importance
polly_parallel,153563556721457.53
pollyrtcmaxparameters_8,108329566055859.83
pollyrtcmaxparameters_2,108329566055859.55
pollyrtcmaxparameters_4,108329566055859.38
pollyrtcmaxparameters_16,108329566055859.36
pollyrtcmaxparameters_1,108329566055859.2
max,87124040280747.94
min,87124040280743.12
parallel_force,78352254180265.34
parallel,78352254180263.64
polly_no_tiling,37605651270599.47
polly_opt_simplify_deps,37605651270596.016
#yes,37605651270595.95
polly,35000980668459.445
none,35000980668459.02
memory_based,29330669994791.773
value_based,29330669994787.027
pollyoptmaxcoefficient_100,21482155405361.562
pollyoptmaxcoefficient_1000,21482155405360.777
pollyoptmaxcoefficient_1,21482155405360.73
pollyoptmaxcoefficient_10000,21482155405360.715
pollyoptmaxcoefficient_10,21482155405360.68
pollyoptmaxconstantterm_10000,1737717566004.9792
pollyoptmaxconstantterm_100,1737717566004.957
pollyoptmaxconstantterm_10,1737717566004.9514
pollyoptmaxconstantterm_1000,1737717566004.8853
pollyoptmaxconstantterm_1,1737717566004.792
pollydefaulttilesize_1024,1126259028136.2017
pollydefaulttilesize_64,1126259028135.5413
pollydefaulttilesize_256,1126259028135.0146
pollydefaulttilesize_16,1126259028133.6123
pollydefaulttilesize_4,1126259028128.7048
