,importance
polly_no_tiling,0.42976037684008345
max,0.17184926817944074
memory_based,0.15399338436278842
min,0.13567257714244035
value_based,0.029388658186751637
parallel,0.028181569782194663
pollydefaulttilesize_4,0.01633735068738035
none,0.014675633680126381
polly,0.013877194833932183
pollydefaulttilesize_1024,0.0015678487998591925
pollydefaulttilesize_64,0.0009193105419338663
pollydefaulttilesize_256,0.0004890498612540153
pollydefaulttilesize_16,0.00038937021191660925
#yes,0.0003409497169940195
pollyoptmaxconstantterm_1000,0.00018821230473549936
pollyrtcmaxparameters_4,0.00017416828621830737
pollyrtcmaxparameters_2,0.00017359361400884658
polly_opt_simplify_deps,0.0001647785807275208
pollyoptmaxconstantterm_10000,0.00015566866516041072
pollyoptmaxcoefficient_10000,0.0001520239662549481
pollyoptmaxcoefficient_1,0.00015143185710666965
pollyrtcmaxparameters_1,0.00014891714547786696
pollyoptmaxcoefficient_100,0.00014065923299326995
pollyrtcmaxparameters_16,0.00013989569803912722
parallel_force,0.00013250012640575107
pollyrtcmaxparameters_8,0.00013171439070715278
pollyoptmaxcoefficient_1000,0.00013162047700419324
pollyoptmaxconstantterm_10,0.00012623899943173668
pollyoptmaxcoefficient_10,0.00012595917351201035
pollyoptmaxconstantterm_100,0.00012542927441761388
pollyoptmaxconstantterm_1,0.00010574446116809458
polly_parallel,8.890091953510737e-05
