,importance
polly_no_tiling,0.34483004415123064
value_based,0.23399108044523445
min,0.15532191781274896
memory_based,0.1264485689383808
max,0.05912834893082528
parallel,0.03099775916960775
pollydefaulttilesize_4,0.02004964224366385
none,0.015823865355591618
polly,0.007228320360851533
pollydefaulttilesize_1024,0.0032683601020409986
pollydefaulttilesize_16,0.0006290772213021213
#yes,0.00048111383498938604
polly_opt_simplify_deps,0.00024190812171120398
pollyoptmaxconstantterm_100,0.00019484989239948577
pollyoptmaxconstantterm_10000,0.00018795028643690614
pollyoptmaxconstantterm_1,0.00018322649065995416
pollyoptmaxconstantterm_10,0.00017020221898515149
pollyoptmaxconstantterm_1000,0.00016220080877976645
pollyrtcmaxparameters_1,0.00013684594454296573
pollyrtcmaxparameters_2,0.00011236227610002616
parallel_force,9.517498587587694e-05
polly_parallel,9.47691471538111e-05
pollydefaulttilesize_256,4.3708372742381694e-05
pollyrtcmaxparameters_8,3.4199427039267245e-05
pollyoptmaxcoefficient_100,3.250499651121196e-05
pollyoptmaxcoefficient_1,3.118749197148021e-05
pollyrtcmaxparameters_16,2.1163139835897318e-05
pollyoptmaxcoefficient_1000,1.760091431419152e-05
pollyoptmaxcoefficient_10000,1.3394280546658357e-05
pollyrtcmaxparameters_4,1.094501580694898e-05
pollydefaulttilesize_64,9.823736999349511e-06
pollyoptmaxcoefficient_10,7.883885120077018e-06
