,importance
polly_no_tiling,0.22532574039782616
min,0.21866283420489316
memory_based,0.2151437166552912
max,0.14561123652029226
value_based,0.14390523663243296
pollydefaulttilesize_4,0.01698765361161665
none,0.009654973051940763
polly,0.008963900093299499
parallel,0.007873237450952784
polly_parallel,0.0026582348813314277
pollydefaulttilesize_1024,0.0015107603695726688
pollydefaulttilesize_64,0.0012523937689390432
pollydefaulttilesize_16,0.0004250314984157704
pollydefaulttilesize_256,0.0002466806969014324
pollyoptmaxconstantterm_10000,0.00015160627601507282
polly_opt_simplify_deps,0.00013603396671580395
pollyoptmaxcoefficient_10000,0.00012217901570080143
pollyoptmaxcoefficient_1,0.00011794328562111157
pollyoptmaxcoefficient_100,0.00011530816512662442
pollyoptmaxconstantterm_1,0.00011473347484879574
pollyrtcmaxparameters_1,0.00011107177395760714
pollyoptmaxconstantterm_1000,0.00011001182781547692
pollyoptmaxcoefficient_1000,0.00010377263037706368
pollyrtcmaxparameters_2,0.0001028994757390721
pollyoptmaxconstantterm_10,9.809261968267713e-05
pollyoptmaxconstantterm_100,9.54209906910636e-05
pollyoptmaxcoefficient_10,8.961866756883267e-05
pollyrtcmaxparameters_8,8.544066039718318e-05
pollyrtcmaxparameters_4,8.328259839556928e-05
pollyrtcmaxparameters_16,7.845358774981152e-05
parallel_force,6.250114989171615e-05
pollyoptmaxcoefficient,0.0
pollyoptmaxconstantterm,0.0
polly_vectorizer,0.0
pollyrtcmaxparameters,0.0
pollydefaulttilesize,0.0
polly_opt_fusion,0.0
polly_dependences_analysis_type,0.0
polly_delinearize,0.0
root,0.0
