,importance
min,0.331423407513768
memory_based,0.24703762082358552
polly_no_tiling,0.2238694043320435
value_based,0.10867151510850452
max,0.03532521330921002
pollydefaulttilesize_4,0.016344652984108803
none,0.015482707969746226
polly,0.006270407587327653
parallel,0.0051189896122509695
polly_parallel,0.002898313814967401
#yes,0.0026533385702632176
pollydefaulttilesize_64,0.0013527140109362863
pollydefaulttilesize_1024,0.0011526475432380955
pollydefaulttilesize_16,0.0004136301969781083
pollydefaulttilesize_256,0.00024065295162378238
parallel_force,0.00015192827141454016
pollyoptmaxconstantterm_10000,0.0001371616236683876
pollyoptmaxcoefficient_1000,0.00011094995334396483
pollyoptmaxcoefficient_100,0.00010913531151935418
pollyoptmaxconstantterm_1,0.0001086843747197143
pollyoptmaxcoefficient_1,0.0001080359777810106
pollyrtcmaxparameters_1,0.00010752567733780562
pollyoptmaxcoefficient_10000,0.00010652755105565792
pollyoptmaxconstantterm_10,0.00010405695581683502
pollyoptmaxcoefficient_10,0.00010298161736848139
pollyrtcmaxparameters_8,9.925202042167336e-05
pollyoptmaxconstantterm_1000,9.812956475234458e-05
pollyrtcmaxparameters_2,9.147552631781892e-05
pollyrtcmaxparameters_4,8.58482549592685e-05
pollyoptmaxconstantterm_100,8.483427724823572e-05
polly_opt_simplify_deps,7.362260291873805e-05
pollyrtcmaxparameters_16,6.463411080418803e-05
