,importance
polly_no_tiling,0.2975685968591961
max,0.21799009268231007
min,0.17167551054051733
value_based,0.13739627875365282
memory_based,0.08812619755908573
parallel,0.029129527434060814
pollydefaulttilesize_4,0.022243521084412663
none,0.015606860193103944
polly,0.015376116319911717
pollydefaulttilesize_64,0.0013624197389609568
pollydefaulttilesize_1024,0.000656317913318418
pollydefaulttilesize_256,0.0004415043831850024
pollydefaulttilesize_16,0.0003335774121007643
pollyrtcmaxparameters_1,0.0001810997618147708
pollyoptmaxcoefficient_10,0.00016862816818643333
pollyoptmaxconstantterm_1,0.00016683284043821891
pollyoptmaxcoefficient_10000,0.0001585913721619032
polly_opt_simplify_deps,0.00014453694736375088
parallel_force,0.00013591764775555478
pollyoptmaxconstantterm_100,0.0001339204746201383
pollyoptmaxconstantterm_1000,0.000133234788446302
pollyoptmaxcoefficient_1,0.0001310083188013343
pollyrtcmaxparameters_2,0.00012484481753392403
pollyrtcmaxparameters_16,0.00010463164903462633
polly_parallel,0.00010436338230107674
pollyrtcmaxparameters_8,0.00010435675531867952
pollyrtcmaxparameters_4,0.00010088565968823371
pollyoptmaxcoefficient_100,7.983737680634505e-05
pollyoptmaxconstantterm_10,6.853270869513612e-05
pollyoptmaxconstantterm_10000,2.6374035926773138e-05
pollyoptmaxcoefficient_1000,2.5882421290524673e-05
pollyoptmaxcoefficient,0.0
pollyoptmaxconstantterm,0.0
polly_vectorizer,0.0
pollydefaulttilesize,0.0
pollyrtcmaxparameters,0.0
polly_opt_fusion,0.0
polly_dependences_analysis_type,0.0
polly_delinearize,0.0
root,0.0
