,importance
polly_no_tiling,0.30038826640090294
max,0.21751776690243044
min,0.1709033699818636
value_based,0.14171103048390984
memory_based,0.08163371434230021
parallel,0.029436039935399515
pollydefaulttilesize_4,0.02259258261269232
none,0.016228311821105193
polly,0.014517009893599891
pollydefaulttilesize_64,0.001369872545437447
pollydefaulttilesize_1024,0.0006610256118051397
pollydefaulttilesize_256,0.00045110041664037684
pollydefaulttilesize_16,0.0003355855319965494
#yes,0.00019736374428907792
pollyoptmaxcoefficient_10,0.00017814689501521747
pollyrtcmaxparameters_1,0.00017253348242073725
parallel_force,0.00016323565838918718
pollyoptmaxcoefficient_10000,0.00016082224947381595
pollyoptmaxconstantterm_1000,0.0001460423615155828
pollyoptmaxconstantterm_1,0.00013946747665217126
pollyoptmaxconstantterm_100,0.00013515611619550126
pollyoptmaxcoefficient_1,0.00013167664836501202
pollyrtcmaxparameters_2,0.0001274460767766172
pollyrtcmaxparameters_8,0.00011701706850788922
pollyrtcmaxparameters_16,0.00010635323686244631
pollyrtcmaxparameters_4,0.00010350712908480072
polly_parallel,9.546378638835955e-05
pollyoptmaxcoefficient_100,7.899984089651025e-05
polly_opt_simplify_deps,7.582965131795433e-05
pollyoptmaxconstantterm_10,6.933921592002589e-05
pollyoptmaxcoefficient_1000,3.1186044162713074e-05
pollyoptmaxconstantterm_10000,2.4736837682907975e-05
