,importance
max,0.3906028682856335
polly_no_tiling,0.29659604579083715
value_based,0.22511917857060512
parallel,0.030885198020611952
pollydefaulttilesize_4,0.022511455493230813
none,0.021337973392994772
polly,0.008058761853775395
pollydefaulttilesize_64,0.0012520911172744897
pollydefaulttilesize_1024,0.000791140581336864
pollydefaulttilesize_256,0.0005463336456140662
pollydefaulttilesize_16,0.000273886029262209
pollyrtcmaxparameters_1,0.00021066424905495982
#yes,0.00017939470315870524
pollyoptmaxcoefficient_10,0.00016770442340617077
pollyoptmaxcoefficient_10000,0.00016323807559288418
pollyrtcmaxparameters_4,0.00013753673571654615
pollyrtcmaxparameters_2,0.00013498135383464203
pollyoptmaxconstantterm_1,0.00011676935137543096
min,0.00011189453110845315
pollyrtcmaxparameters_16,0.00010844780606790263
pollyoptmaxconstantterm_1000,0.00010627729041032908
pollyoptmaxcoefficient_1,0.00010282548814340777
pollyoptmaxconstantterm_100,9.872296157345729e-05
pollyoptmaxcoefficient_100,8.755038378401363e-05
polly_opt_simplify_deps,7.025598957669564e-05
pollyoptmaxconstantterm_10,6.338996614024632e-05
parallel_force,5.366790425324413e-05
pollyrtcmaxparameters_8,4.6467382410290846e-05
polly_parallel,2.609302610709878e-05
pollyoptmaxconstantterm_10000,2.070448165861897e-05
pollyoptmaxcoefficient_1000,1.8481115450622076e-05
memory_based,0.0
