,importance
max,0.49547287932553646
polly_no_tiling,0.19367607817832272
memory_based,0.08906759156736428
min,0.07677037993625599
value_based,0.07637433103854564
parallel,0.022925142642727738
none,0.01928533212850287
polly,0.011470844590995628
pollydefaulttilesize_4,0.0072528849539129905
pollydefaulttilesize_1024,0.0014537395676755573
pollydefaulttilesize_64,0.0012465360903640916
#yes,0.000609087660852674
pollydefaulttilesize_256,0.00048774165390425445
pollydefaulttilesize_16,0.0004374176875955994
polly_parallel,0.0003258280868249086
pollyoptmaxconstantterm_1,0.0002438579239127701
pollyrtcmaxparameters_2,0.00022114090987862244
pollyoptmaxconstantterm_10000,0.00021218767416408057
pollyoptmaxcoefficient_10000,0.00021010462377515782
pollyoptmaxconstantterm_1000,0.00020456516753755165
pollyoptmaxconstantterm_10,0.00020148847598516458
pollyoptmaxcoefficient_10,0.00020068568259495377
pollyrtcmaxparameters_1,0.000196391743592367
pollyoptmaxcoefficient_100,0.00018366929707371537
pollyoptmaxcoefficient_1000,0.0001809080474507196
pollyoptmaxconstantterm_100,0.00017406402637650708
pollyrtcmaxparameters_4,0.00017389994195451678
pollyoptmaxcoefficient_1,0.0001662856240835738
pollyrtcmaxparameters_8,0.00016330747783193186
polly_opt_simplify_deps,0.00015861187161456534
pollyrtcmaxparameters_16,0.00015668953396346866
parallel_force,9.63268688289534e-05
