,importance
polly_parallel,100354953050594.58
memory_based,61760012984600.52
value_based,61760012984594.234
parallel,54832672382458.46
parallel_force,54832672382457.7
pollydefaulttilesize_4,42522403357201.64
pollydefaulttilesize_16,42522403357201.52
pollydefaulttilesize_256,42522403357201.44
pollydefaulttilesize_64,42522403357201.34
pollydefaulttilesize_1024,42522403357201.28
pollyoptmaxcoefficient_1000,26554067988348.574
pollyoptmaxcoefficient_10,26554067988348.438
pollyoptmaxcoefficient_10000,26554067988348.33
pollyoptmaxcoefficient_1,26554067988348.105
pollyoptmaxcoefficient_100,26554067988348.1
pollyrtcmaxparameters_16,25184500276885.863
pollyrtcmaxparameters_4,25184500276885.684
pollyrtcmaxparameters_8,25184500276885.58
pollyrtcmaxparameters_1,25184500276885.47
pollyrtcmaxparameters_2,25184500276885.438
#yes,22761140334068.9
polly_opt_simplify_deps,22761140334066.6
polly_no_tiling,22761140334063.73
pollyoptmaxconstantterm_1,10394204489355.701
pollyoptmaxconstantterm_100,10394204489355.697
pollyoptmaxconstantterm_10,10394204489355.568
pollyoptmaxconstantterm_10000,10394204489355.434
pollyoptmaxconstantterm_1000,10394204489355.078
min,8310833289718.155
max,8310833289711.926
none,5616979759606.6455
polly,5616979759604.362
