,importance
polly_no_tiling,0.3420868420058239
max,0.19509394507376476
memory_based,0.1485889808051906
value_based,0.12944558549453947
min,0.0712680139827131
parallel,0.04428602522095947
polly,0.040802406381783306
none,0.0179683816602731
parallel_force,0.0036441226383472814
polly_parallel,0.0009461931954471038
polly_opt_simplify_deps,0.0006460563292274187
pollydefaulttilesize_4,0.0006077360703208248
pollyrtcmaxparameters_4,0.00041433625937940593
pollyrtcmaxparameters_2,0.00034715942825098214
pollyoptmaxconstantterm_1,0.00034538437199934513
pollyoptmaxconstantterm_100,0.00033861553782087747
pollyoptmaxcoefficient_10,0.00033153014855107153
pollyrtcmaxparameters_16,0.0003111732255282679
pollyrtcmaxparameters_1,0.0002935937444710224
pollyoptmaxcoefficient_1,0.00028563541517472144
pollyoptmaxconstantterm_10,0.00028474033191090177
pollyoptmaxconstantterm_10000,0.0002768455909877723
pollyrtcmaxparameters_8,0.0002692938826540667
pollyoptmaxconstantterm_1000,0.00025947768485140425
pollyoptmaxcoefficient_100,0.0002228389405341953
pollyoptmaxcoefficient_10000,0.00022023563922942243
pollyoptmaxcoefficient_1000,0.00020359863321024922
pollydefaulttilesize_16,0.00010903779971967382
pollydefaulttilesize_1024,9.477232254436348e-05
pollydefaulttilesize_64,6.183574459567254e-06
pollydefaulttilesize_256,1.2586103322625052e-06
pollyoptmaxcoefficient,0.0
pollyoptmaxconstantterm,0.0
polly_vectorizer,0.0
pollyrtcmaxparameters,0.0
polly_opt_fusion,0.0
pollydefaulttilesize,0.0
polly_dependences_analysis_type,0.0
polly_delinearize,0.0
root,0.0
