,importance
pollyoptmaxconstantterm_1000,0.21500682720383718
memory_based,0.11584287369006509
polly_no_tiling,0.08289155605247485
pollyrtcmaxparameters_2,0.0784755917270263
value_based,0.07147081463112923
pollyoptmaxcoefficient_1,0.05836017717688345
pollyrtcmaxparameters_1,0.057614503343134886
pollyoptmaxconstantterm_1,0.045680607215604074
pollydefaulttilesize_64,0.04237832209406916
min,0.029173141300922387
pollydefaulttilesize_256,0.028263696807256367
pollyoptmaxcoefficient_10000,0.02136130339238639
parallel,0.01846777144376945
pollydefaulttilesize_1024,0.017155546355021128
max,0.016568068432564705
parallel_force,0.015651239021896843
pollyoptmaxconstantterm_10000,0.015313691593787825
polly_opt_simplify_deps,0.012338598549599185
pollyoptmaxcoefficient_1000,0.012051935057750747
polly,0.01132307599467943
pollydefaulttilesize_4,0.009866307154808688
polly_parallel,0.007752113256290184
none,0.005724647438565318
pollyoptmaxcoefficient_10,0.0052225551360133805
pollyrtcmaxparameters_8,0.0019951004018653623
pollyoptmaxconstantterm_10,0.0018868067937653607
pollyrtcmaxparameters_4,0.001189019177180492
pollydefaulttilesize_16,0.0005879141370113615
pollyrtcmaxparameters_16,0.00034199976309310645
pollyoptmaxcoefficient_100,2.276698654607046e-05
pollyoptmaxconstantterm_100,2.1428671002021415e-05
pollyoptmaxconstantterm,0.0
pollyoptmaxcoefficient,0.0
polly_vectorizer,0.0
pollyrtcmaxparameters,0.0
pollydefaulttilesize,0.0
polly_opt_fusion,0.0
polly_dependences_analysis_type,0.0
polly_delinearize,0.0
root,0.0
