,importance
polly_no_tiling,0.4176135619621871
memory_based,0.17523710092678965
value_based,0.15424924098013984
max,0.11095684743751047
parallel,0.049328425066670324
min,0.049071447430180305
polly,0.019811712854639972
none,0.01707511917677397
pollyoptmaxconstantterm_1,0.0016445122463612785
polly_opt_simplify_deps,0.0012016403133816857
parallel_force,0.0011794699593476931
polly_parallel,0.0009800507541526384
pollyoptmaxconstantterm_10000,0.0004406369456371449
pollyoptmaxconstantterm_100,0.00041910607204164466
pollyoptmaxconstantterm_1000,0.0004081755516870802
pollyoptmaxconstantterm_10,0.0003829523224990644
pollydefaulttilesize_16,0.0
pollyoptmaxcoefficient,0.0
pollydefaulttilesize_64,0.0
pollydefaulttilesize_4,0.0
pollydefaulttilesize,0.0
pollyoptmaxcoefficient_10000,0.0
pollyoptmaxcoefficient_1000,0.0
pollyoptmaxcoefficient_100,0.0
pollyoptmaxcoefficient_10,0.0
pollyoptmaxcoefficient_1,0.0
pollydefaulttilesize_256,0.0
root,0.0
pollyrtcmaxparameters_8,0.0
pollyoptmaxconstantterm,0.0
pollyrtcmaxparameters_16,0.0
polly_vectorizer,0.0
pollyrtcmaxparameters_4,0.0
pollyrtcmaxparameters_2,0.0
pollyrtcmaxparameters_1,0.0
pollyrtcmaxparameters,0.0
polly_opt_fusion,0.0
polly_dependences_analysis_type,0.0
polly_delinearize,0.0
pollydefaulttilesize_1024,0.0
