,importance
polly_no_tiling,0.3471040908156221
value_based,0.20121056784942387
memory_based,0.1662551972882542
min,0.1524221621417334
max,0.05198343901365718
parallel,0.031127589246173232
pollydefaulttilesize_4,0.019370071914509908
none,0.01672136053385844
polly,0.007327172781334465
pollydefaulttilesize_1024,0.003313164648818015
pollydefaulttilesize_16,0.0008492247580268245
#yes,0.0004954829588534069
polly_opt_simplify_deps,0.0002418299276146453
pollyoptmaxconstantterm_1000,0.00018840551634205431
pollyoptmaxconstantterm_10000,0.00018759674028494952
pollyoptmaxconstantterm_1,0.0001790364852157322
pollyoptmaxconstantterm_100,0.0001752579235813152
pollyoptmaxconstantterm_10,0.0001752148956498729
parallel_force,0.00012789682246776548
pollyrtcmaxparameters_1,0.00012570484911319298
pollyrtcmaxparameters_2,0.00011366454294024383
polly_parallel,8.96026424131854e-05
pollydefaulttilesize_256,4.1723864657626294e-05
pollyrtcmaxparameters_8,3.709069259795316e-05
pollyoptmaxcoefficient_1,3.208043812406196e-05
pollyoptmaxcoefficient_100,2.7608385547544452e-05
pollyrtcmaxparameters_16,1.825311196041984e-05
pollyoptmaxcoefficient_1000,1.7603073648114626e-05
pollyoptmaxcoefficient_10000,1.4239703669013193e-05
pollyrtcmaxparameters_4,1.0576118650763343e-05
pollydefaulttilesize_64,9.221693608917708e-06
pollyoptmaxcoefficient_10,7.868621647601124e-06
