,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,GradientBoostingTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'PPMd', 'x_6', 'LZMA', 'LZMA2',
       'x_2', '#yes', 'x_0', 'x_4'],
      dtype='object')",LinearRegression(),Performance,0.1,"BZip2      1.148246e+17
Deflate    1.148246e+17
LZMA2      1.148246e+17
LZMA       1.148246e+17
PPMd       1.148246e+17
x_10       6.429202e+16
x_8        6.429202e+16
x_6        6.429202e+16
x_0        6.429202e+16
x_2        6.429202e+16
x_4        6.429202e+16
#yes       5.580000e+02
dtype: float64","count    3682.000000
mean       65.202885
std        74.180913
min         0.010433
25%        11.911680
50%        33.717509
75%        89.767239
max       370.504451
Name: % error, dtype: float64",12
1,Lasso,False,GradientBoostingTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'PPMd', 'x_6', 'LZMA', 'LZMA2',
       'x_2', '#yes', 'x_0', 'x_4'],
      dtype='object')","Lasso(alpha=25, max_iter=100)",Performance,0.1,"x_10       32704.291573
x_8        11709.662789
PPMd        6104.448219
BZip2       4372.603586
x_6         3956.729105
LZMA        2692.100514
x_4         1609.691190
Deflate     1480.386947
x_2         1143.686166
x_0          863.061827
#yes         565.083794
dtype: float64","count    3682.000000
mean       64.691327
std        74.679221
min         0.013661
25%        11.880169
50%        33.067311
75%        86.000319
max       364.658054
Name: % error, dtype: float64",12
2,Ridge,False,GradientBoostingTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'PPMd', 'x_6', 'LZMA', 'LZMA2',
       'x_2', '#yes', 'x_0', 'x_4'],
      dtype='object')",Ridge(alpha=0.5),Performance,0.1,"x_10       25180.012228
x_4         9139.158974
x_2         8662.498964
x_0         8457.988011
PPMd        5634.162369
BZip2       5036.239640
x_8         4338.613529
x_6         3258.979808
LZMA        2205.891360
Deflate     2196.897131
LZMA2        606.916957
#yes         579.008280
dtype: float64","count    3682.000000
mean       66.476440
std        76.138156
min         0.021524
25%        12.148723
50%        34.494476
75%        89.638656
max       361.479560
Name: % error, dtype: float64",12
3,ElasticNet,False,GradientBoostingTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'PPMd', 'x_6', 'LZMA', 'LZMA2',
       'x_2', '#yes', 'x_0', 'x_4'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=100)",Performance,0.1,"x_10       32704.291573
x_8        11709.662789
PPMd        6104.448219
BZip2       4372.603586
x_6         3956.729105
LZMA        2692.100514
x_4         1609.691190
Deflate     1480.386947
x_2         1143.686166
x_0          863.061827
#yes         565.083794
dtype: float64","count    3682.000000
mean       64.691327
std        74.679221
min         0.013661
25%        11.880169
50%        33.067311
75%        86.000319
max       364.658054
Name: % error, dtype: float64",12
4,PolynomialRegression,False,GradientBoostingTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'PPMd', 'x_6', 'LZMA', 'LZMA2',
       'x_2', '#yes', 'x_0', 'x_4'],
      dtype='object')",LinearRegression(),Performance,0.1,"x_10       10552.691727
x_4         4742.289641
PPMd        4522.143446
x_0         4351.225612
x_2         3895.237942
BZip2       3466.027068
x_8         2584.444512
#yes         793.071363
LZMA         571.407356
LZMA2        414.852982
x_6          148.383044
Deflate       69.856041
dtype: float64","count    3682.000000
mean        8.473801
std         9.967547
min         0.003258
25%         2.358308
50%         5.622979
75%        11.011825
max        93.912944
Name: % error, dtype: float64",12
5,RandomForest,False,GradientBoostingTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'PPMd', 'x_6', 'LZMA', 'LZMA2',
       'x_2', '#yes', 'x_0', 'x_4'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"x_10      NaN
x_8       NaN
BZip2     NaN
Deflate   NaN
PPMd      NaN
x_6       NaN
LZMA      NaN
LZMA2     NaN
x_2       NaN
#yes      NaN
x_0       NaN
x_4       NaN
Name: % error, dtype: float64","count    3682.000000
mean        5.961613
std         6.096474
min         0.008346
25%         1.650755
50%         4.057953
75%         8.330539
max        49.212379
Name: % error, dtype: float64",12
6,GradientBoostingTree,False,GradientBoostingTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'PPMd', 'x_6', 'LZMA', 'LZMA2',
       'x_2', '#yes', 'x_0', 'x_4'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"x_10      NaN
x_8       NaN
BZip2     NaN
Deflate   NaN
PPMd      NaN
x_6       NaN
LZMA      NaN
LZMA2     NaN
x_2       NaN
#yes      NaN
x_0       NaN
x_4       NaN
Name: % error, dtype: float64","count    3682.000000
mean        9.130023
std         8.511695
min         0.001101
25%         2.666584
50%         6.793430
75%        13.318557
max        54.298533
Name: % error, dtype: float64",12
7,DecisionTree,False,GradientBoostingTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'PPMd', 'x_6', 'LZMA', 'LZMA2',
       'x_2', '#yes', 'x_0', 'x_4'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"x_10      NaN
x_8       NaN
BZip2     NaN
Deflate   NaN
PPMd      NaN
x_6       NaN
LZMA      NaN
LZMA2     NaN
x_2       NaN
#yes      NaN
x_0       NaN
x_4       NaN
Name: % error, dtype: float64","count    3682.000000
mean        5.656261
std         6.154880
min         0.000000
25%         1.475648
50%         3.715272
75%         7.808464
max        56.725146
Name: % error, dtype: float64",12
8,LinearRegression,False,GradientBoostingTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'PPMd', 'x_6', 'LZMA', 'LZMA2',
       'x_2', '#yes', 'x_0', 'x_4'],
      dtype='object')",LinearRegression(),Performance,0.2,"BZip2      2.907395e+16
Deflate    2.907395e+16
LZMA2      2.907395e+16
LZMA       2.907395e+16
PPMd       2.907395e+16
x_10       2.786421e+16
x_8        2.786421e+16
x_6        2.786421e+16
x_2        2.786421e+16
x_0        2.786421e+16
x_4        2.786421e+16
#yes       4.270000e+02
dtype: float64","count    3273.000000
mean       62.740349
std        74.632784
min         0.000000
25%        11.621622
50%        30.068767
75%        84.093872
max       363.026706
Name: % error, dtype: float64",12
9,Lasso,False,GradientBoostingTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'PPMd', 'x_6', 'LZMA', 'LZMA2',
       'x_2', '#yes', 'x_0', 'x_4'],
      dtype='object')","Lasso(alpha=10, max_iter=100)",Performance,0.2,"x_10       33120.651582
x_8        12271.294254
PPMd        6568.698319
BZip2       4563.286483
x_6         4397.425537
LZMA        1988.681427
x_4         1728.229195
x_0         1426.066147
Deflate     1126.338561
x_2          888.613459
#yes         432.370098
dtype: float64","count    3273.000000
mean       62.062494
std        73.525936
min         0.015482
25%        11.687162
50%        29.606301
75%        83.460909
max       363.139462
Name: % error, dtype: float64",12
