,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA', 'LZMA2',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')",LinearRegression(),Performance,0.1,"BZip2          3.643889e+17
Deflate        3.643889e+17
LZMA2          3.643889e+17
LZMA           3.643889e+17
PPMd           3.643889e+17
x_10           3.512313e+04
x_8            1.351577e+04
x_6            5.786039e+03
BlockSize_1    1.595730e+03
#yes           6.039464e+02
Files_0        4.699503e+02
mtOff          1.942922e+02
dtype: float64","count    3682.000000
mean       67.285106
std        78.893394
min         0.000000
25%        11.110386
50%        33.325783
75%        91.640665
max       369.080119
Name: % error, dtype: float64",12
1,Lasso,False,DecisionTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA', 'LZMA2',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')","Lasso(alpha=25, max_iter=100)",Performance,0.1,"x_10           34034.925917
x_8            13079.660081
PPMd            6059.752837
x_6             5338.868759
BZip2           4324.948607
LZMA            2629.033563
Deflate         1546.469982
BlockSize_1     1233.899020
#yes             562.696781
Files_0          194.660844
dtype: float64","count    3682.000000
mean       65.226336
std        74.904527
min         0.028307
25%        13.070963
50%        32.459127
75%        88.266251
max       363.366975
Name: % error, dtype: float64",12
2,Ridge,False,DecisionTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA', 'LZMA2',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')",Ridge(alpha=0.05),Performance,0.1,"x_10           34321.526310
x_8            13392.977183
x_6             5714.924564
PPMd            5668.347132
BZip2           4977.562060
Deflate         2223.296484
LZMA            2159.336658
BlockSize_1     1643.421839
#yes             632.881772
LZMA2            626.825247
Files_0          492.370139
mtOff            210.592166
dtype: float64","count    3682.000000
mean       67.243918
std        76.595935
min         0.009209
25%        12.793477
50%        33.503338
75%        91.518133
max       362.368631
Name: % error, dtype: float64",12
3,ElasticNet,False,DecisionTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA', 'LZMA2',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=100)",Performance,0.1,"x_10           34034.925917
x_8            13079.660081
PPMd            6059.752837
x_6             5338.868759
BZip2           4324.948607
LZMA            2629.033563
Deflate         1546.469982
BlockSize_1     1233.899020
#yes             562.696781
Files_0          194.660844
dtype: float64","count    3682.000000
mean       65.226336
std        74.904527
min         0.028307
25%        13.070963
50%        32.459127
75%        88.266251
max       363.366975
Name: % error, dtype: float64",12
4,PolynomialRegression,False,DecisionTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA', 'LZMA2',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')",LinearRegression(),Performance,0.1,"x_10           14596.680820
x_8             5664.808797
x_6             3405.102404
mtOff           1363.898078
Deflate         1345.813282
LZMA             815.368142
#yes             806.861619
LZMA2            690.989534
PPMd             628.170505
BZip2            467.626111
BlockSize_1      224.185276
Files_0          163.542103
dtype: float64","count    3682.000000
mean        8.436718
std         8.596452
min         0.002543
25%         2.483221
50%         5.437519
75%        11.664579
max        51.880910
Name: % error, dtype: float64",12
5,RandomForest,False,DecisionTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA', 'LZMA2',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"x_10          NaN
x_8           NaN
BZip2         NaN
Deflate       NaN
x_6           NaN
PPMd          NaN
LZMA          NaN
LZMA2         NaN
#yes          NaN
mtOff         NaN
BlockSize_1   NaN
Files_0       NaN
Name: % error, dtype: float64","count    3682.000000
mean        5.957644
std         6.411878
min         0.002501
25%         1.645763
50%         3.751712
75%         8.234602
max        58.215684
Name: % error, dtype: float64",12
6,GradientBoostingTree,False,DecisionTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA', 'LZMA2',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"x_10          NaN
x_8           NaN
BZip2         NaN
Deflate       NaN
x_6           NaN
PPMd          NaN
LZMA          NaN
LZMA2         NaN
#yes          NaN
mtOff         NaN
BlockSize_1   NaN
Files_0       NaN
Name: % error, dtype: float64","count    3682.000000
mean        9.427641
std         9.734395
min         0.000175
25%         2.673731
50%         6.607748
75%        12.289444
max        54.814550
Name: % error, dtype: float64",12
7,DecisionTree,False,DecisionTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA', 'LZMA2',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"x_10          NaN
x_8           NaN
BZip2         NaN
Deflate       NaN
x_6           NaN
PPMd          NaN
LZMA          NaN
LZMA2         NaN
#yes          NaN
mtOff         NaN
BlockSize_1   NaN
Files_0       NaN
Name: % error, dtype: float64","count    3682.000000
mean        5.721019
std         6.466827
min         0.000000
25%         1.415931
50%         3.481608
75%         7.723373
max        56.725146
Name: % error, dtype: float64",12
8,LinearRegression,False,DecisionTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA', 'LZMA2',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')",LinearRegression(),Performance,0.2,"BZip2          4.197392e+16
Deflate        4.197392e+16
LZMA2          4.197392e+16
LZMA           4.197392e+16
PPMd           4.197392e+16
x_10           3.475258e+04
x_8            1.386659e+04
x_6            6.007586e+03
BlockSize_1    1.485766e+03
Files_0        7.166768e+02
#yes           4.102210e+02
mtOff          5.904956e+01
dtype: float64","count    3273.000000
mean       62.642571
std        74.571364
min         0.000000
25%        11.887173
50%        29.341317
75%        83.522388
max       361.246291
Name: % error, dtype: float64",12
9,Lasso,False,DecisionTree,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA', 'LZMA2',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')","Lasso(alpha=10, max_iter=5)",Performance,0.2,"x_10           34588.366674
x_8            13689.394537
x_6             5850.503029
BZip2           5680.479520
PPMd            5275.157611
Deflate         2356.944435
BlockSize_1     1293.159699
LZMA2           1135.473451
LZMA             765.526879
Files_0          595.692223
#yes             407.765626
mtOff             43.547127
dtype: float64","count    3273.000000
mean       61.927263
std        72.998951
min         0.002766
25%        12.019282
50%        28.572352
75%        82.702566
max       362.991707
Name: % error, dtype: float64",12
