,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'mtOff', '#yes',
       'Files_0', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4'],
      dtype='object')",LinearRegression(),Performance,0.1,"x_10           27683.549038
x_8            13114.526892
PPMd            7791.235769
BZip2           7735.748479
x_6             7159.477415
BlockSize_2     3268.465361
Deflate         2404.989848
mtOff           1527.625693
BlockSize_1     1512.417098
BlockSize_4     1290.271331
Files_0          583.726121
#yes             489.839764
dtype: float64","count    3682.000000
mean       87.661892
std        99.213722
min         0.020146
25%        23.483998
50%        47.828648
75%       108.237949
max       455.236426
Name: % error, dtype: float64",12
1,Lasso,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'mtOff', '#yes',
       'Files_0', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4'],
      dtype='object')","Lasso(alpha=0.01, max_iter=5)",Performance,0.1,"x_10           27662.231355
x_8            13101.504543
PPMd            7792.392728
BZip2           7730.211393
x_6             7151.098343
BlockSize_2     3270.586944
Deflate         2402.140158
mtOff           1523.219735
BlockSize_1     1515.003380
BlockSize_4     1294.797114
Files_0          581.056237
#yes             488.953254
dtype: float64","count    3682.000000
mean       87.629113
std        99.160999
min         0.040449
25%        23.465095
50%        47.826815
75%       108.549764
max       454.633382
Name: % error, dtype: float64",12
2,Ridge,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'mtOff', '#yes',
       'Files_0', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4'],
      dtype='object')",Ridge(alpha=0.8),Performance,0.1,"x_10           27161.011158
x_8            12750.703257
PPMd            7727.148772
BZip2           7602.278876
x_6             6875.247231
BlockSize_2     3209.988801
Deflate         2351.745125
mtOff           1480.459380
BlockSize_1     1461.976358
BlockSize_4     1347.900232
Files_0          511.303370
#yes             478.687971
dtype: float64","count    3682.000000
mean       86.614114
std        97.045839
min         0.004203
25%        21.522439
50%        46.041298
75%       111.097671
max       436.583093
Name: % error, dtype: float64",12
3,ElasticNet,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'mtOff', '#yes',
       'Files_0', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4'],
      dtype='object')","ElasticNet(alpha=0.01, l1_ratio=1.0, max_iter=5)",Performance,0.1,"x_10           27662.231355
x_8            13101.504543
PPMd            7792.392728
BZip2           7730.211393
x_6             7151.098343
BlockSize_2     3270.586944
Deflate         2402.140158
mtOff           1523.219735
BlockSize_1     1515.003380
BlockSize_4     1294.797114
Files_0          581.056237
#yes             488.953254
dtype: float64","count    3682.000000
mean       87.629113
std        99.160999
min         0.040449
25%        23.465095
50%        47.826815
75%       108.549764
max       454.633382
Name: % error, dtype: float64",12
4,PolynomialRegression,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'mtOff', '#yes',
       'Files_0', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4'],
      dtype='object')",LinearRegression(),Performance,0.1,"x_8            8077.870405
x_10           7365.963574
x_6            6619.542005
Deflate        3156.696923
PPMd           2086.428659
#yes           1561.344376
Files_0         952.482560
mtOff           865.996613
BlockSize_4     543.377005
BZip2           540.058625
BlockSize_1     407.823595
BlockSize_2     135.049603
dtype: float64","count    3682.000000
mean       11.562184
std        14.021567
min         0.001538
25%         2.830889
50%         6.838159
75%        14.164327
max       136.678666
Name: % error, dtype: float64",12
5,RandomForest,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'mtOff', '#yes',
       'Files_0', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"x_10          NaN
BZip2         NaN
Deflate       NaN
x_8           NaN
PPMd          NaN
x_6           NaN
mtOff         NaN
#yes          NaN
Files_0       NaN
BlockSize_1   NaN
BlockSize_2   NaN
BlockSize_4   NaN
Name: % error, dtype: float64","count    3682.000000
mean        7.743661
std         7.456509
min         0.001168
25%         2.178506
50%         5.454004
75%        11.026635
max        58.192933
Name: % error, dtype: float64",12
6,GradientBoostingTree,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'mtOff', '#yes',
       'Files_0', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"x_10          NaN
BZip2         NaN
Deflate       NaN
x_8           NaN
PPMd          NaN
x_6           NaN
mtOff         NaN
#yes          NaN
Files_0       NaN
BlockSize_1   NaN
BlockSize_2   NaN
BlockSize_4   NaN
Name: % error, dtype: float64","count    3682.000000
mean       13.257290
std        12.185204
min         0.008818
25%         3.699042
50%         9.617811
75%        19.858015
max        84.667303
Name: % error, dtype: float64",12
7,DecisionTree,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'mtOff', '#yes',
       'Files_0', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"x_10          NaN
BZip2         NaN
Deflate       NaN
x_8           NaN
PPMd          NaN
x_6           NaN
mtOff         NaN
#yes          NaN
Files_0       NaN
BlockSize_1   NaN
BlockSize_2   NaN
BlockSize_4   NaN
Name: % error, dtype: float64","count    3682.000000
mean        7.955967
std         8.100158
min         0.000000
25%         1.965720
50%         5.250786
75%        11.339698
max        66.666667
Name: % error, dtype: float64",12
8,LinearRegression,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'mtOff', '#yes',
       'Files_0', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4'],
      dtype='object')",LinearRegression(),Performance,0.2,"x_10           28249.193664
x_8            12972.744085
BZip2           7758.725749
x_6             7333.506576
PPMd            6562.545344
Deflate         2557.664768
BlockSize_4     1536.849893
mtOff           1536.678661
BlockSize_2     1146.874394
#yes             575.577452
Files_0          396.852292
BlockSize_1      148.876689
dtype: float64","count    3273.000000
mean       83.548507
std        89.442790
min         0.051704
25%        24.421768
50%        47.598976
75%        97.026080
max       406.053143
Name: % error, dtype: float64",12
9,Lasso,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'mtOff', '#yes',
       'Files_0', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.2,"x_10           27956.181036
x_8            12651.900228
BZip2           7621.599190
x_6             7027.829834
PPMd            6497.240071
Deflate         2388.111850
mtOff           1368.820228
BlockSize_4     1229.945485
BlockSize_2      773.588151
#yes             504.625502
Files_0          119.617150
dtype: float64","count    3273.000000
mean       81.083404
std        86.386672
min         0.018640
25%        22.345189
50%        44.609990
75%        98.320384
max       376.190303
Name: % error, dtype: float64",12
