,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')",LinearRegression(),Performance,0.1,"PPMd           6.151680e+17
LZMA2          6.151680e+17
LZMA           6.151680e+17
Deflate        6.151680e+17
BZip2          6.151680e+17
x_10           2.829255e+04
x_8            1.337600e+04
x_6            7.360000e+03
mtOff          1.672000e+03
BlockSize_1    1.552000e+03
Files_0        6.720000e+02
#yes           5.120000e+02
dtype: float64","count    3682.000000
mean       92.284600
std        94.652005
min         0.065147
25%        29.824921
50%        57.000535
75%       112.106376
max       447.234043
Name: % error, dtype: float64",12
1,Lasso,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.1,"x_10           27524.233456
x_8            12854.170700
PPMd            7768.865628
BZip2           7617.884819
x_6             6897.235692
Deflate         2173.065558
mtOff           1317.733175
BlockSize_1      592.767480
#yes             460.646887
Files_0          336.973628
LZMA2            193.762752
dtype: float64","count    3682.000000
mean       83.863051
std        94.502600
min         0.092562
25%        19.986396
50%        43.120278
75%       105.346074
max       411.258760
Name: % error, dtype: float64",12
2,Ridge,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')",Ridge(alpha=0.3),Performance,0.1,"x_10           27658.469858
x_8            13048.231607
PPMd            8272.953689
BZip2           7379.762973
x_6             7091.583007
Deflate         1940.135366
mtOff           1492.424657
BlockSize_1     1115.067409
LZMA2            676.833485
Files_0          658.266416
#yes             522.440698
LZMA             370.111164
dtype: float64","count    3682.000000
mean       86.194638
std        97.217382
min         0.036205
25%        21.969226
50%        45.108673
75%       107.952755
max       435.395459
Name: % error, dtype: float64",12
3,ElasticNet,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=10)",Performance,0.1,"x_10           27524.233456
x_8            12854.170700
PPMd            7768.865628
BZip2           7617.884819
x_6             6897.235692
Deflate         2173.065558
mtOff           1317.733175
BlockSize_1      592.767480
#yes             460.646887
Files_0          336.973628
LZMA2            193.762752
dtype: float64","count    3682.000000
mean       83.863051
std        94.502600
min         0.092562
25%        19.986396
50%        43.120278
75%       105.346074
max       411.258760
Name: % error, dtype: float64",12
4,PolynomialRegression,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')",LinearRegression(),Performance,0.1,"#yes           1.440075e+15
PPMd           3.305451e+14
mtOff          3.213364e+14
BZip2          2.702590e+14
LZMA           2.002002e+14
LZMA2          1.699903e+14
x_8            1.541677e+14
Deflate        1.163756e+14
BlockSize_1    1.101218e+14
x_6            9.052095e+13
Files_0        4.963997e+13
x_10           1.255241e+04
dtype: float64","count    3682.000000
mean       10.765727
std        12.140015
min         0.006386
25%         2.898409
50%         7.261766
75%        13.607774
max       109.573864
Name: % error, dtype: float64",12
5,RandomForest,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"x_10          NaN
BZip2         NaN
Deflate       NaN
x_8           NaN
PPMd          NaN
x_6           NaN
LZMA2         NaN
LZMA          NaN
mtOff         NaN
#yes          NaN
Files_0       NaN
BlockSize_1   NaN
Name: % error, dtype: float64","count    3682.000000
mean        7.788264
std         7.484561
min         0.007260
25%         2.260399
50%         5.449826
75%        11.198341
max        57.771735
Name: % error, dtype: float64",12
6,GradientBoostingTree,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"x_10          NaN
BZip2         NaN
Deflate       NaN
x_8           NaN
PPMd          NaN
x_6           NaN
LZMA2         NaN
LZMA          NaN
mtOff         NaN
#yes          NaN
Files_0       NaN
BlockSize_1   NaN
Name: % error, dtype: float64","count    3682.000000
mean       12.490659
std        12.774984
min         0.001626
25%         2.605025
50%         7.658580
75%        18.970856
max        59.283118
Name: % error, dtype: float64",12
7,DecisionTree,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"x_10          NaN
BZip2         NaN
Deflate       NaN
x_8           NaN
PPMd          NaN
x_6           NaN
LZMA2         NaN
LZMA          NaN
mtOff         NaN
#yes          NaN
Files_0       NaN
BlockSize_1   NaN
Name: % error, dtype: float64","count    3682.000000
mean        7.823377
std         7.886900
min         0.000000
25%         1.963833
50%         5.113636
75%        11.449159
max        66.666667
Name: % error, dtype: float64",12
8,LinearRegression,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')",LinearRegression(),Performance,0.2,"PPMd           2.504224e+16
LZMA2          2.504224e+16
LZMA           2.504224e+16
Deflate        2.504224e+16
BZip2          2.504224e+16
x_10           2.835010e+04
x_8            1.301400e+04
x_6            7.348000e+03
mtOff          1.539000e+03
#yes           5.540000e+02
BlockSize_1    3.880000e+02
Files_0        3.130000e+02
dtype: float64","count    3273.000000
mean       83.601200
std        89.326108
min         0.063012
25%        23.815789
50%        46.666667
75%        97.370417
max       406.138614
Name: % error, dtype: float64",12
9,Lasso,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.2,"x_10       28039.184328
x_8        12680.902130
BZip2       7681.077245
x_6         7049.415540
PPMd        6545.384096
Deflate     2374.514160
mtOff       1379.823992
#yes         491.247464
LZMA2         98.525564
Files_0       47.601601
dtype: float64","count    3273.000000
mean       81.012235
std        86.063697
min         0.025750
25%        22.290471
50%        45.185200
75%        96.278281
max       370.510537
Name: % error, dtype: float64",12
