,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",LinearRegression(),Performance,0.1,"x_10                    21957.088252
x_8                     12027.672757
BZip2                    9097.155583
PPMd                     8259.200352
x_6                      7350.671018
Deflate                  2764.075962
BlockSize_1               848.131111
BlockSize_4               716.009742
mtOff                     652.167913
#yes                      331.929066
HeaderCompressionOff      258.897986
filterOff                 181.961874
dtype: float64","count    3682.000000
mean       84.665279
std        90.785835
min         0.108295
25%        25.988718
50%        41.622788
75%       114.771416
max       413.915195
Name: % error, dtype: float64",12
1,Lasso,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.1,"x_10                    21609.383641
x_8                     11661.936607
BZip2                    8893.662278
PPMd                     8233.215730
x_6                      6966.251600
Deflate                  2341.562798
BlockSize_1               689.640013
mtOff                     534.356504
BlockSize_4               401.118844
#yes                      319.635310
HeaderCompressionOff      189.067773
filterOff                  86.241341
dtype: float64","count    3682.000000
mean       83.958260
std        86.031727
min         0.065919
25%        28.836330
50%        43.102138
75%       115.451647
max       385.700767
Name: % error, dtype: float64",12
2,Ridge,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",Ridge(alpha=0.5),Performance,0.1,"x_10                    21694.078025
x_8                     11831.297138
BZip2                    9024.341368
PPMd                     8236.760104
x_6                      7180.027539
Deflate                  2700.712098
BlockSize_1               823.538858
BlockSize_4               669.723508
mtOff                     641.477820
#yes                      325.648623
HeaderCompressionOff      275.423459
filterOff                 191.816640
dtype: float64","count    3682.000000
mean       84.473628
std        88.826100
min         0.018625
25%        26.886116
50%        42.113331
75%       114.886945
max       416.487093
Name: % error, dtype: float64",12
3,ElasticNet,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=5)",Performance,0.1,"x_10                    21609.383641
x_8                     11661.936607
BZip2                    8893.662278
PPMd                     8233.215730
x_6                      6966.251600
Deflate                  2341.562798
BlockSize_1               689.640013
mtOff                     534.356504
BlockSize_4               401.118844
#yes                      319.635310
HeaderCompressionOff      189.067773
filterOff                  86.241341
dtype: float64","count    3682.000000
mean       83.958260
std        86.031727
min         0.065919
25%        28.836330
50%        43.102138
75%       115.451647
max       385.700767
Name: % error, dtype: float64",12
4,PolynomialRegression,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",LinearRegression(),Performance,0.1,"x_6                     8361.287481
x_8                     7434.334473
x_10                    6613.562048
BlockSize_1             1289.652442
PPMd                    1206.096407
mtOff                   1157.714435
BlockSize_4             1146.560862
HeaderCompressionOff    1057.599354
BZip2                    859.856968
#yes                     719.080196
filterOff                579.014534
Deflate                  149.098295
dtype: float64","count    3682.000000
mean        9.221792
std         9.825673
min         0.001797
25%         2.526637
50%         5.930118
75%        12.511145
max       100.655356
Name: % error, dtype: float64",12
5,RandomForest,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"BZip2                  NaN
x_10                   NaN
PPMd                   NaN
x_8                    NaN
Deflate                NaN
x_6                    NaN
mtOff                  NaN
#yes                   NaN
BlockSize_1            NaN
BlockSize_4            NaN
HeaderCompressionOff   NaN
filterOff              NaN
Name: % error, dtype: float64","count    3682.000000
mean        6.663837
std         6.990529
min         0.001006
25%         1.648317
50%         4.254427
75%         9.286702
max        44.507892
Name: % error, dtype: float64",12
6,GradientBoostingTree,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"BZip2                  NaN
x_10                   NaN
PPMd                   NaN
x_8                    NaN
Deflate                NaN
x_6                    NaN
mtOff                  NaN
#yes                   NaN
BlockSize_1            NaN
BlockSize_4            NaN
HeaderCompressionOff   NaN
filterOff              NaN
Name: % error, dtype: float64","count    3682.000000
mean       14.070755
std        13.253248
min         0.008100
25%         3.605181
50%         8.796908
75%        22.698115
max        58.711778
Name: % error, dtype: float64",12
7,DecisionTree,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"BZip2                  NaN
x_10                   NaN
PPMd                   NaN
x_8                    NaN
Deflate                NaN
x_6                    NaN
mtOff                  NaN
#yes                   NaN
BlockSize_1            NaN
BlockSize_4            NaN
HeaderCompressionOff   NaN
filterOff              NaN
Name: % error, dtype: float64","count    3682.000000
mean        7.069484
std         8.053184
min         0.000000
25%         1.618290
50%         4.214764
75%         9.058780
max        48.979592
Name: % error, dtype: float64",12
8,LinearRegression,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",LinearRegression(),Performance,0.2,"x_10                    22046.960704
x_8                     12152.288645
BZip2                    9090.607822
PPMd                     8289.549083
x_6                      7869.394560
Deflate                  2848.982253
filterOff                 584.887058
#yes                      578.196895
BlockSize_4               574.593206
mtOff                     466.074940
BlockSize_1               436.824983
HeaderCompressionOff      410.559159
dtype: float64","count    3273.000000
mean       82.516863
std        97.118285
min         0.040009
25%        20.237045
50%        36.342502
75%       109.083561
max       383.135013
Name: % error, dtype: float64",12
9,Lasso,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.2,"x_10           21744.003156
x_8            11855.982936
BZip2           8837.425531
PPMd            8222.140259
x_6             7482.728349
Deflate         2431.429471
BlockSize_1      232.779346
BlockSize_4      231.883151
#yes             222.101152
filterOff        110.385697
dtype: float64","count    3273.000000
mean       81.455339
std        91.965537
min         0.080993
25%        22.213669
50%        37.205291
75%       109.174035
max       347.022805
Name: % error, dtype: float64",12
10,Ridge,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",Ridge(alpha=0.05),Performance,0.2,"x_10                    22033.895998
x_8                     12142.265201
BZip2                    9086.909548
PPMd                     8287.488257
x_6                      7860.337023
Deflate                  2846.155117
filterOff                 584.351130
#yes                      577.643137
BlockSize_4               572.560938
mtOff                     465.927594
BlockSize_1               435.770458
HeaderCompressionOff      410.101155
dtype: float64","count    3273.000000
mean       82.494637
std        97.002583
min         0.075501
25%        20.272868
50%        36.354291
75%       109.074267
max       382.567906
Name: % error, dtype: float64",12
11,ElasticNet,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=10)",Performance,0.2,"x_10           21744.003156
x_8            11855.982936
BZip2           8837.425531
PPMd            8222.140259
x_6             7482.728349
Deflate         2431.429471
BlockSize_1      232.779346
BlockSize_4      231.883151
#yes             222.101152
filterOff        110.385697
dtype: float64","count    3273.000000
mean       81.455339
std        91.965537
min         0.080993
25%        22.213669
50%        37.205291
75%       109.174035
max       347.022805
Name: % error, dtype: float64",12
12,PolynomialRegression,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",LinearRegression(),Performance,0.2,"x_8                     7733.732177
x_6                     7242.146546
x_10                    6801.992462
PPMd                    1686.607452
#yes                    1043.854329
Deflate                  863.210666
filterOff                794.027295
mtOff                    765.176561
BlockSize_1              762.260051
BlockSize_4              735.681511
HeaderCompressionOff     620.386911
BZip2                    616.185923
dtype: float64","count    3273.000000
mean        9.117762
std         9.860672
min         0.000993
25%         2.401320
50%         5.625806
75%        12.278224
max        70.075237
Name: % error, dtype: float64",12
13,RandomForest,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"BZip2                  NaN
x_10                   NaN
PPMd                   NaN
x_8                    NaN
Deflate                NaN
x_6                    NaN
mtOff                  NaN
#yes                   NaN
BlockSize_1            NaN
BlockSize_4            NaN
HeaderCompressionOff   NaN
filterOff              NaN
Name: % error, dtype: float64","count    3273.000000
mean        5.804725
std         6.471619
min         0.000005
25%         1.514573
50%         3.611225
75%         7.579597
max        42.577420
Name: % error, dtype: float64",12
14,GradientBoostingTree,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.2,"BZip2                  NaN
x_10                   NaN
PPMd                   NaN
x_8                    NaN
Deflate                NaN
x_6                    NaN
mtOff                  NaN
#yes                   NaN
BlockSize_1            NaN
BlockSize_4            NaN
HeaderCompressionOff   NaN
filterOff              NaN
Name: % error, dtype: float64","count    3273.000000
mean       13.365525
std        12.780474
min         0.000785
25%         3.218141
50%         8.127433
75%        22.075178
max        56.386863
Name: % error, dtype: float64",12
15,DecisionTree,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.2,"BZip2                  NaN
x_10                   NaN
PPMd                   NaN
x_8                    NaN
Deflate                NaN
x_6                    NaN
mtOff                  NaN
#yes                   NaN
BlockSize_1            NaN
BlockSize_4            NaN
HeaderCompressionOff   NaN
filterOff              NaN
Name: % error, dtype: float64","count    3273.000000
mean        6.212409
std         7.346343
min         0.000000
25%         1.453790
50%         3.593750
75%         7.766990
max        56.194690
Name: % error, dtype: float64",12
16,LinearRegression,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",LinearRegression(),Performance,0.3,"x_10                    20972.896805
x_8                     11867.788245
BZip2                    8387.408933
PPMd                     8167.701409
x_6                      7754.800310
Deflate                  2970.799673
BlockSize_1               965.233397
HeaderCompressionOff      556.571653
filterOff                 482.453836
BlockSize_4               417.967814
#yes                      407.346127
mtOff                     244.787540
dtype: float64","count    2864.000000
mean       81.246759
std        90.025738
min         0.164181
25%        23.973673
50%        37.742511
75%       101.357336
max       371.775963
Name: % error, dtype: float64",12
17,Lasso,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.3,"x_10                    20663.351437
x_8                     11559.996515
BZip2                    8166.560900
PPMd                     8119.102890
x_6                      7391.787305
Deflate                  2520.349840
BlockSize_1               810.116196
HeaderCompressionOff      184.111888
BlockSize_4               159.895251
#yes                      138.608507
filterOff                  91.948960
dtype: float64","count    2864.000000
mean       80.432232
std        84.995278
min         0.252736
25%        26.939208
50%        39.359540
75%       100.351927
max       350.458024
Name: % error, dtype: float64",12
18,Ridge,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",Ridge(),Performance,0.3,"x_10                    20806.636498
x_8                     11740.855522
BZip2                    8339.705955
PPMd                     8145.031290
x_6                      7642.593659
Deflate                  2931.760634
BlockSize_1               951.232107
HeaderCompressionOff      552.018372
filterOff                 475.860799
BlockSize_4               402.381911
#yes                      402.364373
mtOff                     244.773304
dtype: float64","count    2864.000000
mean       81.078671
std        88.688181
min         0.047887
25%        24.949267
50%        37.958506
75%       101.183754
max       373.223068
Name: % error, dtype: float64",12
19,ElasticNet,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=10)",Performance,0.3,"x_10                    20663.351437
x_8                     11559.996515
BZip2                    8166.560900
PPMd                     8119.102890
x_6                      7391.787305
Deflate                  2520.349840
BlockSize_1               810.116196
HeaderCompressionOff      184.111888
BlockSize_4               159.895251
#yes                      138.608507
filterOff                  91.948960
dtype: float64","count    2864.000000
mean       80.432232
std        84.995278
min         0.252736
25%        26.939208
50%        39.359540
75%       100.351927
max       350.458024
Name: % error, dtype: float64",12
20,PolynomialRegression,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",LinearRegression(),Performance,0.3,"x_8                     7504.501947
x_6                     7109.992812
x_10                    6801.125999
PPMd                    1534.268748
BlockSize_4             1115.271505
Deflate                  695.136119
BZip2                    614.753884
#yes                     604.460552
BlockSize_1              577.794153
filterOff                536.109319
mtOff                    440.504085
HeaderCompressionOff     437.026803
dtype: float64","count    2864.000000
mean        8.776566
std         9.333653
min         0.007985
25%         2.253128
50%         5.525552
75%        12.254167
max        57.733489
Name: % error, dtype: float64",12
21,RandomForest,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",RandomForestRegressor(),Performance,0.3,"BZip2                  NaN
x_10                   NaN
PPMd                   NaN
x_8                    NaN
Deflate                NaN
x_6                    NaN
mtOff                  NaN
#yes                   NaN
BlockSize_1            NaN
BlockSize_4            NaN
HeaderCompressionOff   NaN
filterOff              NaN
Name: % error, dtype: float64","count    2864.000000
mean        5.536925
std         6.174439
min         0.000340
25%         1.493245
50%         3.603300
75%         7.155998
max        40.632693
Name: % error, dtype: float64",12
22,GradientBoostingTree,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.3,"BZip2                  NaN
x_10                   NaN
PPMd                   NaN
x_8                    NaN
Deflate                NaN
x_6                    NaN
mtOff                  NaN
#yes                   NaN
BlockSize_1            NaN
BlockSize_4            NaN
HeaderCompressionOff   NaN
filterOff              NaN
Name: % error, dtype: float64","count    2864.000000
mean       13.706606
std        13.293328
min         0.004995
25%         3.047807
50%         8.110278
75%        22.627397
max        54.056550
Name: % error, dtype: float64",12
23,DecisionTree,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.3,"BZip2                  NaN
x_10                   NaN
PPMd                   NaN
x_8                    NaN
Deflate                NaN
x_6                    NaN
mtOff                  NaN
#yes                   NaN
BlockSize_1            NaN
BlockSize_4            NaN
HeaderCompressionOff   NaN
filterOff              NaN
Name: % error, dtype: float64","count    2864.000000
mean        5.672459
std         6.698494
min         0.000000
25%         1.399164
50%         3.524281
75%         7.273671
max        55.500000
Name: % error, dtype: float64",12
24,LinearRegression,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",LinearRegression(),Performance,0.4,"x_10                    20998.441109
x_8                     11881.836088
BZip2                    8761.679977
PPMd                     8065.309176
x_6                      7328.376521
Deflate                  2815.162665
BlockSize_1               731.032306
HeaderCompressionOff      264.725197
#yes                      241.740217
filterOff                 200.269521
BlockSize_4               139.400721
mtOff                      25.756852
dtype: float64","count    2455.000000
mean       79.295507
std        90.112342
min         0.025550
25%        22.175120
50%        36.975971
75%       101.670951
max       354.227726
Name: % error, dtype: float64",12
25,Lasso,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.4,"x_10                    20694.432173
x_8                     11574.106718
BZip2                    8561.142023
PPMd                     8024.430085
x_6                      7003.175157
Deflate                  2381.479271
BlockSize_1               532.150856
#yes                       87.903870
mtOff                      15.856335
HeaderCompressionOff       13.925447
dtype: float64","count    2455.000000
mean       78.499577
std        84.994470
min         0.154643
25%        24.982635
50%        38.518070
75%       102.085955
max       331.357850
Name: % error, dtype: float64",12
26,Ridge,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",Ridge(),Performance,0.4,"x_10                    20876.839166
x_8                     11785.105587
BZip2                    8725.525162
PPMd                     8048.784840
x_6                      7246.670416
Deflate                  2784.645979
BlockSize_1               721.265168
HeaderCompressionOff      264.518701
#yes                      240.750704
filterOff                 199.864358
BlockSize_4               147.917551
mtOff                      26.166720
dtype: float64","count    2455.000000
mean       79.186028
std        89.074084
min         0.160958
25%        22.996006
50%        37.092929
75%       101.225721
max       349.358389
Name: % error, dtype: float64",12
27,ElasticNet,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=10)",Performance,0.4,"x_10                    20694.432173
x_8                     11574.106718
BZip2                    8561.142023
PPMd                     8024.430085
x_6                      7003.175157
Deflate                  2381.479271
BlockSize_1               532.150856
#yes                       87.903870
mtOff                      15.856335
HeaderCompressionOff       13.925447
dtype: float64","count    2455.000000
mean       78.499577
std        84.994470
min         0.154643
25%        24.982635
50%        38.518070
75%       102.085955
max       331.357850
Name: % error, dtype: float64",12
28,PolynomialRegression,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",LinearRegression(),Performance,0.4,"x_8                     7751.569476
x_10                    6782.470269
x_6                     6651.345185
PPMd                    1404.501391
BlockSize_4             1054.843954
#yes                     791.793472
BZip2                    781.372733
HeaderCompressionOff     737.966453
mtOff                    725.978388
filterOff                704.558830
Deflate                  643.291895
BlockSize_1              633.810652
dtype: float64","count    2455.000000
mean        8.728505
std         9.321033
min         0.001342
25%         2.305846
50%         5.470288
75%        11.974625
max        58.038252
Name: % error, dtype: float64",12
29,RandomForest,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",RandomForestRegressor(),Performance,0.4,"BZip2                  NaN
x_10                   NaN
PPMd                   NaN
x_8                    NaN
Deflate                NaN
x_6                    NaN
mtOff                  NaN
#yes                   NaN
BlockSize_1            NaN
BlockSize_4            NaN
HeaderCompressionOff   NaN
filterOff              NaN
Name: % error, dtype: float64","count    2455.000000
mean        5.186834
std         5.623217
min         0.000069
25%         1.395834
50%         3.359532
75%         6.993008
max        40.449397
Name: % error, dtype: float64",12
30,GradientBoostingTree,False,RandomForest,"Index(['BZip2', 'x_10', 'PPMd', 'x_8', 'Deflate', 'x_6', 'mtOff', '#yes',
       'BlockSize_1', 'BlockSize_4', 'HeaderCompressionOff', 'filterOff'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.4,"BZip2                  NaN
x_10                   NaN
PPMd                   NaN
x_8                    NaN
Deflate                NaN
x_6                    NaN
mtOff                  NaN
#yes                   NaN
BlockSize_1            NaN
BlockSize_4            NaN
HeaderCompressionOff   NaN
filterOff              NaN
Name: % error, dtype: float64","count    2455.000000
mean       12.500498
std        11.542675
min         0.000024
25%         3.401610
50%         8.173949
75%        19.424426
max        43.505953
Name: % error, dtype: float64",12
