,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"x_10       39924.009720
x_8        12806.455314
BZip2       4843.621625
PPMd        3912.762507
x_6         2428.756465
#yes        1465.425401
LZMA2       1343.252009
Files_0     1053.727442
x_4          720.602452
Deflate      501.078492
mtOff        416.813676
LZMA          88.685601
dtype: float64","count    3682.000000
mean       58.129066
std        68.501817
min         0.016581
25%        19.016514
50%        29.727678
75%        79.108512
max       520.599055
Name: % error, dtype: float64",12
1,Lasso,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=100)",Performance,0.1,"x_10       39251.553350
x_8        12196.378048
BZip2       4892.777518
PPMd        3705.041439
x_6         1950.670033
#yes        1326.793116
LZMA2        931.470590
Files_0      768.444304
Deflate      471.825863
x_4          211.875115
mtOff         76.773069
dtype: float64","count    3682.000000
mean       55.359503
std        65.685439
min         0.008751
25%        18.374262
50%        30.227575
75%        72.427167
max       513.501656
Name: % error, dtype: float64",12
2,Ridge,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')",Ridge(alpha=0.8),Performance,0.1,"x_10       38649.875283
x_8        12148.003138
BZip2       4797.851326
PPMd        3882.391619
x_6         2043.633051
#yes        1514.469792
LZMA2       1332.391716
Files_0     1049.065226
Deflate      521.550743
mtOff        330.461029
x_4          305.593569
LZMA         104.618734
dtype: float64","count    3682.000000
mean       57.896284
std        66.178124
min         0.006977
25%        19.239474
50%        32.464346
75%        74.554908
max       508.243809
Name: % error, dtype: float64",12
3,ElasticNet,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=100)",Performance,0.1,"x_10       39251.553350
x_8        12196.378048
BZip2       4892.777518
PPMd        3705.041439
x_6         1950.670033
#yes        1326.793116
LZMA2        931.470590
Files_0      768.444304
Deflate      471.825863
x_4          211.875115
mtOff         76.773069
dtype: float64","count    3682.000000
mean       55.359503
std        65.685439
min         0.008751
25%        18.374262
50%        30.227575
75%        72.427167
max       513.501656
Name: % error, dtype: float64",12
4,PolynomialRegression,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"x_10       2.436214e+15
#yes       1.010038e+15
x_6        1.742662e+14
LZMA       1.288492e+14
BZip2      1.191366e+14
Deflate    1.040873e+14
x_4        4.797748e+13
Files_0    3.928102e+13
LZMA2      3.357905e+13
x_8        1.099021e+13
PPMd       6.410253e+12
mtOff      5.317414e+11
dtype: float64","count    3682.000000
mean        6.507417
std         9.170304
min         0.000493
25%         1.245517
50%         3.223673
75%         7.656901
max        89.364769
Name: % error, dtype: float64",12
5,RandomForest,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"x_10      NaN
BZip2     NaN
Deflate   NaN
x_8       NaN
PPMd      NaN
x_6       NaN
x_4       NaN
mtOff     NaN
LZMA2     NaN
LZMA      NaN
Files_0   NaN
#yes      NaN
Name: % error, dtype: float64","count    3682.000000
mean        5.518929
std         6.722422
min         0.000824
25%         1.205667
50%         3.020109
75%         6.829130
max        40.252718
Name: % error, dtype: float64",12
6,GradientBoostingTree,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"x_10      NaN
BZip2     NaN
Deflate   NaN
x_8       NaN
PPMd      NaN
x_6       NaN
x_4       NaN
mtOff     NaN
LZMA2     NaN
LZMA      NaN
Files_0   NaN
#yes      NaN
Name: % error, dtype: float64","count    3682.000000
mean        8.117105
std        11.532534
min         0.000782
25%         1.541432
50%         3.981341
75%        10.331395
max        73.371149
Name: % error, dtype: float64",12
7,DecisionTree,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"x_10      NaN
BZip2     NaN
Deflate   NaN
x_8       NaN
PPMd      NaN
x_6       NaN
x_4       NaN
mtOff     NaN
LZMA2     NaN
LZMA      NaN
Files_0   NaN
#yes      NaN
Name: % error, dtype: float64","count    3682.000000
mean        5.600150
std         7.223060
min         0.000000
25%         1.186029
50%         2.949549
75%         6.752115
max        52.280702
Name: % error, dtype: float64",12
8,LinearRegression,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"PPMd       2.626089e+16
LZMA2      2.626089e+16
LZMA       2.626089e+16
Deflate    2.626089e+16
BZip2      2.626089e+16
x_10       3.704252e+04
x_8        1.265900e+04
x_6        2.402000e+03
Files_0    1.597062e+03
#yes       1.318000e+03
x_4        5.720000e+02
mtOff      1.970000e+02
dtype: float64","count    3273.000000
mean       65.085936
std        72.008109
min         0.158311
25%        20.723514
50%        32.371795
75%        82.395833
max       473.230769
Name: % error, dtype: float64",12
9,Lasso,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.2,"x_10       36407.876286
x_8        11989.573684
BZip2       5801.609730
PPMd        3676.861015
x_6         1857.086384
Deflate     1579.714886
#yes        1282.661387
Files_0     1256.674456
LZMA         586.746362
x_4           71.083457
mtOff         57.740252
dtype: float64","count    3273.000000
mean       62.320581
std        68.472674
min         0.090037
25%        19.355029
50%        35.295361
75%        80.227858
max       466.583287
Name: % error, dtype: float64",12
