,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,46,False,None,LinearRegression,0.1,False,2024-03-30 14:12:27.627125,2024-03-30 14:12:38.375714
10,distBased,1.0,46,False,None,Lasso,0.1,False,2024-03-30 14:12:27.627125,2024-03-30 14:12:38.576346
20,distBased,1.0,46,False,None,Ridge,0.1,False,2024-03-30 14:12:27.627125,2024-03-30 14:12:38.774459
30,distBased,1.0,46,False,None,ElasticNet,0.1,False,2024-03-30 14:12:27.627125,2024-03-30 14:12:39.017625
40,distBased,1.0,46,False,None,PolynomialRegression,0.1,False,2024-03-30 14:12:27.627125,2024-03-30 14:12:39.021159
50,distBased,1.0,46,False,None,RandomForest,0.1,False,2024-03-30 14:12:27.627125,2024-03-30 14:12:39.527633
60,distBased,1.0,46,False,None,GradientBoostingTree,0.1,False,2024-03-30 14:12:27.627125,2024-03-30 14:12:39.763537
70,distBased,1.0,46,False,None,DecisionTree,0.1,False,2024-03-30 14:12:27.627125,2024-03-30 14:12:39.938946
80,distBased,1.0,46,False,None,LinearRegression,0.2,False,2024-03-30 14:12:39.942707,2024-03-30 14:13:23.515407
90,distBased,1.0,46,False,None,Lasso,0.2,False,2024-03-30 14:12:39.942707,2024-03-30 14:13:23.887307
100,distBased,1.0,46,False,None,Ridge,0.2,False,2024-03-30 14:12:39.942707,2024-03-30 14:13:24.267503
110,distBased,1.0,46,False,None,ElasticNet,0.2,False,2024-03-30 14:12:39.942707,2024-03-30 14:13:24.684025
120,distBased,1.0,46,False,None,PolynomialRegression,0.2,False,2024-03-30 14:12:39.942707,2024-03-30 14:13:24.688730
130,distBased,1.0,46,False,None,RandomForest,0.2,False,2024-03-30 14:12:39.942707,2024-03-30 14:13:25.556779
140,distBased,1.0,46,False,None,GradientBoostingTree,0.2,False,2024-03-30 14:12:39.942707,2024-03-30 14:13:26.141751
150,distBased,1.0,46,False,None,DecisionTree,0.2,False,2024-03-30 14:12:39.942707,2024-03-30 14:13:26.593797
160,distBased,1.0,46,False,None,LinearRegression,0.3,False,2024-03-30 14:13:26.598308,2024-03-30 14:14:33.951139
170,distBased,1.0,46,False,None,Lasso,0.3,False,2024-03-30 14:13:26.598308,2024-03-30 14:14:34.645124
180,distBased,1.0,46,False,None,Ridge,0.3,False,2024-03-30 14:13:26.598308,2024-03-30 14:14:35.074627
190,distBased,1.0,46,False,None,ElasticNet,0.3,False,2024-03-30 14:13:26.598308,2024-03-30 14:14:35.520484
200,distBased,1.0,46,False,None,PolynomialRegression,0.3,False,2024-03-30 14:13:26.598308,2024-03-30 14:14:35.524097
