,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,21,False,None,LinearRegression,0.1,False,2024-03-30 14:14:01.513742,2024-03-30 14:14:03.545970
10,distBased,1.0,21,False,None,Lasso,0.1,False,2024-03-30 14:14:01.513742,2024-03-30 14:14:03.578390
20,distBased,1.0,21,False,None,Ridge,0.1,False,2024-03-30 14:14:01.513742,2024-03-30 14:14:03.617691
30,distBased,1.0,21,False,None,ElasticNet,0.1,False,2024-03-30 14:14:01.513742,2024-03-30 14:14:03.659819
40,distBased,1.0,21,False,None,PolynomialRegression,0.1,False,2024-03-30 14:14:01.513742,2024-03-30 14:14:03.665270
50,distBased,1.0,21,False,None,RandomForest,0.1,False,2024-03-30 14:14:01.513742,2024-03-30 14:14:03.939670
60,distBased,1.0,21,False,None,GradientBoostingTree,0.1,False,2024-03-30 14:14:01.513742,2024-03-30 14:14:04.229782
70,distBased,1.0,21,False,None,DecisionTree,0.1,False,2024-03-30 14:14:01.513742,2024-03-30 14:14:04.461214
80,distBased,1.0,21,False,None,LinearRegression,0.2,False,2024-03-30 14:14:04.466374,2024-03-30 14:14:06.692917
90,distBased,1.0,21,False,None,Lasso,0.2,False,2024-03-30 14:14:04.466374,2024-03-30 14:14:06.927124
100,distBased,1.0,21,False,None,Ridge,0.2,False,2024-03-30 14:14:04.466374,2024-03-30 14:14:07.173472
110,distBased,1.0,21,False,None,ElasticNet,0.2,False,2024-03-30 14:14:04.466374,2024-03-30 14:14:07.414780
120,distBased,1.0,21,False,None,PolynomialRegression,0.2,False,2024-03-30 14:14:04.466374,2024-03-30 14:14:07.419982
130,distBased,1.0,21,False,None,RandomForest,0.2,False,2024-03-30 14:14:04.466374,2024-03-30 14:14:07.896298
140,distBased,1.0,21,False,None,GradientBoostingTree,0.2,False,2024-03-30 14:14:04.466374,2024-03-30 14:14:08.380152
150,distBased,1.0,21,False,None,DecisionTree,0.2,False,2024-03-30 14:14:04.466374,2024-03-30 14:14:08.811086
160,distBased,1.0,21,False,None,LinearRegression,0.3,False,2024-03-30 14:14:08.815484,2024-03-30 14:14:11.256446
170,distBased,1.0,21,False,None,Lasso,0.3,False,2024-03-30 14:14:08.815484,2024-03-30 14:14:11.686812
180,distBased,1.0,21,False,None,Ridge,0.3,False,2024-03-30 14:14:08.815484,2024-03-30 14:14:12.121001
190,distBased,1.0,21,False,None,ElasticNet,0.3,False,2024-03-30 14:14:08.815484,2024-03-30 14:14:12.555936
200,distBased,1.0,21,False,None,PolynomialRegression,0.3,False,2024-03-30 14:14:08.815484,2024-03-30 14:14:12.560667
210,distBased,1.0,21,False,None,RandomForest,0.3,False,2024-03-30 14:14:08.815484,2024-03-30 14:14:13.242239
220,distBased,1.0,21,False,None,GradientBoostingTree,0.3,False,2024-03-30 14:14:08.815484,2024-03-30 14:14:13.920765
230,distBased,1.0,21,False,None,DecisionTree,0.3,False,2024-03-30 14:14:08.815484,2024-03-30 14:14:14.542360
240,distBased,1.0,21,False,None,LinearRegression,0.4,False,2024-03-30 14:14:14.546772,2024-03-30 14:14:17.268715
250,distBased,1.0,21,False,None,Lasso,0.4,False,2024-03-30 14:14:14.546772,2024-03-30 14:14:17.899971
260,distBased,1.0,21,False,None,Ridge,0.4,False,2024-03-30 14:14:14.546772,2024-03-30 14:14:18.533723
270,distBased,1.0,21,False,None,ElasticNet,0.4,False,2024-03-30 14:14:14.546772,2024-03-30 14:14:19.168539
280,distBased,1.0,21,False,None,PolynomialRegression,0.4,False,2024-03-30 14:14:14.546772,2024-03-30 14:14:19.173587
290,distBased,1.0,21,False,None,RandomForest,0.4,False,2024-03-30 14:14:14.546772,2024-03-30 14:14:20.067224
300,distBased,1.0,21,False,None,GradientBoostingTree,0.4,False,2024-03-30 14:14:14.546772,2024-03-30 14:14:20.966459
310,distBased,1.0,21,False,None,DecisionTree,0.4,False,2024-03-30 14:14:14.546772,2024-03-30 14:14:21.798318
320,distBased,1.0,21,False,None,LinearRegression,0.5,False,2024-03-30 14:14:21.802814,2024-03-30 14:14:24.760729
330,distBased,1.0,21,False,None,Lasso,0.5,False,2024-03-30 14:14:21.802814,2024-03-30 14:14:25.597651
340,distBased,1.0,21,False,None,Ridge,0.5,False,2024-03-30 14:14:21.802814,2024-03-30 14:14:26.437614
350,distBased,1.0,21,False,None,ElasticNet,0.5,False,2024-03-30 14:14:21.802814,2024-03-30 14:14:27.281858
360,distBased,1.0,21,False,None,PolynomialRegression,0.5,False,2024-03-30 14:14:21.802814,2024-03-30 14:14:27.286690
370,distBased,1.0,21,False,None,RandomForest,0.5,False,2024-03-30 14:14:21.802814,2024-03-30 14:14:28.418364
380,distBased,1.0,21,False,None,GradientBoostingTree,0.5,False,2024-03-30 14:14:21.802814,2024-03-30 14:14:29.649636
