,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,21,False,None,LinearRegression,0.1,False,2024-03-30 14:14:04.235260,2024-03-30 14:14:05.630857
10,distBased,1.0,21,False,None,Lasso,0.1,False,2024-03-30 14:14:04.235260,2024-03-30 14:14:05.653459
20,distBased,1.0,21,False,None,Ridge,0.1,False,2024-03-30 14:14:04.235260,2024-03-30 14:14:05.680222
30,distBased,1.0,21,False,None,ElasticNet,0.1,False,2024-03-30 14:14:04.235260,2024-03-30 14:14:05.709466
40,distBased,1.0,21,False,None,PolynomialRegression,0.1,False,2024-03-30 14:14:04.235260,2024-03-30 14:14:05.713076
50,distBased,1.0,21,False,None,RandomForest,0.1,False,2024-03-30 14:14:04.235260,2024-03-30 14:14:05.896284
60,distBased,1.0,21,False,None,GradientBoostingTree,0.1,False,2024-03-30 14:14:04.235260,2024-03-30 14:14:06.085795
70,distBased,1.0,21,False,None,DecisionTree,0.1,False,2024-03-30 14:14:04.235260,2024-03-30 14:14:06.235433
80,distBased,1.0,21,False,None,LinearRegression,0.2,False,2024-03-30 14:14:06.238646,2024-03-30 14:14:07.783558
90,distBased,1.0,21,False,None,Lasso,0.2,False,2024-03-30 14:14:06.238646,2024-03-30 14:14:07.937459
100,distBased,1.0,21,False,None,Ridge,0.2,False,2024-03-30 14:14:06.238646,2024-03-30 14:14:08.094072
110,distBased,1.0,21,False,None,ElasticNet,0.2,False,2024-03-30 14:14:06.238646,2024-03-30 14:14:08.252392
120,distBased,1.0,21,False,None,PolynomialRegression,0.2,False,2024-03-30 14:14:06.238646,2024-03-30 14:14:08.255851
130,distBased,1.0,21,False,None,RandomForest,0.2,False,2024-03-30 14:14:06.238646,2024-03-30 14:14:08.569860
140,distBased,1.0,21,False,None,GradientBoostingTree,0.2,False,2024-03-30 14:14:06.238646,2024-03-30 14:14:08.887698
