,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,21,False,None,LinearRegression,0.1,False,2024-03-30 16:07:16.497263,2024-03-30 16:07:18.414512
10,distBased,1.0,21,False,None,Lasso,0.1,False,2024-03-30 16:07:16.497263,2024-03-30 16:07:18.448450
20,distBased,1.0,21,False,None,Ridge,0.1,False,2024-03-30 16:07:16.497263,2024-03-30 16:07:18.486840
30,distBased,1.0,21,False,None,ElasticNet,0.1,False,2024-03-30 16:07:16.497263,2024-03-30 16:07:18.529923
40,distBased,1.0,21,False,None,PolynomialRegression,0.1,False,2024-03-30 16:07:16.497263,2024-03-30 16:07:18.533438
50,distBased,1.0,21,False,None,RandomForest,0.1,False,2024-03-30 16:07:16.497263,2024-03-30 16:07:18.817201
60,distBased,1.0,21,False,None,GradientBoostingTree,0.1,False,2024-03-30 16:07:16.497263,2024-03-30 16:07:19.099779
70,distBased,1.0,21,False,None,DecisionTree,0.1,False,2024-03-30 16:07:16.497263,2024-03-30 16:07:19.346726
80,distBased,1.0,21,False,None,LinearRegression,0.2,False,2024-03-30 16:07:19.350019,2024-03-30 16:07:21.545878
90,distBased,1.0,21,False,None,Lasso,0.2,False,2024-03-30 16:07:19.350019,2024-03-30 16:07:21.804579
100,distBased,1.0,21,False,None,Ridge,0.2,False,2024-03-30 16:07:19.350019,2024-03-30 16:07:22.038355
110,distBased,1.0,21,False,None,ElasticNet,0.2,False,2024-03-30 16:07:19.350019,2024-03-30 16:07:22.272687
120,distBased,1.0,21,False,None,PolynomialRegression,0.2,False,2024-03-30 16:07:19.350019,2024-03-30 16:07:22.277800
130,distBased,1.0,21,False,None,RandomForest,0.2,False,2024-03-30 16:07:19.350019,2024-03-30 16:07:22.739383
140,distBased,1.0,21,False,None,GradientBoostingTree,0.2,False,2024-03-30 16:07:19.350019,2024-03-30 16:07:23.208222
150,distBased,1.0,21,False,None,DecisionTree,0.2,False,2024-03-30 16:07:19.350019,2024-03-30 16:07:23.617209
160,distBased,1.0,21,False,None,LinearRegression,0.3,False,2024-03-30 16:07:23.620408,2024-03-30 16:07:26.126564
170,distBased,1.0,21,False,None,Lasso,0.3,False,2024-03-30 16:07:23.620408,2024-03-30 16:07:26.548237
180,distBased,1.0,21,False,None,Ridge,0.3,False,2024-03-30 16:07:23.620408,2024-03-30 16:07:26.943798
190,distBased,1.0,21,False,None,ElasticNet,0.3,False,2024-03-30 16:07:23.620408,2024-03-30 16:07:27.354067
200,distBased,1.0,21,False,None,PolynomialRegression,0.3,False,2024-03-30 16:07:23.620408,2024-03-30 16:07:27.359592
210,distBased,1.0,21,False,None,RandomForest,0.3,False,2024-03-30 16:07:23.620408,2024-03-30 16:07:28.047653
220,distBased,1.0,21,False,None,GradientBoostingTree,0.3,False,2024-03-30 16:07:23.620408,2024-03-30 16:07:28.726626
230,distBased,1.0,21,False,None,DecisionTree,0.3,False,2024-03-30 16:07:23.620408,2024-03-30 16:07:29.368428
240,distBased,1.0,21,False,None,LinearRegression,0.4,False,2024-03-30 16:07:29.371685,2024-03-30 16:07:32.179189
250,distBased,1.0,21,False,None,Lasso,0.4,False,2024-03-30 16:07:29.371685,2024-03-30 16:07:32.804944
260,distBased,1.0,21,False,None,Ridge,0.4,False,2024-03-30 16:07:29.371685,2024-03-30 16:07:33.433848
270,distBased,1.0,21,False,None,ElasticNet,0.4,False,2024-03-30 16:07:29.371685,2024-03-30 16:07:34.023792
280,distBased,1.0,21,False,None,PolynomialRegression,0.4,False,2024-03-30 16:07:29.371685,2024-03-30 16:07:34.028680
290,distBased,1.0,21,False,None,RandomForest,0.4,False,2024-03-30 16:07:29.371685,2024-03-30 16:07:34.940151
300,distBased,1.0,21,False,None,GradientBoostingTree,0.4,False,2024-03-30 16:07:29.371685,2024-03-30 16:07:35.832324
310,distBased,1.0,21,False,None,DecisionTree,0.4,False,2024-03-30 16:07:29.371685,2024-03-30 16:07:36.670627
320,distBased,1.0,21,False,None,LinearRegression,0.5,False,2024-03-30 16:07:36.673964,2024-03-30 16:07:39.853622
330,distBased,1.0,21,False,None,Lasso,0.5,False,2024-03-30 16:07:36.673964,2024-03-30 16:07:40.713355
340,distBased,1.0,21,False,None,Ridge,0.5,False,2024-03-30 16:07:36.673964,2024-03-30 16:07:41.542694
350,distBased,1.0,21,False,None,ElasticNet,0.5,False,2024-03-30 16:07:36.673964,2024-03-30 16:07:42.332181
360,distBased,1.0,21,False,None,PolynomialRegression,0.5,False,2024-03-30 16:07:36.673964,2024-03-30 16:07:42.335727
370,distBased,1.0,21,False,None,RandomForest,0.5,False,2024-03-30 16:07:36.673964,2024-03-30 16:07:43.403143
380,distBased,1.0,21,False,None,GradientBoostingTree,0.5,False,2024-03-30 16:07:36.673964,2024-03-30 16:07:44.411654
390,distBased,1.0,21,False,None,DecisionTree,0.5,False,2024-03-30 16:07:36.673964,2024-03-30 16:07:45.363070
400,distBased,1.0,21,False,None,LinearRegression,0.6,False,2024-03-30 16:07:45.366346,2024-03-30 16:07:48.613360
410,distBased,1.0,21,False,None,Lasso,0.6,False,2024-03-30 16:07:45.366346,2024-03-30 16:07:49.633725
420,distBased,1.0,21,False,None,Ridge,0.6,False,2024-03-30 16:07:45.366346,2024-03-30 16:07:50.644025
430,distBased,1.0,21,False,None,ElasticNet,0.6,False,2024-03-30 16:07:45.366346,2024-03-30 16:07:51.698934
440,distBased,1.0,21,False,None,PolynomialRegression,0.6,False,2024-03-30 16:07:45.366346,2024-03-30 16:07:51.702587
450,distBased,1.0,21,False,None,RandomForest,0.6,False,2024-03-30 16:07:45.366346,2024-03-30 16:07:53.025126
460,distBased,1.0,21,False,None,GradientBoostingTree,0.6,False,2024-03-30 16:07:45.366346,2024-03-30 16:07:54.365318
470,distBased,1.0,21,False,None,DecisionTree,0.6,False,2024-03-30 16:07:45.366346,2024-03-30 16:07:55.565877
480,distBased,1.0,21,False,None,LinearRegression,0.7,False,2024-03-30 16:07:55.569288,2024-03-30 16:07:59.117107
490,distBased,1.0,21,False,None,Lasso,0.7,False,2024-03-30 16:07:55.569288,2024-03-30 16:08:00.296278
500,distBased,1.0,21,False,None,Ridge,0.7,False,2024-03-30 16:07:55.569288,2024-03-30 16:08:01.391381
510,distBased,1.0,21,False,None,ElasticNet,0.7,False,2024-03-30 16:07:55.569288,2024-03-30 16:08:02.605094
520,distBased,1.0,21,False,None,PolynomialRegression,0.7,False,2024-03-30 16:07:55.569288,2024-03-30 16:08:02.608680
530,distBased,1.0,21,False,None,RandomForest,0.7,False,2024-03-30 16:07:55.569288,2024-03-30 16:08:04.120923
540,distBased,1.0,21,False,None,GradientBoostingTree,0.7,False,2024-03-30 16:07:55.569288,2024-03-30 16:08:05.408281
550,distBased,1.0,21,False,None,DecisionTree,0.7,False,2024-03-30 16:07:55.569288,2024-03-30 16:08:06.718097
560,distBased,1.0,21,False,None,LinearRegression,0.8,False,2024-03-30 16:08:06.722705,2024-03-30 16:08:10.183274
570,distBased,1.0,21,False,None,Lasso,0.8,False,2024-03-30 16:08:06.722705,2024-03-30 16:08:11.553243
580,distBased,1.0,21,False,None,Ridge,0.8,False,2024-03-30 16:08:06.722705,2024-03-30 16:08:12.914250
590,distBased,1.0,21,False,None,ElasticNet,0.8,False,2024-03-30 16:08:06.722705,2024-03-30 16:08:14.301377
600,distBased,1.0,21,False,None,PolynomialRegression,0.8,False,2024-03-30 16:08:06.722705,2024-03-30 16:08:14.304939
610,distBased,1.0,21,False,None,RandomForest,0.8,False,2024-03-30 16:08:06.722705,2024-03-30 16:08:16.010772
620,distBased,1.0,21,False,None,GradientBoostingTree,0.8,False,2024-03-30 16:08:06.722705,2024-03-30 16:08:17.697064
