,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"GradientSolver    2.155842e+17
LoopSolver        2.155842e+17
BiCGSTABSolver    2.155842e+17
CGSolver          2.155842e+17
post_6            1.478508e+17
post_4            1.478508e+17
post_5            1.478508e+17
post_3            1.478508e+17
post_2            1.478508e+17
post_1            1.478508e+17
post_0            1.478508e+17
SeqSOR            9.461907e+16
SeqGS             9.461907e+16
pre_6             7.690239e+16
pre_4             7.690239e+16
pre_5             7.690239e+16
pre_3             7.690239e+16
pre_2             7.690239e+16
pre_0             7.690239e+16
pre_1             7.690239e+16
Precon            6.404671e+16
cells_50          5.186610e+16
cells_52          5.186610e+16
cells_51          5.186610e+16
cells_53          5.186610e+16
cells_54          5.186610e+16
cells_55          5.186610e+16
Solver            4.325786e+16
PreSmoothing      3.469239e+16
PostSmoothing     4.846812e+15
root              2.134352e+12
Cells             6.400000e+01
dtype: float64","count    964.000000
mean      14.349738
std       12.067196
min        0.031916
25%        5.194545
50%       11.190962
75%       20.300020
max       75.736266
Name: % error, dtype: float64",34
1,Lasso,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.1,"post_0            6424.399636
pre_1             1912.727313
cells_50          1829.846046
SeqGS             1783.864397
post_6            1444.058825
pre_6             1049.556274
post_1            1004.245284
cells_55           991.842739
CGSolver           894.940112
post_4             832.318144
post_2             796.293021
pre_2              613.006488
cells_52           598.699702
pre_0              472.134480
pre_4              408.047891
post_5             366.746879
cells_54           322.847244
GradientSolver     280.177484
BiCGSTABSolver     175.962984
LoopSolver         162.362991
post_3              75.870436
pre_5               21.719820
dtype: float64","count    964.000000
mean      13.752114
std       11.912071
min        0.011609
25%        4.933102
50%       10.386455
75%       18.799410
max       78.543741
Name: % error, dtype: float64",34
2,Ridge,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')",Ridge(alpha=4),Performance,0.1,"post_0            3942.054347
post_6            1848.252913
pre_1             1563.021141
post_4            1341.223887
cells_50          1304.090313
post_5            1048.719501
cells_55          1026.116346
pre_6              956.207293
CGSolver           774.298196
SeqGS              741.917857
SeqSOR             741.917857
GradientSolver     658.863050
cells_52           613.392980
cells_54           599.995388
pre_4              536.706534
pre_5              494.353604
post_1             422.855110
pre_2              329.539356
post_3             323.517567
pre_0              307.368364
LoopSolver         267.601202
cells_51           230.685253
pre_3              212.661430
post_2             196.804410
BiCGSTABSolver     152.166055
cells_53            60.686307
dtype: float64","count    964.000000
mean      12.606730
std       11.150157
min        0.064449
25%        4.525937
50%        9.566508
75%       17.067439
max       69.913640
Name: % error, dtype: float64",34
3,ElasticNet,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')","ElasticNet(alpha=0.1, max_iter=100)",Performance,0.1,"post_0            3549.781809
post_6            1701.738897
pre_1             1491.354851
post_4            1227.239648
cells_50          1200.275756
post_5             982.403881
cells_55           981.375473
pre_6              835.385520
CGSolver           738.601956
SeqGS              693.879028
SeqSOR             693.754132
GradientSolver     667.093877
cells_52           616.837118
cells_54           574.212103
pre_5              487.498383
pre_4              469.434979
post_1             435.316087
pre_2              274.961783
post_3             267.336385
pre_0              235.970214
cells_51           228.844084
LoopSolver         222.345589
pre_3              208.969973
post_2             194.633037
BiCGSTABSolver     150.961639
cells_53            30.673394
dtype: float64","count    964.000000
mean      12.493358
std       11.201489
min        0.031059
25%        4.374430
50%        9.358128
75%       16.677323
max       70.864338
Name: % error, dtype: float64",34
4,RandomForest,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"root             NaN
Precon           NaN
Solver           NaN
SeqGS            NaN
SeqSOR           NaN
CGSolver         NaN
BiCGSTABSolver   NaN
LoopSolver       NaN
GradientSolver   NaN
PreSmoothing     NaN
pre_0            NaN
pre_1            NaN
pre_2            NaN
pre_3            NaN
pre_4            NaN
pre_5            NaN
pre_6            NaN
PostSmoothing    NaN
post_0           NaN
post_1           NaN
post_2           NaN
post_3           NaN
post_4           NaN
post_5           NaN
post_6           NaN
Cells            NaN
cells_50         NaN
cells_51         NaN
cells_52         NaN
cells_53         NaN
cells_54         NaN
cells_55         NaN
#yes             NaN
Name: % error, dtype: float64","count    964.000000
mean      12.159807
std       14.651682
min        0.002688
25%        3.523595
50%        8.556304
75%       15.434402
max      131.605877
Name: % error, dtype: float64",34
5,GradientBoostingTree,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"root             NaN
Precon           NaN
Solver           NaN
SeqGS            NaN
SeqSOR           NaN
CGSolver         NaN
BiCGSTABSolver   NaN
LoopSolver       NaN
GradientSolver   NaN
PreSmoothing     NaN
pre_0            NaN
pre_1            NaN
pre_2            NaN
pre_3            NaN
pre_4            NaN
pre_5            NaN
pre_6            NaN
PostSmoothing    NaN
post_0           NaN
post_1           NaN
post_2           NaN
post_3           NaN
post_4           NaN
post_5           NaN
post_6           NaN
Cells            NaN
cells_50         NaN
cells_51         NaN
cells_52         NaN
cells_53         NaN
cells_54         NaN
cells_55         NaN
#yes             NaN
Name: % error, dtype: float64","count    964.000000
mean      13.056957
std       21.129553
min        0.001471
25%        3.041741
50%        6.892733
75%       14.669692
max      186.018929
Name: % error, dtype: float64",34
6,DecisionTree,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"root             NaN
Precon           NaN
Solver           NaN
SeqGS            NaN
SeqSOR           NaN
CGSolver         NaN
BiCGSTABSolver   NaN
LoopSolver       NaN
GradientSolver   NaN
PreSmoothing     NaN
pre_0            NaN
pre_1            NaN
pre_2            NaN
pre_3            NaN
pre_4            NaN
pre_5            NaN
pre_6            NaN
PostSmoothing    NaN
post_0           NaN
post_1           NaN
post_2           NaN
post_3           NaN
post_4           NaN
post_5           NaN
post_6           NaN
Cells            NaN
cells_50         NaN
cells_51         NaN
cells_52         NaN
cells_53         NaN
cells_54         NaN
cells_55         NaN
#yes             NaN
Name: % error, dtype: float64","count    964.000000
mean      14.646617
std       26.641437
min        0.000443
25%        0.660378
50%        2.558345
75%       24.446919
max      229.094012
Name: % error, dtype: float64",34
7,LinearRegression,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"SeqSOR            2.296922e+17
SeqGS             2.296922e+17
Precon            1.587825e+17
cells_50          9.363331e+16
cells_51          9.363331e+16
cells_52          9.363331e+16
cells_53          9.363331e+16
cells_54          9.363331e+16
cells_55          9.363331e+16
post_0            3.941178e+16
post_1            3.941178e+16
post_2            3.941178e+16
post_3            3.941178e+16
post_4            3.941178e+16
post_5            3.941178e+16
post_6            3.941178e+16
GradientSolver    2.889613e+16
LoopSolver        2.889613e+16
BiCGSTABSolver    2.889613e+16
CGSolver          2.889613e+16
Solver            2.467149e+16
PostSmoothing     1.519642e+16
PreSmoothing      1.474128e+16
pre_6             1.427425e+16
pre_5             1.427425e+16
pre_3             1.427425e+16
pre_4             1.427425e+16
pre_2             1.427425e+16
pre_1             1.427425e+16
pre_0             1.427425e+16
root              3.914947e+12
dtype: float64","count    857.000000
mean      12.603494
std       10.175986
min        0.078217
25%        5.054897
50%       10.035528
75%       17.535021
max       67.747403
Name: % error, dtype: float64",34
8,Lasso,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')","Lasso(alpha=10, max_iter=10)",Performance,0.2,"post_0            5.699136e+03
pre_0             2.851391e+03
post_1            2.833045e+03
cells_50          2.026906e+03
SeqGS             1.372392e+03
pre_1             1.328995e+03
post_6            1.289360e+03
CGSolver          1.177076e+03
cells_55          1.105961e+03
pre_6             1.022834e+03
cells_51          9.859515e+02
cells_52          8.601558e+02
post_2            7.867108e+02
GradientSolver    6.892847e+02
cells_54          6.819042e+02
post_3            4.984253e+02
pre_2             4.388391e+02
pre_5             2.759348e+02
post_5            2.356197e+02
BiCGSTABSolver    2.288537e+02
post_4            1.727416e+02
SeqSOR            6.319216e-13
dtype: float64","count    857.000000
mean      12.137130
std        9.899552
min        0.007873
25%        4.870093
50%        9.808325
75%       16.940274
max       68.558576
Name: % error, dtype: float64",34
9,Ridge,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')",Ridge(alpha=4),Performance,0.2,"post_0            3782.497389
post_6            2165.521080
pre_0             1894.697424
post_1            1566.899314
cells_50          1411.847819
cells_55          1351.533413
post_5            1307.939263
pre_6             1246.763344
post_4            1218.340332
cells_54           985.244568
CGSolver           973.628581
pre_1              880.790500
GradientSolver     879.736840
pre_5              779.219178
cells_51           616.262049
SeqGS              613.511848
SeqSOR             613.511848
cells_52           534.575222
post_3             473.700499
pre_3              449.651807
pre_4              417.303260
cells_53           225.907108
post_2             183.895527
LoopSolver         173.097457
pre_2              117.449666
BiCGSTABSolver      79.205716
dtype: float64","count    857.000000
mean      11.293975
std        9.538036
min        0.001262
25%        4.358782
50%        8.873325
75%       15.456260
max       70.056396
Name: % error, dtype: float64",34
