,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')",LinearRegression(),Performance,0.1,"post_0            8088.305609
pre_1             3675.557640
post_1            2506.012087
CGSolver          1496.473482
pre_0             1361.808086
cells_55           878.253689
cells_50           861.163338
GradientSolver     401.216444
dtype: float64","count    964.000000
mean      16.679520
std       14.474237
min        0.001886
25%        6.267458
50%       13.509825
75%       23.552766
max      130.211384
Name: % error, dtype: float64",8
1,Lasso,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.1,"post_0            7859.433001
pre_1             3474.085061
post_1            2227.207173
CGSolver          1394.173129
pre_0             1080.083088
cells_55           821.746703
cells_50           766.501945
GradientSolver     319.061386
dtype: float64","count    964.000000
mean      16.436638
std       14.265303
min        0.006253
25%        6.547181
50%       13.189078
75%       22.229685
max      130.706896
Name: % error, dtype: float64",8
2,Ridge,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')",Ridge(alpha=4),Performance,0.1,"post_0            5992.469437
pre_1             3031.755835
post_1            1567.659780
CGSolver          1139.011537
cells_55          1114.707937
cells_50          1019.115622
pre_0              546.498088
GradientSolver     532.463549
dtype: float64","count    964.000000
mean      14.779663
std       13.871819
min        0.003037
25%        5.118909
50%       11.364134
75%       18.850837
max      109.127267
Name: % error, dtype: float64",8
3,ElasticNet,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=0.1, max_iter=10)",Performance,0.1,"post_0            4497.417510
pre_1             2419.945929
cells_55          1104.058825
post_1            1005.958049
cells_50           970.198505
CGSolver           901.889572
GradientSolver     578.523712
pre_0              130.568338
dtype: float64","count    964.000000
mean      14.224345
std       14.176350
min        0.005255
25%        4.419160
50%       10.131093
75%       18.711036
max       95.946359
Name: % error, dtype: float64",8
4,PolynomialRegression,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')",LinearRegression(),Performance,0.1,"post_0            3.909335e+17
CGSolver          2.817376e+17
pre_1             1.152720e+17
cells_50          7.287655e+16
pre_0             7.281813e+16
post_1            1.535894e+16
GradientSolver    1.173431e+16
cells_55          6.080829e+15
dtype: float64","count    9.640000e+02
mean     7.418596e+12
std      5.274007e+13
min      2.125488e-03
25%      7.046269e+00
50%      1.245369e+01
75%      1.927866e+01
max      6.342483e+14
Name: % error, dtype: float64",8
5,RandomForest,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"post_0           NaN
CGSolver         NaN
pre_1            NaN
pre_0            NaN
post_1           NaN
cells_55         NaN
cells_50         NaN
GradientSolver   NaN
Name: % error, dtype: float64","count    964.000000
mean      12.923717
std       12.168755
min        0.000446
25%        5.249805
50%        9.545078
75%       16.826495
max      120.370717
Name: % error, dtype: float64",8
6,GradientBoostingTree,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"post_0           NaN
CGSolver         NaN
pre_1            NaN
pre_0            NaN
post_1           NaN
cells_55         NaN
cells_50         NaN
GradientSolver   NaN
Name: % error, dtype: float64","count    964.000000
mean      12.576191
std       11.512424
min        0.041218
25%        4.924190
50%       10.147217
75%       16.964327
max      116.161007
Name: % error, dtype: float64",8
7,DecisionTree,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"post_0           NaN
CGSolver         NaN
pre_1            NaN
pre_0            NaN
post_1           NaN
cells_55         NaN
cells_50         NaN
GradientSolver   NaN
Name: % error, dtype: float64","count    964.000000
mean      12.978598
std       12.072982
min        0.028206
25%        4.893068
50%        9.903359
75%       17.542082
max      118.419610
Name: % error, dtype: float64",8
8,LinearRegression,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')",LinearRegression(),Performance,0.2,"post_0            9270.203265
post_1            3616.156879
pre_1             3601.828556
pre_0             2528.883748
cells_55          2483.890854
CGSolver          2358.021251
cells_50           985.390745
GradientSolver     619.054233
dtype: float64","count    857.000000
mean      19.565778
std       15.554076
min        0.012777
25%        7.080392
50%       17.381794
75%       29.696401
max      137.387794
Name: % error, dtype: float64",8
9,Lasso,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.2,"post_0            9007.377503
pre_1             3418.336237
post_1            3388.949474
cells_55          2410.551964
CGSolver          2281.622234
pre_0             2255.789393
cells_50           850.582032
GradientSolver     560.271548
dtype: float64","count    857.000000
mean      18.780364
std       15.387373
min        0.001663
25%        5.873516
50%       16.290787
75%       28.104203
max      137.699119
Name: % error, dtype: float64",8
10,Ridge,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')",Ridge(alpha=4),Performance,0.2,"post_0            7756.939290
pre_1             3293.053219
post_1            2967.858046
cells_55          2463.796981
CGSolver          2160.993327
pre_0             1933.219922
cells_50           961.466411
GradientSolver     667.629615
dtype: float64","count    857.000000
mean      17.508230
std       14.665065
min        0.001082
25%        6.097063
50%       15.306297
75%       25.375892
max      122.929776
Name: % error, dtype: float64",8
