,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')",LinearRegression(),Performance,0.1,"post_0            6683.395660
cells_50          2350.236340
pre_1             2166.546496
post_1            1641.914615
pre_0             1314.099832
CGSolver          1231.173469
cells_55          1067.048926
GradientSolver      23.432198
dtype: float64","count    964.000000
mean      14.982722
std       12.462219
min        0.045066
25%        5.884758
50%       11.932413
75%       20.223965
max       85.853175
Name: % error, dtype: float64",8
1,Lasso,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.1,"post_0      6285.033907
cells_50    2079.536257
pre_1       1976.888277
post_1      1369.813309
CGSolver    1096.716763
cells_55     980.850420
pre_0        661.122353
dtype: float64","count    964.000000
mean      14.459322
std       12.484858
min        0.020317
25%        5.830368
50%       11.098702
75%       20.469025
max       86.389289
Name: % error, dtype: float64",8
2,Ridge,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')",Ridge(alpha=2),Performance,0.1,"post_0            5257.906318
pre_1             1978.455647
cells_50          1839.694613
post_1            1311.305775
CGSolver          1047.734173
cells_55          1044.278245
pre_0              762.400206
GradientSolver     215.477908
dtype: float64","count    964.000000
mean      13.915942
std       12.194266
min        0.004938
25%        5.111151
50%       11.041079
75%       19.015677
max       76.836753
Name: % error, dtype: float64",8
3,ElasticNet,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')","ElasticNet(alpha=0.05, max_iter=10)",Performance,0.1,"post_0            4909.248234
pre_1             1919.522382
cells_50          1719.324097
post_1            1231.433386
cells_55          1031.667060
CGSolver          1000.812611
pre_0              650.990493
GradientSolver     268.218830
dtype: float64","count    964.000000
mean      13.761006
std       12.242493
min        0.008728
25%        4.927280
50%       10.762892
75%       19.029518
max       74.599446
Name: % error, dtype: float64",8
4,PolynomialRegression,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')",LinearRegression(),Performance,0.1,"post_0            1419.500193
pre_0             1189.294271
cells_50           777.887859
GradientSolver     604.867236
cells_55           505.301273
post_1             228.449717
CGSolver           174.140149
pre_1              152.679165
dtype: float64","count    964.000000
mean      15.056951
std       14.493412
min        0.000720
25%        4.844044
50%       11.256767
75%       21.079145
max      126.730379
Name: % error, dtype: float64",8
5,RandomForest,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"post_0           NaN
CGSolver         NaN
pre_0            NaN
post_1           NaN
pre_1            NaN
cells_55         NaN
cells_50         NaN
GradientSolver   NaN
Name: % error, dtype: float64","count    964.000000
mean      12.778681
std       11.255424
min        0.016720
25%        4.097268
50%        9.575934
75%       18.919368
max       77.854467
Name: % error, dtype: float64",8
6,GradientBoostingTree,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"post_0           NaN
CGSolver         NaN
pre_0            NaN
post_1           NaN
pre_1            NaN
cells_55         NaN
cells_50         NaN
GradientSolver   NaN
Name: % error, dtype: float64","count    964.000000
mean      13.080949
std       11.529513
min        0.001620
25%        4.320005
50%        9.965082
75%       18.918881
max      100.884822
Name: % error, dtype: float64",8
7,DecisionTree,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"post_0           NaN
CGSolver         NaN
pre_0            NaN
post_1           NaN
pre_1            NaN
cells_55         NaN
cells_50         NaN
GradientSolver   NaN
Name: % error, dtype: float64","count    964.000000
mean      13.896461
std       12.886346
min        0.002214
25%        3.901795
50%        9.654082
75%       21.188140
max      104.302176
Name: % error, dtype: float64",8
8,LinearRegression,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')",LinearRegression(),Performance,0.2,"post_0            5436.393433
pre_0             3231.607732
post_1            3027.324369
cells_50          1954.920906
pre_1             1668.389999
cells_55          1478.604786
CGSolver          1080.834886
GradientSolver     461.530800
dtype: float64","count    857.000000
mean      14.818914
std       11.703578
min        0.047942
25%        6.119064
50%       12.123751
75%       20.868953
max       87.624714
Name: % error, dtype: float64",8
9,Lasso,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'GradientSolver'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.2,"post_0            5077.190105
post_1            2799.885528
pre_0             2703.353102
cells_50          1676.161105
pre_1             1459.150348
cells_55          1403.567509
CGSolver           991.000492
GradientSolver     405.906580
dtype: float64","count    857.000000
mean      14.129580
std       11.311105
min        0.074381
25%        5.700543
50%       11.009008
75%       20.130289
max       80.529871
Name: % error, dtype: float64",8
