,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'pre_1', 'post_1', 'cells_55',
       'cells_50', 'SeqSOR'],
      dtype='object')",LinearRegression(),Performance,0.1,"post_0      6894.270873
cells_50    2457.952306
pre_1       2265.069339
post_1      1714.445851
SeqSOR      1707.051480
cells_55    1382.411352
pre_0       1226.431010
CGSolver     768.905107
dtype: float64","count    964.000000
mean      15.217650
std       12.597498
min        0.003732
25%        6.518360
50%       11.951511
75%       21.151013
max       81.498419
Name: % error, dtype: float64",8
1,Lasso,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'pre_1', 'post_1', 'cells_55',
       'cells_50', 'SeqSOR'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.1,"post_0      6478.464644
cells_50    2181.376644
pre_1       2067.137911
SeqSOR      1526.581167
post_1      1432.606575
cells_55    1264.636117
CGSolver     691.826417
pre_0        581.517471
dtype: float64","count    964.000000
mean      14.702569
std       12.399660
min        0.025921
25%        5.637677
50%       11.254580
75%       21.152167
max       82.356120
Name: % error, dtype: float64",8
2,Ridge,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'pre_1', 'post_1', 'cells_55',
       'cells_50', 'SeqSOR'],
      dtype='object')",Ridge(alpha=2),Performance,0.1,"post_0      5443.889825
pre_1       2077.002722
cells_50    1966.136658
SeqSOR      1425.553017
post_1      1342.387922
cells_55    1313.139366
CGSolver     783.212224
pre_0        690.204693
dtype: float64","count    964.000000
mean      14.128941
std       12.065287
min        0.001758
25%        5.683324
50%       10.856344
75%       19.082517
max       71.349305
Name: % error, dtype: float64",8
3,ElasticNet,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'pre_1', 'post_1', 'cells_55',
       'cells_50', 'SeqSOR'],
      dtype='object')","ElasticNet(alpha=0.05, l1_ratio=0.1, max_iter=10)",Performance,0.1,"post_0      4214.242234
pre_1       1836.968046
cells_50    1558.063936
cells_55    1203.481098
SeqSOR      1160.937559
post_1      1049.358569
CGSolver     760.403518
pre_0        360.260402
dtype: float64","count    964.000000
mean      13.883578
std       12.053159
min        0.026073
25%        4.963154
50%       10.495316
75%       18.531067
max       71.035205
Name: % error, dtype: float64",8
4,PolynomialRegression,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'pre_1', 'post_1', 'cells_55',
       'cells_50', 'SeqSOR'],
      dtype='object')",LinearRegression(),Performance,0.1,"post_0      1920.478073
post_1      1424.813981
cells_55     646.476739
cells_50     605.705329
SeqSOR       512.457561
pre_1        355.256062
pre_0        125.667552
CGSolver      26.299506
dtype: float64","count    964.000000
mean      16.831228
std       18.049674
min        0.000493
25%        4.844685
50%       12.937692
75%       23.853997
max      153.105942
Name: % error, dtype: float64",8
5,RandomForest,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'pre_1', 'post_1', 'cells_55',
       'cells_50', 'SeqSOR'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"post_0     NaN
CGSolver   NaN
pre_0      NaN
pre_1      NaN
post_1     NaN
cells_55   NaN
cells_50   NaN
SeqSOR     NaN
Name: % error, dtype: float64","count    964.000000
mean      13.975120
std       12.529458
min        0.004908
25%        4.150833
50%       10.933197
75%       19.971881
max       88.177795
Name: % error, dtype: float64",8
6,GradientBoostingTree,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'pre_1', 'post_1', 'cells_55',
       'cells_50', 'SeqSOR'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"post_0     NaN
CGSolver   NaN
pre_0      NaN
pre_1      NaN
post_1     NaN
cells_55   NaN
cells_50   NaN
SeqSOR     NaN
Name: % error, dtype: float64","count    964.000000
mean      16.539921
std       21.231170
min        0.023102
25%        4.244431
50%       11.060196
75%       22.130185
max      191.645049
Name: % error, dtype: float64",8
7,DecisionTree,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'pre_1', 'post_1', 'cells_55',
       'cells_50', 'SeqSOR'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"post_0     NaN
CGSolver   NaN
pre_0      NaN
pre_1      NaN
post_1     NaN
cells_55   NaN
cells_50   NaN
SeqSOR     NaN
Name: % error, dtype: float64","count    964.000000
mean      17.974964
std       25.388368
min        0.006231
25%        4.494834
50%       12.218683
75%       23.291861
max      229.094012
Name: % error, dtype: float64",8
8,LinearRegression,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'pre_1', 'post_1', 'cells_55',
       'cells_50', 'SeqSOR'],
      dtype='object')",LinearRegression(),Performance,0.2,"post_0      5732.972344
pre_0       3131.457522
post_1      3040.351652
cells_50    2143.219733
cells_55    1789.432314
pre_1       1748.919113
SeqSOR      1271.699275
CGSolver    1113.828298
dtype: float64","count    857.000000
mean      14.765246
std       11.284547
min        0.028087
25%        6.738607
50%       12.343572
75%       20.816422
max       77.840276
Name: % error, dtype: float64",8
9,Lasso,False,DecisionTree,"Index(['post_0', 'CGSolver', 'pre_0', 'pre_1', 'post_1', 'cells_55',
       'cells_50', 'SeqSOR'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.2,"post_0      5329.259423
post_1      2808.649398
pre_0       2618.265104
cells_50    1838.923752
cells_55    1667.594134
pre_1       1527.523012
SeqSOR      1076.699563
CGSolver    1025.344658
dtype: float64","count    857.000000
mean      14.018397
std       10.776274
min        0.117528
25%        5.998161
50%       11.760263
75%       19.159733
max       72.241996
Name: % error, dtype: float64",8
