,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'bs_1024x1', 'pixelPerThread_1', 'bs_512x1',
       'bs_512x2', 'bs_32x32', 'pixelPerThread_2', 'bs_64x16', 'bs_256x4',
       'bs_128x8', 'Array2D', 'OpenCL', 'CUDA', 'Linear1D', 'bs_32x2'],
      dtype='object')",LinearRegression(),Performance,0.1,"bs_1024x1           24.025532
bs_32x1             22.536210
LocalMemory         20.159940
bs_32x32            15.419708
bs_512x1            14.552397
bs_512x2            12.384112
bs_256x4            11.390255
bs_64x16             9.566498
bs_128x8             6.865402
pixelPerThread_1     6.776197
Linear1D             4.936553
Array2D              4.430514
CUDA                 2.109026
OpenCL               2.109026
bs_32x2              1.760465
pixelPerThread_2     0.077245
dtype: float64","count    4141.000000
mean       17.992664
std        12.757261
min         0.009180
25%         8.486241
50%        15.507757
75%        25.114273
max        96.576942
Name: % error, dtype: float64",16
1,Lasso,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'bs_1024x1', 'pixelPerThread_1', 'bs_512x1',
       'bs_512x2', 'bs_32x32', 'pixelPerThread_2', 'bs_64x16', 'bs_256x4',
       'bs_128x8', 'Array2D', 'OpenCL', 'CUDA', 'Linear1D', 'bs_32x2'],
      dtype='object')","Lasso(alpha=0.01, max_iter=5)",Performance,0.1,"bs_1024x1           2.355561e+01
bs_32x1             2.225342e+01
LocalMemory         2.008552e+01
bs_32x32            1.493822e+01
bs_512x1            1.422029e+01
bs_512x2            1.198790e+01
bs_256x4            1.097865e+01
bs_64x16            9.013699e+00
pixelPerThread_1    6.768062e+00
bs_128x8            6.358787e+00
Linear1D            4.815193e+00
Array2D             4.334085e+00
OpenCL              4.148900e+00
bs_32x2             1.441278e+00
CUDA                3.575848e-16
dtype: float64","count    4141.000000
mean       17.822241
std        12.623302
min         0.019031
25%         8.605046
50%        14.935186
75%        25.191863
max        95.083864
Name: % error, dtype: float64",16
2,Ridge,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'bs_1024x1', 'pixelPerThread_1', 'bs_512x1',
       'bs_512x2', 'bs_32x32', 'pixelPerThread_2', 'bs_64x16', 'bs_256x4',
       'bs_128x8', 'Array2D', 'OpenCL', 'CUDA', 'Linear1D', 'bs_32x2'],
      dtype='object')",Ridge(alpha=0.01),Performance,0.1,"bs_1024x1           24.004589
bs_32x1             22.525639
LocalMemory         20.157027
bs_32x32            15.405259
bs_512x1            14.542516
bs_512x2            12.373012
bs_256x4            11.379542
bs_64x16             9.553719
bs_128x8             6.855874
pixelPerThread_1     6.776565
Linear1D             4.934943
Array2D              4.430196
OpenCL               2.108602
CUDA                 2.108602
bs_32x2              1.755557
pixelPerThread_2     0.076108
dtype: float64","count    4141.000000
mean       17.987529
std        12.751811
min         0.026764
25%         8.497786
50%        15.484096
75%        25.111542
max        96.508643
Name: % error, dtype: float64",16
3,ElasticNet,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'bs_1024x1', 'pixelPerThread_1', 'bs_512x1',
       'bs_512x2', 'bs_32x32', 'pixelPerThread_2', 'bs_64x16', 'bs_256x4',
       'bs_128x8', 'Array2D', 'OpenCL', 'CUDA', 'Linear1D', 'bs_32x2'],
      dtype='object')","ElasticNet(alpha=0.01, l1_ratio=1.0, max_iter=5)",Performance,0.1,"bs_1024x1           2.355561e+01
bs_32x1             2.225342e+01
LocalMemory         2.008552e+01
bs_32x32            1.493822e+01
bs_512x1            1.422029e+01
bs_512x2            1.198790e+01
bs_256x4            1.097865e+01
bs_64x16            9.013699e+00
pixelPerThread_1    6.768062e+00
bs_128x8            6.358787e+00
Linear1D            4.815193e+00
Array2D             4.334085e+00
OpenCL              4.148900e+00
bs_32x2             1.441278e+00
CUDA                3.575848e-16
dtype: float64","count    4141.000000
mean       17.822241
std        12.623302
min         0.019031
25%         8.605046
50%        14.935186
75%        25.191863
max        95.083864
Name: % error, dtype: float64",16
4,PolynomialRegression,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'bs_1024x1', 'pixelPerThread_1', 'bs_512x1',
       'bs_512x2', 'bs_32x32', 'pixelPerThread_2', 'bs_64x16', 'bs_256x4',
       'bs_128x8', 'Array2D', 'OpenCL', 'CUDA', 'Linear1D', 'bs_32x2'],
      dtype='object')",LinearRegression(),Performance,0.1,"LocalMemory         6.786593e+14
OpenCL              3.494675e+14
CUDA                1.813268e+14
pixelPerThread_1    1.681295e+14
bs_32x2             1.596288e+14
bs_32x1             1.340873e+14
bs_64x16            1.259955e+14
Array2D             1.217289e+14
Linear1D            1.130200e+14
bs_512x1            1.027186e+14
bs_128x8            8.888975e+13
bs_1024x1           8.688771e+13
bs_512x2            5.633934e+13
pixelPerThread_2    5.570990e+13
bs_256x4            4.531742e+13
bs_32x32            6.442506e+12
dtype: float64","count    4.141000e+03
mean     8.324999e+10
std      9.248016e+11
min      8.596049e-04
25%      3.558751e+00
50%      8.142348e+00
75%      1.782394e+01
max      1.354870e+13
Name: % error, dtype: float64",16
5,RandomForest,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'bs_1024x1', 'pixelPerThread_1', 'bs_512x1',
       'bs_512x2', 'bs_32x32', 'pixelPerThread_2', 'bs_64x16', 'bs_256x4',
       'bs_128x8', 'Array2D', 'OpenCL', 'CUDA', 'Linear1D', 'bs_32x2'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"LocalMemory        NaN
bs_32x1            NaN
bs_1024x1          NaN
pixelPerThread_1   NaN
bs_512x1           NaN
bs_512x2           NaN
bs_32x32           NaN
pixelPerThread_2   NaN
bs_64x16           NaN
bs_256x4           NaN
bs_128x8           NaN
Array2D            NaN
OpenCL             NaN
CUDA               NaN
Linear1D           NaN
bs_32x2            NaN
Name: % error, dtype: float64","count    4141.000000
mean        9.262966
std         9.346735
min         0.002420
25%         2.584155
50%         5.850745
75%        13.610363
max        90.081607
Name: % error, dtype: float64",16
6,GradientBoostingTree,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'bs_1024x1', 'pixelPerThread_1', 'bs_512x1',
       'bs_512x2', 'bs_32x32', 'pixelPerThread_2', 'bs_64x16', 'bs_256x4',
       'bs_128x8', 'Array2D', 'OpenCL', 'CUDA', 'Linear1D', 'bs_32x2'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"LocalMemory        NaN
bs_32x1            NaN
bs_1024x1          NaN
pixelPerThread_1   NaN
bs_512x1           NaN
bs_512x2           NaN
bs_32x32           NaN
pixelPerThread_2   NaN
bs_64x16           NaN
bs_256x4           NaN
bs_128x8           NaN
Array2D            NaN
OpenCL             NaN
CUDA               NaN
Linear1D           NaN
bs_32x2            NaN
Name: % error, dtype: float64","count    4141.000000
mean       10.663557
std         8.709402
min         0.002083
25%         3.843854
50%         8.848275
75%        15.378097
max        56.632442
Name: % error, dtype: float64",16
7,DecisionTree,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'bs_1024x1', 'pixelPerThread_1', 'bs_512x1',
       'bs_512x2', 'bs_32x32', 'pixelPerThread_2', 'bs_64x16', 'bs_256x4',
       'bs_128x8', 'Array2D', 'OpenCL', 'CUDA', 'Linear1D', 'bs_32x2'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"LocalMemory        NaN
bs_32x1            NaN
bs_1024x1          NaN
pixelPerThread_1   NaN
bs_512x1           NaN
bs_512x2           NaN
bs_32x32           NaN
pixelPerThread_2   NaN
bs_64x16           NaN
bs_256x4           NaN
bs_128x8           NaN
Array2D            NaN
OpenCL             NaN
CUDA               NaN
Linear1D           NaN
bs_32x2            NaN
Name: % error, dtype: float64","count    4141.000000
mean        9.073553
std         9.778884
min         0.001447
25%         2.241666
50%         5.447021
75%        13.144087
max        99.245388
Name: % error, dtype: float64",16
8,LinearRegression,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'bs_1024x1', 'pixelPerThread_1', 'bs_512x1',
       'bs_512x2', 'bs_32x32', 'pixelPerThread_2', 'bs_64x16', 'bs_256x4',
       'bs_128x8', 'Array2D', 'OpenCL', 'CUDA', 'Linear1D', 'bs_32x2'],
      dtype='object')",LinearRegression(),Performance,0.2,"bs_32x1             22.414623
LocalMemory         19.686009
bs_1024x1           18.307838
bs_512x1            13.807554
bs_32x32            13.111117
bs_256x4            12.331237
bs_512x2            10.915509
bs_64x16            10.273043
bs_128x8             7.478140
pixelPerThread_1     6.454201
Array2D              6.308709
Linear1D             5.341998
OpenCL               1.862912
CUDA                 1.862912
bs_32x2              1.730668
pixelPerThread_2     0.060526
dtype: float64","count    3681.000000
mean       17.423860
std        12.014944
min         0.001888
25%         8.638001
50%        14.451759
75%        25.161494
max        72.681903
Name: % error, dtype: float64",16
9,Lasso,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'bs_1024x1', 'pixelPerThread_1', 'bs_512x1',
       'bs_512x2', 'bs_32x32', 'pixelPerThread_2', 'bs_64x16', 'bs_256x4',
       'bs_128x8', 'Array2D', 'OpenCL', 'CUDA', 'Linear1D', 'bs_32x2'],
      dtype='object')","Lasso(alpha=0.01, max_iter=10)",Performance,0.2,"bs_32x1             22.118516
LocalMemory         19.600444
bs_1024x1           17.768353
bs_512x1            13.473552
bs_32x32            12.647166
bs_256x4            11.909858
bs_512x2            10.557340
bs_64x16             9.780919
bs_128x8             6.962529
pixelPerThread_1     6.390176
Array2D              6.178889
Linear1D             5.235550
OpenCL               3.669666
bs_32x2              1.435244
pixelPerThread_2     0.006810
dtype: float64","count    3681.000000
mean       17.241741
std        11.907033
min         0.021563
25%         8.683721
50%        14.126046
75%        24.630920
max        71.163604
Name: % error, dtype: float64",16
