,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'OpenCL', 'Array2D', 'bs_512x2', 'bs_512x1', 'bs_32x32', 'CUDA',
       'bs_128x2', 'Linear1D', 'TextureMemory', 'bs_256x4', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"OpenCL              3.229926e+14
CUDA                3.229926e+14
TextureMemory       2.743157e+14
#yes                1.371579e+14
LocalMemory         1.371579e+14
bs_32x1             2.231250e+01
bs_1024x1           9.502930e+00
bs_512x2            7.883789e+00
bs_256x4            6.919861e+00
Array2D             6.351562e+00
bs_32x32            5.730469e+00
pixelPerThread_1    5.640625e+00
bs_128x2            3.830566e+00
Linear1D            3.078125e+00
bs_512x1            2.542969e+00
bs_32x2             2.062500e+00
dtype: float64","count    4141.000000
mean       14.246870
std        11.261988
min         0.000000
25%         5.808802
50%        11.816323
75%        19.718711
max        81.787623
Name: % error, dtype: float64",16
1,Lasso,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'OpenCL', 'Array2D', 'bs_512x2', 'bs_512x1', 'bs_32x32', 'CUDA',
       'bs_128x2', 'Linear1D', 'TextureMemory', 'bs_256x4', '#yes'],
      dtype='object')","Lasso(alpha=0.05, max_iter=5)",Performance,0.1,"LocalMemory         24.846437
bs_32x1             20.903531
bs_1024x1            7.657591
bs_512x2             6.033125
pixelPerThread_1     5.740834
bs_256x4             5.317106
bs_32x32             4.550527
Array2D              4.474296
bs_128x2             3.290328
Linear1D             2.817587
TextureMemory        1.679698
bs_32x2              1.423556
bs_512x1             1.306000
#yes                 0.281364
OpenCL               0.163774
CUDA                 0.054530
dtype: float64","count    4141.000000
mean       13.783523
std        10.900667
min         0.002839
25%         5.687228
50%        11.322243
75%        19.175806
max        70.480204
Name: % error, dtype: float64",16
2,Ridge,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'OpenCL', 'Array2D', 'bs_512x2', 'bs_512x1', 'bs_32x32', 'CUDA',
       'bs_128x2', 'Linear1D', 'TextureMemory', 'bs_256x4', '#yes'],
      dtype='object')",Ridge(alpha=2),Performance,0.1,"LocalMemory         21.047193
bs_32x1             20.320508
TextureMemory        8.903810
bs_1024x1            8.144685
bs_512x2             6.692383
bs_256x4             5.951000
pixelPerThread_1     5.876659
Array2D              5.370451
bs_32x32             4.972948
bs_128x2             3.846226
#yes                 3.239573
Linear1D             3.035354
bs_32x2              2.109844
bs_512x1             2.062260
OpenCL               0.337644
CUDA                 0.337644
dtype: float64","count    4141.000000
mean       14.155856
std        10.716183
min         0.007994
25%         5.845137
50%        11.959360
75%        19.847093
max        71.550124
Name: % error, dtype: float64",16
3,ElasticNet,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'OpenCL', 'Array2D', 'bs_512x2', 'bs_512x1', 'bs_32x32', 'CUDA',
       'bs_128x2', 'Linear1D', 'TextureMemory', 'bs_256x4', '#yes'],
      dtype='object')","ElasticNet(alpha=0.01, l1_ratio=0.0)",Performance,0.1,"LocalMemory         20.177574
bs_32x1             18.260957
TextureMemory        8.496050
bs_1024x1            6.822450
pixelPerThread_1     6.099756
bs_512x2             5.602571
bs_256x4             4.988772
bs_32x32             4.336029
Array2D              4.279300
bs_128x2             3.717268
#yes                 3.185475
Linear1D             3.066912
bs_32x2              2.011205
bs_512x1             1.605165
CUDA                 0.221896
OpenCL               0.221896
dtype: float64","count    4141.000000
mean       13.881472
std        10.397376
min         0.005794
25%         5.886028
50%        11.834007
75%        19.704668
max        68.970403
Name: % error, dtype: float64",16
4,PolynomialRegression,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'OpenCL', 'Array2D', 'bs_512x2', 'bs_512x1', 'bs_32x32', 'CUDA',
       'bs_128x2', 'Linear1D', 'TextureMemory', 'bs_256x4', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"#yes                5.306988e+10
Array2D             2.747372e+10
pixelPerThread_1    2.128049e+10
OpenCL              1.944257e+10
CUDA                1.449050e+10
Linear1D            1.008686e+10
bs_256x4            7.748823e+09
bs_1024x1           5.970297e+09
bs_512x1            4.563211e+09
bs_512x2            3.895493e+09
bs_32x32            3.512571e+09
bs_32x1             2.606367e+09
TextureMemory       8.775483e+08
bs_32x2             7.508952e+08
bs_128x2            2.777978e+08
LocalMemory         1.910666e+08
dtype: float64","count    4.141000e+03
mean     4.074298e+07
std      4.883373e+08
min      1.816458e-03
25%      2.351183e+00
50%      5.531062e+00
75%      1.053244e+01
max      1.003761e+10
Name: % error, dtype: float64",16
5,RandomForest,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'OpenCL', 'Array2D', 'bs_512x2', 'bs_512x1', 'bs_32x32', 'CUDA',
       'bs_128x2', 'Linear1D', 'TextureMemory', 'bs_256x4', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"LocalMemory        NaN
bs_32x1            NaN
pixelPerThread_1   NaN
bs_1024x1          NaN
bs_32x2            NaN
OpenCL             NaN
Array2D            NaN
bs_512x2           NaN
bs_512x1           NaN
bs_32x32           NaN
CUDA               NaN
bs_128x2           NaN
Linear1D           NaN
TextureMemory      NaN
bs_256x4           NaN
#yes               NaN
Name: % error, dtype: float64","count    4141.000000
mean        8.163364
std         8.924890
min         0.001426
25%         2.347829
50%         5.691356
75%        10.818600
max        99.161105
Name: % error, dtype: float64",16
6,GradientBoostingTree,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'OpenCL', 'Array2D', 'bs_512x2', 'bs_512x1', 'bs_32x32', 'CUDA',
       'bs_128x2', 'Linear1D', 'TextureMemory', 'bs_256x4', '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"LocalMemory        NaN
bs_32x1            NaN
pixelPerThread_1   NaN
bs_1024x1          NaN
bs_32x2            NaN
OpenCL             NaN
Array2D            NaN
bs_512x2           NaN
bs_512x1           NaN
bs_32x32           NaN
CUDA               NaN
bs_128x2           NaN
Linear1D           NaN
TextureMemory      NaN
bs_256x4           NaN
#yes               NaN
Name: % error, dtype: float64","count    4141.000000
mean        8.322283
std         8.564484
min         0.005104
25%         2.785927
50%         6.234068
75%        11.113599
max       101.736326
Name: % error, dtype: float64",16
7,DecisionTree,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'OpenCL', 'Array2D', 'bs_512x2', 'bs_512x1', 'bs_32x32', 'CUDA',
       'bs_128x2', 'Linear1D', 'TextureMemory', 'bs_256x4', '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"LocalMemory        NaN
bs_32x1            NaN
pixelPerThread_1   NaN
bs_1024x1          NaN
bs_32x2            NaN
OpenCL             NaN
Array2D            NaN
bs_512x2           NaN
bs_512x1           NaN
bs_32x32           NaN
CUDA               NaN
bs_128x2           NaN
Linear1D           NaN
TextureMemory      NaN
bs_256x4           NaN
#yes               NaN
Name: % error, dtype: float64","count    4141.000000
mean        8.201528
std         9.708550
min         0.000000
25%         2.090180
50%         5.464512
75%        10.648804
max       123.151103
Name: % error, dtype: float64",16
8,LinearRegression,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'OpenCL', 'Array2D', 'bs_512x2', 'bs_512x1', 'bs_32x32', 'CUDA',
       'bs_128x2', 'Linear1D', 'TextureMemory', 'bs_256x4', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"TextureMemory       7.307490e+14
LocalMemory         3.653745e+14
#yes                3.653745e+14
CUDA                9.354077e+13
OpenCL              9.354077e+13
bs_32x1             1.981250e+01
bs_1024x1           8.921875e+00
bs_256x4            6.500000e+00
bs_32x32            6.105469e+00
bs_512x2            5.817871e+00
pixelPerThread_1    5.375000e+00
Array2D             4.738281e+00
bs_512x1            3.863281e+00
bs_32x2             2.992188e+00
bs_128x2            2.947266e+00
Linear1D            1.765625e+00
dtype: float64","count    3681.000000
mean       13.878384
std        10.441754
min         0.022217
25%         5.977109
50%        11.485065
75%        19.406834
max        69.008484
Name: % error, dtype: float64",16
9,Lasso,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'OpenCL', 'Array2D', 'bs_512x2', 'bs_512x1', 'bs_32x32', 'CUDA',
       'bs_128x2', 'Linear1D', 'TextureMemory', 'bs_256x4', '#yes'],
      dtype='object')","Lasso(alpha=0.01, max_iter=5)",Performance,0.2,"LocalMemory         24.534358
bs_32x1             19.392234
bs_1024x1            8.740018
bs_256x4             6.148482
bs_32x32             5.908505
bs_512x2             5.649967
pixelPerThread_1     5.453966
Array2D              4.270780
bs_512x1             3.500399
bs_128x2             2.934021
bs_32x2              2.829973
TextureMemory        1.993446
Linear1D             1.950605
OpenCL               1.381213
CUDA                 0.395541
#yes                 0.100031
dtype: float64","count    3681.000000
mean       13.254835
std        10.487019
min         0.016335
25%         5.184410
50%        10.904668
75%        19.302999
max        67.484640
Name: % error, dtype: float64",16
