,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,57,False,None,LinearRegression,0.1,False,2024-03-30 14:15:48.040773,2024-03-30 14:16:51.059322
10,distBased,1.0,57,False,None,Lasso,0.1,False,2024-03-30 14:15:48.040773,2024-03-30 14:16:51.671139
20,distBased,1.0,57,False,None,Ridge,0.1,False,2024-03-30 14:15:48.040773,2024-03-30 14:16:52.025715
30,distBased,1.0,57,False,None,ElasticNet,0.1,False,2024-03-30 14:15:48.040773,2024-03-30 14:16:52.598510
40,distBased,1.0,57,False,None,PolynomialRegression,0.1,False,2024-03-30 14:15:48.040773,2024-03-30 14:16:52.641370
50,distBased,1.0,57,False,None,RandomForest,0.1,False,2024-03-30 14:15:48.040773,2024-03-30 14:16:53.508253
60,distBased,1.0,57,False,None,GradientBoostingTree,0.1,False,2024-03-30 14:15:48.040773,2024-03-30 14:16:53.863731
70,distBased,1.0,57,False,None,DecisionTree,0.1,False,2024-03-30 14:15:48.040773,2024-03-30 14:16:54.095971
80,distBased,1.0,57,False,None,LinearRegression,0.2,False,2024-03-30 14:16:54.099286,2024-03-30 14:22:25.460731
90,distBased,1.0,57,False,None,Lasso,0.2,False,2024-03-30 14:16:54.099286,2024-03-30 14:22:26.755931
100,distBased,1.0,57,False,None,Ridge,0.2,False,2024-03-30 14:16:54.099286,2024-03-30 14:22:27.931061
110,distBased,1.0,57,False,None,ElasticNet,0.2,False,2024-03-30 14:16:54.099286,2024-03-30 14:22:29.482233
120,distBased,1.0,57,False,None,PolynomialRegression,0.2,False,2024-03-30 14:16:54.099286,2024-03-30 14:22:29.498668
130,distBased,1.0,57,False,None,RandomForest,0.2,False,2024-03-30 14:16:54.099286,2024-03-30 14:22:31.374800
140,distBased,1.0,57,False,None,GradientBoostingTree,0.2,False,2024-03-30 14:16:54.099286,2024-03-30 14:22:32.431956
150,distBased,1.0,57,False,None,DecisionTree,0.2,False,2024-03-30 14:16:54.099286,2024-03-30 14:22:33.162062
160,distBased,1.0,57,False,None,LinearRegression,0.3,False,2024-03-30 14:22:33.165387,2024-03-30 14:29:14.446863
170,distBased,1.0,57,False,None,Lasso,0.3,False,2024-03-30 14:22:33.165387,2024-03-30 14:29:16.587473
180,distBased,1.0,57,False,None,Ridge,0.3,False,2024-03-30 14:22:33.165387,2024-03-30 14:29:18.171688
190,distBased,1.0,57,False,None,ElasticNet,0.3,False,2024-03-30 14:22:33.165387,2024-03-30 14:29:20.332585
200,distBased,1.0,57,False,None,PolynomialRegression,0.3,False,2024-03-30 14:22:33.165387,2024-03-30 14:29:20.349663
210,distBased,1.0,57,False,None,RandomForest,0.3,False,2024-03-30 14:22:33.165387,2024-03-30 14:29:24.485534
220,distBased,1.0,57,False,None,GradientBoostingTree,0.3,False,2024-03-30 14:22:33.165387,2024-03-30 14:29:27.046898
230,distBased,1.0,57,False,None,DecisionTree,0.3,False,2024-03-30 14:22:33.165387,2024-03-30 14:29:28.998053
240,distBased,1.0,57,False,None,LinearRegression,0.4,False,2024-03-30 14:29:29.003290,2024-03-30 14:37:12.233278
250,distBased,1.0,57,False,None,Lasso,0.4,False,2024-03-30 14:29:29.003290,2024-03-30 14:37:13.970217
260,distBased,1.0,57,False,None,Ridge,0.4,False,2024-03-30 14:29:29.003290,2024-03-30 14:37:15.362622
270,distBased,1.0,57,False,None,ElasticNet,0.4,False,2024-03-30 14:29:29.003290,2024-03-30 14:37:17.102675
280,distBased,1.0,57,False,None,PolynomialRegression,0.4,False,2024-03-30 14:29:29.003290,2024-03-30 14:37:17.106262
290,distBased,1.0,57,False,None,RandomForest,0.4,False,2024-03-30 14:29:29.003290,2024-03-30 14:37:19.809673
300,distBased,1.0,57,False,None,GradientBoostingTree,0.4,False,2024-03-30 14:29:29.003290,2024-03-30 14:37:21.413983
310,distBased,1.0,57,False,None,DecisionTree,0.4,False,2024-03-30 14:29:29.003290,2024-03-30 14:37:22.663082
320,distBased,1.0,57,False,None,LinearRegression,0.5,False,2024-03-30 14:37:22.666528,2024-03-30 14:44:32.611198
330,distBased,1.0,57,False,None,Lasso,0.5,False,2024-03-30 14:37:22.666528,2024-03-30 14:44:34.511780
340,distBased,1.0,57,False,None,Ridge,0.5,False,2024-03-30 14:37:22.666528,2024-03-30 14:44:36.476228
350,distBased,1.0,57,False,None,ElasticNet,0.5,False,2024-03-30 14:37:22.666528,2024-03-30 14:44:38.236247
360,distBased,1.0,57,False,None,PolynomialRegression,0.5,False,2024-03-30 14:37:22.666528,2024-03-30 14:44:38.241445
370,distBased,1.0,57,False,None,RandomForest,0.5,False,2024-03-30 14:37:22.666528,2024-03-30 14:44:41.821245
380,distBased,1.0,57,False,None,GradientBoostingTree,0.5,False,2024-03-30 14:37:22.666528,2024-03-30 14:44:43.869267
390,distBased,1.0,57,False,None,DecisionTree,0.5,False,2024-03-30 14:37:22.666528,2024-03-30 14:44:45.380528
400,distBased,1.0,57,False,None,LinearRegression,0.6,False,2024-03-30 14:44:45.383860,2024-03-30 14:52:41.246385
410,distBased,1.0,57,False,None,Lasso,0.6,False,2024-03-30 14:44:45.383860,2024-03-30 14:52:44.726554
420,distBased,1.0,57,False,None,Ridge,0.6,False,2024-03-30 14:44:45.383860,2024-03-30 14:52:47.918854
430,distBased,1.0,57,False,None,ElasticNet,0.6,False,2024-03-30 14:44:45.383860,2024-03-30 14:52:51.370403
440,distBased,1.0,57,False,None,PolynomialRegression,0.6,False,2024-03-30 14:44:45.383860,2024-03-30 14:52:51.375333
450,distBased,1.0,57,False,None,RandomForest,0.6,False,2024-03-30 14:44:45.383860,2024-03-30 14:52:58.253219
460,distBased,1.0,57,False,None,GradientBoostingTree,0.6,False,2024-03-30 14:44:45.383860,2024-03-30 14:53:02.360701
470,distBased,1.0,57,False,None,DecisionTree,0.6,False,2024-03-30 14:44:45.383860,2024-03-30 14:53:05.565901
480,distBased,1.0,57,False,None,LinearRegression,0.7,False,2024-03-30 14:53:05.570932,2024-03-30 15:00:57.483246
490,distBased,1.0,57,False,None,Lasso,0.7,False,2024-03-30 14:53:05.570932,2024-03-30 15:01:00.004369
500,distBased,1.0,57,False,None,Ridge,0.7,False,2024-03-30 14:53:05.570932,2024-03-30 15:01:02.153133
510,distBased,1.0,57,False,None,ElasticNet,0.7,False,2024-03-30 14:53:05.570932,2024-03-30 15:01:04.648104
520,distBased,1.0,57,False,None,PolynomialRegression,0.7,False,2024-03-30 14:53:05.570932,2024-03-30 15:01:04.651734
530,distBased,1.0,57,False,None,RandomForest,0.7,False,2024-03-30 14:53:05.570932,2024-03-30 15:01:08.802700
540,distBased,1.0,57,False,None,GradientBoostingTree,0.7,False,2024-03-30 14:53:05.570932,2024-03-30 15:01:11.236915
550,distBased,1.0,57,False,None,DecisionTree,0.7,False,2024-03-30 14:53:05.570932,2024-03-30 15:01:13.283657
560,distBased,1.0,57,False,None,LinearRegression,0.8,False,2024-03-30 15:01:13.287020,2024-03-30 15:08:43.752224
570,distBased,1.0,57,False,None,Lasso,0.8,False,2024-03-30 15:01:13.287020,2024-03-30 15:08:45.976720
580,distBased,1.0,57,False,None,Ridge,0.8,False,2024-03-30 15:01:13.287020,2024-03-30 15:08:47.842856
590,distBased,1.0,57,False,None,ElasticNet,0.8,False,2024-03-30 15:01:13.287020,2024-03-30 15:08:50.241566
600,distBased,1.0,57,False,None,PolynomialRegression,0.8,False,2024-03-30 15:01:13.287020,2024-03-30 15:08:50.247559
610,distBased,1.0,57,False,None,RandomForest,0.8,False,2024-03-30 15:01:13.287020,2024-03-30 15:08:54.239547
620,distBased,1.0,57,False,None,GradientBoostingTree,0.8,False,2024-03-30 15:01:13.287020,2024-03-30 15:08:56.538310
630,distBased,1.0,57,False,None,DecisionTree,0.8,False,2024-03-30 15:01:13.287020,2024-03-30 15:08:58.341358
640,distBased,1.0,57,False,None,LinearRegression,0.9,False,2024-03-30 15:08:58.345647,2024-03-30 15:15:51.467595
650,distBased,1.0,57,False,None,Lasso,0.9,False,2024-03-30 15:08:58.345647,2024-03-30 15:15:53.417556
660,distBased,1.0,57,False,None,Ridge,0.9,False,2024-03-30 15:08:58.345647,2024-03-30 15:15:55.186110
670,distBased,1.0,57,False,None,ElasticNet,0.9,False,2024-03-30 15:08:58.345647,2024-03-30 15:15:57.141042
680,distBased,1.0,57,False,None,PolynomialRegression,0.9,False,2024-03-30 15:08:58.345647,2024-03-30 15:15:57.144582
690,distBased,1.0,57,False,None,RandomForest,0.9,False,2024-03-30 15:08:58.345647,2024-03-30 15:15:59.605361
700,distBased,1.0,57,False,None,GradientBoostingTree,0.9,False,2024-03-30 15:08:58.345647,2024-03-30 15:16:00.415014
710,distBased,1.0,57,False,None,DecisionTree,0.9,False,2024-03-30 15:08:58.345647,2024-03-30 15:16:00.719957
720,distBased,1.0,57,False,None,DecisionTree,,,2024-03-30 14:15:48.037005,2024-03-30 15:16:00.723193
