,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,22,False,None,DecisionTree,0.1,False,2024-02-01 22:26:10.098639,2024-02-01 22:26:13.374012
10,distBased,1.0,22,False,None,DecisionTree,0.2,False,2024-02-01 22:26:13.376303,2024-02-01 22:26:18.262722
20,distBased,1.0,22,False,None,DecisionTree,0.3,False,2024-02-01 22:26:18.267094,2024-02-01 22:26:24.718036
30,distBased,1.0,22,False,None,DecisionTree,0.4,False,2024-02-01 22:26:24.722378,2024-02-01 22:26:32.455321
40,distBased,1.0,22,False,None,DecisionTree,0.5,False,2024-02-01 22:26:32.459903,2024-02-01 22:26:41.524169
50,distBased,1.0,22,False,None,DecisionTree,0.6,False,2024-02-01 22:26:41.528413,2024-02-01 22:26:52.125516
60,distBased,1.0,22,False,None,DecisionTree,0.7,False,2024-02-01 22:26:52.130043,2024-02-01 22:27:04.472712
70,distBased,1.0,22,False,None,DecisionTree,0.8,False,2024-02-01 22:27:04.477380,2024-02-01 22:27:18.045327
80,distBased,1.0,22,False,None,DecisionTree,0.9,False,2024-02-01 22:27:18.049939,2024-02-01 22:27:28.354319
90,distBased,1.0,22,False,None,DecisionTree,,,2024-02-01 22:26:10.097845,2024-02-01 22:27:28.358637
100,divDistBased,1.0,22,False,None,DecisionTree,0.1,False,2024-02-01 22:27:28.872410,2024-02-01 22:27:31.823133
110,divDistBased,1.0,22,False,None,DecisionTree,0.2,False,2024-02-01 22:27:31.827872,2024-02-01 22:27:36.383839
120,divDistBased,1.0,22,False,None,DecisionTree,0.3,False,2024-02-01 22:27:36.388454,2024-02-01 22:27:42.389647
130,divDistBased,1.0,22,False,None,DecisionTree,0.4,False,2024-02-01 22:27:42.394432,2024-02-01 22:27:49.941842
140,divDistBased,1.0,22,False,None,DecisionTree,0.5,False,2024-02-01 22:27:49.946389,2024-02-01 22:27:58.972784
150,divDistBased,1.0,22,False,None,DecisionTree,0.6,False,2024-02-01 22:27:58.977498,2024-02-01 22:28:09.461424
160,divDistBased,1.0,22,False,None,DecisionTree,0.7,False,2024-02-01 22:28:09.466208,2024-02-01 22:28:21.736406
170,divDistBased,1.0,22,False,None,DecisionTree,0.8,False,2024-02-01 22:28:21.741392,2024-02-01 22:28:38.472056
180,divDistBased,1.0,22,False,None,DecisionTree,0.9,False,2024-02-01 22:28:38.477398,2024-02-01 22:28:50.538472
190,divDistBased,1.0,22,False,None,DecisionTree,,,2024-02-01 22:27:28.871572,2024-02-01 22:28:50.544423
200,henard,1.0,22,False,None,DecisionTree,0.1,False,2024-02-01 22:28:51.401595,2024-02-01 22:28:54.541542
210,henard,1.0,22,False,None,DecisionTree,0.2,False,2024-02-01 22:28:54.546191,2024-02-01 22:28:59.175912
220,henard,1.0,22,False,None,DecisionTree,0.3,False,2024-02-01 22:28:59.180685,2024-02-01 22:29:05.208716
230,henard,1.0,22,False,None,DecisionTree,0.4,False,2024-02-01 22:29:05.213587,2024-02-01 22:29:12.722299
240,henard,1.0,22,False,None,DecisionTree,0.5,False,2024-02-01 22:29:12.727029,2024-02-01 22:29:21.802203
250,henard,1.0,22,False,None,DecisionTree,0.6,False,2024-02-01 22:29:21.807205,2024-02-01 22:29:32.323547
260,henard,1.0,22,False,None,DecisionTree,0.7,False,2024-02-01 22:29:32.328177,2024-02-01 22:29:44.508147
270,henard,1.0,22,False,None,DecisionTree,0.8,False,2024-02-01 22:29:44.513200,2024-02-01 22:29:58.876444
280,henard,1.0,22,False,None,DecisionTree,0.9,False,2024-02-01 22:29:58.881729,2024-02-01 22:30:09.722955
290,henard,1.0,22,False,None,DecisionTree,,,2024-02-01 22:28:51.400767,2024-02-01 22:30:09.727585
300,random,1.0,22,False,None,DecisionTree,0.1,False,2024-02-01 22:30:10.266809,2024-02-01 22:30:13.310886
310,random,1.0,22,False,None,DecisionTree,0.2,False,2024-02-01 22:30:13.315651,2024-02-01 22:30:18.117876
