,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,22,False,None,DecisionTree,0.1,False,2024-02-05 15:52:49.064635,2024-02-05 15:52:51.097503
10,distBased,1.0,22,False,None,DecisionTree,0.2,False,2024-02-05 15:52:51.099725,2024-02-05 15:52:53.523484
20,distBased,1.0,22,False,None,DecisionTree,0.3,False,2024-02-05 15:52:53.527519,2024-02-05 15:52:55.570517
30,distBased,1.0,22,False,None,DecisionTree,0.4,False,2024-02-05 15:52:55.573464,2024-02-05 15:52:57.548149
40,distBased,1.0,22,False,None,DecisionTree,0.5,False,2024-02-05 15:52:57.551268,2024-02-05 15:52:59.641133
50,distBased,1.0,22,False,None,DecisionTree,0.6,False,2024-02-05 15:52:59.644187,2024-02-05 15:53:01.891761
60,distBased,1.0,22,False,None,DecisionTree,0.7,False,2024-02-05 15:53:01.894730,2024-02-05 15:53:03.854294
70,distBased,1.0,22,False,None,DecisionTree,0.8,False,2024-02-05 15:53:03.857734,2024-02-05 15:53:06.563345
80,distBased,1.0,22,False,None,DecisionTree,0.9,False,2024-02-05 15:53:06.567222,2024-02-05 15:53:09.148877
90,distBased,1.0,22,False,None,DecisionTree,,,2024-02-05 15:52:49.063849,2024-02-05 15:53:09.151781
100,divDistBased,1.0,22,False,None,DecisionTree,0.1,False,2024-02-05 15:53:09.553479,2024-02-05 15:53:11.932341
110,divDistBased,1.0,22,False,None,DecisionTree,0.2,False,2024-02-05 15:53:11.936517,2024-02-05 15:53:14.484910
120,divDistBased,1.0,22,False,None,DecisionTree,0.3,False,2024-02-05 15:53:14.489461,2024-02-05 15:53:16.734738
130,divDistBased,1.0,22,False,None,DecisionTree,0.4,False,2024-02-05 15:53:16.737624,2024-02-05 15:53:18.494611
140,divDistBased,1.0,22,False,None,DecisionTree,0.5,False,2024-02-05 15:53:18.497337,2024-02-05 15:53:21.027108
150,divDistBased,1.0,22,False,None,DecisionTree,0.6,False,2024-02-05 15:53:21.031195,2024-02-05 15:53:23.876298
160,divDistBased,1.0,22,False,None,DecisionTree,0.7,False,2024-02-05 15:53:23.880405,2024-02-05 15:53:26.768854
170,divDistBased,1.0,22,False,None,DecisionTree,0.8,False,2024-02-05 15:53:26.772945,2024-02-05 15:53:29.724531
